name	rata
sun	rato
father	mama
the	na
give	tau
grandchild	papa
man	mane
pig	poo
silent	topo
four	hai
sky	raro
eye	maa
friend	hoe
shoe	suu
fishhook	para
water	wai
husband	poro
and	ma
worm	maasika
full	pote
vomit	moa
uncle	wari
cut	tapa
laugh	masi
penis	toi
boat	haka
tongue	mea
fruit	roto
two	rua
good	rete
ripe	mata
narrow	koko
louse	uu
dress	ahi
stone	hau
salt	aasi
basket	kato
nose	pano
road	tara
live	mauri
thieve	peri
cry	nara
die	mae
octopus	kari
fall	teke
liver	rae
suck	nomi
child	mera
month	hura
cut	topi
ashamed	mara
cup	kapu
belly	oopa
breast	susu
head	pau
leave	tahi
fire	suna
look	rio
full	honu
child	wera
long	ewa
lake	namo
limp	toma
eat	hana
spit	musu
pebble	tete
heart	tou
rain	uute
one	eeta
sing	nuu
work	toʻi
dog	kui
wash	haraa
big	paina
hunt	siri
hurt	wa'i
rain	uuta
smoke	rasu
yam	uuhi
stick	ʻai
woman	keni
earth	mako
park	paak
mouth	nusu
baby	weewee
fly	roho
anchor	Aake
lie	kae
grasshopper	napo
house	nima
land	hanua
rotten	kasu
back	kosu
dirty	piripiri
bone	susuri
extinguished	ma'a
fear	ma'u
tooth	niho
salt	soro
mother	teetee
rope	waro
wife	huka
river	kahu
skin	hinasuna
sweet	marimari
animal	tatare
small	masika
fish	marika
tired	weo
white	parapara
go	raa
meet	ooto
food	hanara
coconut	sisini
crocodile	huaraa
girl	pore keni
table	teweri
chicken	kukua
wall	panipani
sharp	to'o
twist	po'e
sex	to'a
blood	'apu
thing	'are
rat	'asuhe
dolphin	'irijo
blind	'uru
finger	'u'u
dry	ate'ate
dry	'ate'ate
root	'iki'iki
ashes	'ora'ora
bark	ho'o
room	tohi
sugarcane	oohu
chief	aaraha
steep	aara'a
flood	aahe
thigh	raraha
cloud	wawaha
basket	ma'ima'i
string	kakawe
swamp taro	kakake
ten	aawara
lightning	'aiwanawana
move	'isu
count	iisu
blood	aapu
spear	'oto
egg	aapota
feather	iihihu
canoe	iirora
flame	eero
crayfish	uura
show	haata'ania
sore	maara
play	riikoo
see	reesia
umbilical cord	poonmera
kneel down	pooruru
song	nuuha
burn	suunia
flying fox	rawako
rainforest	wapusu
sunset	ratosu
shouting	poiha
throwing	uiha
table	teiporo
sink	aakiu
swimming	rotoha
butterfly	hepehepe
thin	iki'ikira
short	koko'osu
dig	aahura
long	'ewa
wide	aaroka
thick	hauhau'a
heavy	hi'a
thin	'iki'ikira
warm	rakaraka
cold	sisiu'a
new	haoru
old	rahu'a
old	warita
long	'e'ewa
bad	ta'aa
dirty	pipiri'a
straight	ootooto
round	morimori'a
smooth	uununu'a
wet	pisu'a
dry	'ate'a
near	karahini
snake	Warutahana
skin	sisima-na
meat	hinasu
fat	momona
tail	'iki'iki-na
tail	'imi'imi-na
feather	iihihu-na
ear	roroa
foot	'a'e
knee	uururu
hand	kaika'i
wing	'apa'apa
drink	ko'u
bite	ke'e
breathe	manuhuto
red	nonorohi'a
green	mamarawa'a
yellow	koko'ara
yellow	ko'ako'ara
white	paparahi'a
black	pupuruhi'a
forest	ma'asu
leaf	po'era
flower	tataka
grass	harisi
star	purupuru
salt	maimami'a
sand	oone
dust	mokamoka
cloud	wahawaha
sky	rararaa
wind	sisiho
mountain	iira
mountain	iire
play	haitatapa
play	hiikoo
swell	uupu
fight	haiara
fight	ooho
hunt	ru'u
hunt	tarai kui
scratch	ma'ahini
dig	'eri
swim	para'au
walk	ra'au
come	raa mai
lie	'eno
sit	to'oru
turn	po'ota'i
float	hatara'i
think	ni'irae
smell	si'ini
three	ooru
night	me'etani
day	hairasoa
day	hairatoa
day	taitani
rope	wareta
animal	waisi'a-ni hanua
animal	waisi'a-ni aasi
animal	waisi'a
