now	𐔼
fame	𐕆𐔰𐕌𐔱𐔰𐕡
father	𐔳𐔴
angel	𐔰𐕎𐔲𐔴𐔾𐕒𐕚
prophet	𐕌𐔰𐕙𐕘𐔰𐕛𐔴𐕎
key	𐕄𐔼𐔾𐕜
messenger	𐔼𐕅𐕒𐕡𐕇𐕆𐔴𐕖𐔰𐔾
I	𐔵𐕒𐕡
one	𐕚𐔰
Gentile	𐕆𐔴𐔸𐔰𐕎𐕒𐕚
year	𐕒𐕡𐕚𐔴𐕎
Jew	𐕛𐔰𐕖𐔰𐕙
word	𐔼𐕅
board	𐔳𐔰𐕀𐕜𐔰𐕄
Nazareth	𐕎𐔰𐔵𐔰𐕙𐔴𐔸
translation	𐔸𐔰𐕙𐔲𐕒𐕡𐕌𐔰𐕎𐕒𐕡𐕎
water	𐕀𐔴
ten	𐕛𐔼𐕂
wolf	𐕒𐕡𐔾
pure	𐕌𐕒𐕡𐕟𐕒𐕡𐕙
purity	𐕌𐕒𐕡𐕟𐕒𐕡𐕙𐔰
daughter	𐕀𐔼𐕎𐔰𐕙
person	-𐔰𐔾
disciple	𐔰𐕐𐔰𐕙𐕄𐔴𐔸
spirit	𐕆𐔴𐔾
sigh	𐕆𐔴𐔾𐔽𐔰𐕀𐔴𐕚𐕒𐕡𐕎
bad	𐕣𐔴𐕔𐔴
bad word	𐕣𐔴𐕔𐔴𐔼𐕅
three	𐕀𐔼𐔱
four	𐔱𐔼𐕗
five	𐕇𐕒
six	𐕞𐕡𐕇
two	𐕗𐕈
seven	𐕛𐕞𐕡𐕘
nine	𐕛𐕒𐕡𐔺
we	𐔷𐔰𐕎
you	𐕛𐕒𐕡𐕎
you	𐕛𐔽𐔰𐕎
𐕚𐔰	𐕚𐔴𐕙𐔱𐔰𐕒𐕡𐕎
new	𐔴𐔿𐔼
king	𐕞𐕡𐕀
kingdom	𐕞𐕡𐕀𐕒𐕡𐕎
heaven	𐕉𐕒𐕡𐔳𐕒𐕡
𐕉𐕒𐕡𐔳𐕒𐕡	𐕉𐕒𐕡𐔳𐕒𐕡𐕎 𐕞𐕡𐕀𐕒𐕡𐕎
elder	𐔰𐕅𐔴
body	𐕌𐔰𐕙𐕌𐔼𐕎
censer	𐔱𐕒𐕁𐕛𐔰𐕙
ear	𐔽𐔼
knowledge	𐔰𐔰𐕎𐔰𐕒𐕡𐕎
ignorance	𐕎𐔰𐔰𐕎𐔰𐕒𐕡𐕎
know	𐔰𐔰
sparrow	𐕖𐕒𐔱𐔰𐔾
seed	𐕙𐕒𐕡𐕘
spiritual	𐕆𐔴𐔾𐔼𐕎
naked	𐔰𐕍𐔰𐕓𐔼
nakedness	𐔰𐕍𐔰𐕓𐔼𐔴𐕎
light	𐕀𐔰𐕐
lighten	𐕀𐔰𐕐𐔱𐔼𐔺𐔴𐕚𐕒𐕡𐕎
moon	𐕀𐔰𐕐𐔼𐕎
world	𐔰𐔺𐔵
mother	𐕎𐔴
son	𐕘𐔰𐕙
harmless	𐕚𐔰𐕆𐕞𐕡𐕄
heart	𐕆𐕞𐕡𐕄
satan	𐕚𐔰𐕜𐔰𐕎𐔰𐔺
devil	𐔳𐔴𐕡
head	𐔱𐕒𐕡𐔾
eye	𐕢𐕒𐕡𐔾
hand	𐕣𐕒𐕡𐔾
tongue	𐕌𐕒𐕡𐔵
skin	𐕜𐕒𐔾
mouth	𐕃𐕒𐕡𐕌𐕒𐕡𐕇
bone	𐕆𐕞𐕡𐕍𐔴𐕎
hair	𐔼𐕣𐕞𐕡
foot	𐔸𐕒𐕡𐕙
fig	𐔸𐕈𐕀𐔰𐕎
David	𐔳𐔰𐕛𐔼𐔸
flower	𐕂𐔼𐕂𐔼𐕄
rod	𐕐𐔰𐕗𐕙𐔼𐕘
free	𐕐𐔰𐔳
mountain	𐔱𐕒𐕡
witness	𐕢𐕒𐕡𐔾𐔰𐔺𐔲𐔰𐕎
sacrifice	𐕌𐔰𐔴𐕄𐔰𐔾
Peter	𐕗𐔴𐕜𐕙𐕒𐕚
Pilate	𐕗𐔼𐔾𐔰𐕜𐕒𐕚
chain	𐔷𐔰𐕄
glory	𐔲𐕈𐕇𐕒𐕡𐕎
beam	𐔳𐕒𐕡𐕙𐕒𐕡𐔳
mankind	𐕘𐕒𐕡𐕐𐕒𐕡𐔺𐕘𐔰𐕙
grave	𐔲𐔰𐕙𐔰𐔵𐕌𐔰𐕎
cross	𐔼𐕆𐕈𐔾
way	𐕅𐔰𐕍
hell	𐔲𐔴𐕆𐔴𐕎𐔰
house	𐕄𐕒𐕁
prison	𐔷𐔰𐕄𐕙𐕒𐔺 𐕄𐕒𐕁𐔰
vinegar	𐕜𐔰𐔾𐔰𐔾𐔰𐕘
centurion	𐕇𐕒𐕍𐕈𐔰𐕙𐔰𐔺𐔱𐕈𐔿𐔼
unleavened bread	𐔰𐕊𐔰𐕌
sleep	𐕎𐔴𐕗
star	𐕀𐔰𐕅𐕒𐕡𐕌
morning star	𐕣𐔰𐔴𐕎𐔼𐕀𐔰𐕅𐕒𐕡𐕌
green	𐔳𐔰𐔼
marsh	𐔳𐔰𐔼𐕀𐕒𐕡𐔿
gold	𐔳𐔰𐔼𐔵𐔳𐔴
golden	𐔳𐔰𐔼𐔵𐔳𐔴𐔺𐔰
white	𐔱𐔼𐕣𐔼
resurrection	𐕆𐔰𐔺𐔵𐔴𐕚𐕒𐕡𐕎
blood	𐕗𐔼
Jesus	𐔺𐔴𐕚𐕒𐕡𐕚
clothing	𐔺𐔰𐔾
crown of thorns	𐕢𐕒𐕡𐕚𐔰𐕄 𐕠𐔰𐕠𐕘𐕒𐕇𐕒𐕠
crown	𐕢𐕒𐕡𐕚𐔰𐕄
thorn	𐕠𐔰𐕠
Elisha	𐔴𐔾𐔼𐕐𐔰
Isaiah	𐔴𐕐𐔰𐔺𐔰
Joshua	𐔺𐔴𐕐𐕒
camp	𐕄𐔰𐕙𐔰𐕛𐔰𐕙
thus	𐔺𐔰𐕎𐕄𐔴
our	𐔱𐔴𐕐𐔼
my	𐔱𐔴𐔵𐔼
good	𐔴𐔺
apt	𐕐𐔴𐔾
goodness	𐔴𐔺𐕒𐕡𐕎
badness	𐕣𐔴𐕔𐔴𐕒𐕡𐕎
slave	𐕎𐔰𐔼𐔽𐕒𐕡
wife	𐕀𐔼𐔽𐕒𐕡
man	𐔼𐕐𐕒𐕡
and	𐕒𐕡𐕎
twenty	𐕍𐕈
saw	𐕀𐔴𐕀𐔴𐕙
tent	𐕀𐕒𐕙𐔰𐕎
heat	𐕀𐕒𐔽𐔰𐕣
debt	𐔲𐕒
gate	𐕒𐔽𐕌𐕒𐕡𐕇
antiphon	𐕄𐕒𐕙𐔱𐔰𐔰𐔾𐔴
Egypt	𐔴𐔲𐔼𐕢𐕜𐕒𐕚
Greek	𐔴𐔾𐔾𐔰𐕒𐕡𐔿𐔰
Israel	𐔼𐕚𐕙𐔰𐔺𐔶𐔾
Elisabeth	𐔴𐔾𐔼𐕚𐔰𐔱𐔴𐔸
August	𐔰𐕡𐔲𐕒𐕡𐕚𐕜𐕒𐕚
psalm	𐕚𐔰𐔾𐕌𐕒𐕚
hallelujah	𐔰𐔾𐔶𐔾𐕒𐕡𐔺𐔰
Corinthians	𐕄𐕒𐕙𐔼𐕎𐔸𐔰𐕒𐕡𐕀
Judea	𐔼𐕆𐕒𐕡𐔳𐔰
Rachel	𐕙𐔰𐕣𐔴𐔾
cherub	𐕣𐕙𐕒𐔱𐔰
grace	𐕌𐔰𐔳𐔼𐕅
image	𐕚𐔰𐕀𐔶
throne	𐕚𐔰𐔽𐕒𐕡𐕙𐔵𐔴𐔾
bishop	𐔼𐕚𐕄𐔰𐕗𐕒𐕚
voice	𐕄𐔰𐕅
sea	𐕂𐔰
fire	𐕂𐔴
far	𐔽𐔰𐕀𐔼
your	𐔱𐔽𐔴𐕔𐔼
Byzantium	𐕌𐔴𐔵𐔰𐔼𐔵𐕒𐕡𐔵𐔿𐔰
amen	𐔰𐕌𐔶𐕎
-less	-𐕎𐕒𐕡𐔸
cheap	𐔸𐕒𐔲𐕎𐕒𐕡𐔸
price	𐔸𐕒𐔲
reward	𐕛𐔰𐕙𐔵
brethren	𐔼𐕐𐔴𐔱𐕒𐕡𐕙
despiser	𐔰𐕢𐔼𐔺𐔴𐕚𐔱𐔰𐔰𐔾
move away	𐔸𐔰𐔼𐕘𐔴𐕚𐕒𐕡𐕎
wind	𐕌𐕒𐕡𐕐
go	𐔼𐕘𐔴𐕚𐕒𐕡𐕎
come	𐕆𐔴𐕘𐔴𐕚𐕒𐕡𐕎
teacher	𐕛𐔰𐕙𐕜𐔰𐕗𐔴𐕜
doctrine	𐕛𐔰𐕙𐕜𐔰𐕗𐔴𐕜𐕒𐕡𐕎
dancing	𐕙𐔰𐕛𐔴𐕚𐕒𐕡𐕎
praise	𐔰𐕔𐕙𐔴𐕢𐔴𐕚𐕒𐕡𐕎
praise	𐔰𐕔𐕙𐔴
purify	𐕌𐕒𐕡𐕟𐕒𐕡𐕙𐔱𐔼𐔺𐔴𐕚𐕒𐕡𐕎
Jesus Christ	𐕣𐔰𐕙𐕀𐔴𐕚𐔱𐔰𐔰𐔾
do	𐔱𐔼𐔺𐔴𐕚𐕒𐕡𐕎
doer	𐔱𐔰𐔰𐔾
sheepfold	𐔲𐕒𐔾
hundred	𐔱𐔰𐔹
hundred	𐕇𐕒𐕍𐕈
purifier	𐕌𐕒𐕡𐕟𐕒𐕡𐕙𐔱𐔰𐔰𐔾
scribe	𐕁𐔼𐕗𐔿𐔰𐔱𐔰𐔰𐔾
land	𐔰𐔺𐔵𐔼𐕁𐔼𐕗
book	𐕁𐔼𐕗
go	𐕙𐔰𐕡
feel	𐕒𐕜𐔴𐕚𐕒𐕡𐕎
soon	𐕒𐕡𐕚𐔼
quickly	𐕒𐕡𐕚𐔼-𐕒𐕡𐕚𐔼
Bethany	𐔱𐔼𐔸𐔰𐕎𐔼
see	𐔰𐕄𐔴𐕚𐕒𐕡𐕎
see	𐔰𐕄𐔰
work	𐔰𐕐
crowd	𐔷𐕒𐔾𐕒𐕛𐕒𐕡𐕙𐔳
turn around	𐔱𐔰𐔸𐕣𐔴𐕚𐕒𐕡𐕎
sleep	𐔱𐔰𐕚𐕄𐔴𐕚𐕒𐕡𐕎
alone	𐕚𐕒𐕡𐕎
roof	𐕞𐕡𐕘
under	𐕒𐕡𐕍𐔰
here	𐔴𐕌𐔴
there	𐔴𐕐𐔴
there	𐔴𐕜𐔴
life	𐕘𐕒𐕡𐔺𐕒𐕡𐕎
