understand	te
come	ba
I	me
hard	den
eye	ani
seed	aba
parrot	ako
thou	wo
drink	nom
ye	mo
small	paki
ten	edu
discern	hu
Akan	Twi
Ghana	moko
Twi	anansesem
one	biakõ
two	abieng
three	abiesã
four	anang
five	anum
six	asĩa
seven	asong
eight	awotwe
nine	akrong
year	afe
rain	osu
Tuesday	abena
lion	gyata
bull	nantwinini
doctor	dɔkota
dress	atadea
moon	ɔbosome
bilinga	kusia
cloth	adinkra
pepper	mako
water	nsu
spider	ananse
pig	aprako
yam	kamfo
pig	prako
football	bɔɔlɔ
knee	kotodwe
write	kyerɛw
cap	ɛkyɛw
new	foforo
Ga	Nkran
ant	nkran
chief	ɔhene
star	nsoromma
palm wine	nsafufu
heaven	ɔsoro
moon	ɔsram
wizard	ɔbonsam
know	uanim
have	uafɔn
young	aberanteɛ
gossip	kɔŋkɔŋsani
capital city	ahenkuro
cat	agyinamoa
iroko	odum
transportation	bonto
market	edwa
welcome	akwaaba
he	ɔno
it	ɛno
we	yɛn
they	wɔn
cup	kuruwa
okra	nkruma
God	Onyankopɔn
human being	onipa
who	ɛhena
where	ɛhefa
again	ebio
afara	ɔfram
obeche	ɔwawa
air	mframa
room	ɔdan
African nutmeg	otie
satinwood	bonsamdua
witch	ayɛn
cooking oil	anwa
transportation	basekre
transportation	teaseɛnam
transportation	ketekye
transportation	moto sakere
food	aduane
fire	egya
fork	adinam
spoon	atere
salt	nkyene
house	efie
Accra	nkrane
