pay	bayad
we	kita
we	kami
chew	mama
what	ano
harvest	ani
salt	asin
ash	abo
I	ako
five	lima
sugar cane	tubo
right	tuo
how many	pila
worship	samba
excrement	tai
fruit	bunga
yam	ubi
fish trap	bobo
sun	adlaw
smoke	aso
father	ama
eye	mata
January	Enero
deer	usa
six	sais
eat	kaon
ray	pagi
farm	uma
breast	soso
umbrella	payong
milled rice	bugas
roof	atop
naked	oba
vein	ugat
thousand	libo
price	bili
egg	itlog
illness	sakit
lip	bibig
drink	inom
pig	baboy
stone	bato
elbow	siko
chicken	manok
nail	kuku
die	matay
louse	kuto
mother	ina
remember	dumdum
hair	buhok
mountain	bukid
sea	dagat
ring	singsing
ten	púeo
measure	sukat
bait	paon
fathom	dupa
milk	gatas
hundred	gatos
transfer	halin
arrive	abot
forget	lipat
nose	ilong
spoon	kutsara
you	kamo
close	sara
scissors	gunting
wind	hangin
full	puno'
plant	tanom
green	berde
bitter	mapait
thin	manipis
calm	malinaw
who	sin-o
firefly	aninipot
liver	atay
woman	babaye
new	bag-o
get up	bangon
sterile	baog
seed	binhi
give	bugay
oar	bugsay
wart	butig
year	dag-on
straw	dagami
leaf	dahon
lake	danaw
hear	dungog
cradle	duyan
grind	galing
use	gamit
root	gamot
branch	sanga
breathe	ginhawa
rib	gusok
swell	habok
soap	habon
column	haligi
you	ikaw
shoulder	abaga
spouse	asawa
high	mataas
dog	ayam
coffin	kabaong
reckon	bilang
thigh	paa
factory	pabrika
catch	dakop
bathe	ligos
debt	utang
sharp	talum
fog	ambon
you	imo
foot	siki
suck	sipsip
sister-in-law	hipag
grey hair	uban
moss	eumot
eel	igat
lightning	kidlat
brain	utok
duck	itik
wall	dingding
flow	ilog
kitchen	kusina
airport	paeuparan
silver	pilak
fart	utot
termite	anay
star	bituon
man	tawo
tree	kahoy
hand	kamot
wash	eaba
burn	sunog
neck	liog
horn	sungay
knee	tuhod
earthquake	linog
crow	uwak
kill	patay
charcoal	uling
sour	aslom
power	gahom
tail	ikog
octopus	kugita
woman	babayi
leech	alimatok
rice	humay
ride	sakay
wing	pakpak
glue	pilit
coconut	niyog
blow	huyop
fly	lupad
mosquito	namok
below	ubos
needle	dagom
teaspoon	kutsarita
tooth	ngipon
navel	pusod
belly	tiyan
carpenter	panday
ill	masakit
dove	punay
balance	timbang
fireplace	dapog
cacao	kakaw
back	likod
sip	higop
sweet	matam-is
boat	paraw
think	isip
heavy	mabug-at
yawn	huy-ab
suck	supsup
rattan	uway
pickpocket	mandurukot
sour	maaslom
gap	antad
rot	gabok
ask	kutana
duck	gakit
gill	hasang
true	tunay
steal	takaw
top	ibabaw
left	waea
tie	gapos
twenty	baynti
hand	alima
cut	utod
nail	tunong
collect	tipon
sleep	tueog
crocodile	boaya
arrow	pana'
hair	buebue
testicle	easog
bile	apdo'
cantaloupe	atimon
water	tubi'
swim	eangoy
tear	euha
sky	eangit
open	buka'
man	eaki
moon	buean
walk	eakaw
fish	isda'
stab	buno'
back	buli'
mouth	ba-ba'
flood	baha'
widow	baeo
sea	eawod
tongue	dila'
blood	dugo'
road	daean
sail	eayag
deep	madaeom
two	daewa
rat	daga'
ear	dueunggan
blunt	dumpoe
girl	deaga
spider	eawa'
kneel	euhod
nit	eusa'
mortar	eusong
ginger	euy-a
outside	euwas
destroy	guba'
stairs	hakdan
buy	bakae
price	haega
king	hari'
borrow	hueam
urine	ihi'
black	maitum
fire	kaeayo
river	suba'
see	kita'
name	ngaean
rain	uean
house	baeay
choose	pili'
grow	tubo'
head	ueo
bone	tue-an
ten	napueo'
island	pueo'
swallow	tueon
sew	tahi'
disappear	waea'
white	maputi'
red	mapuea
eggplant	taeong
letter	sueat
turn	liko'
sign	tanda'
earth	eugta'
pigeon	saeampati
climb	saka'
torch	sueo'
flow	sueog
oath	sumpa'
bucket	timba'
finger	tudlo'
middle	tunga'
rice plant	paeay
mirror	saeaming
floor	saeog
pus	nana'
wide	eapad
shame	huya'
drown	eumos
dear	mahae
crab	ueang
return	uli'
fly	eangaw
pull	gabot
go out	guwa'
worm	ueod
pestle	hae-o
ant	hamtik
