moon	bulan
we	kami
salt	asin
I	ako
five	lima
nine	siyam
eye	mata
fish	sura
good	maal
roof	atop
fog	libo
egg	itlog
head	ulo
sky	langit
stone	bato
water	tubig
tongue	dila
sea	dagat
blood	daya
three	tulo
they	siro
wind	angin
you	kamo
spider	lawa
fire	baya
mouth	bibi
road	dalan
layer	tonda
earth	diya
sand	baras
you	kaw
ear	talinga
rain	udan
cloud	panganod
hair	abok
ash	buris
breast	suso
wing	pakpak
snake	ulay
bird	punay
nose	urong
shoulder	balikat
hand	dalukap
yellow	madilaw
name	ngaran
night	yabi
child	budang
he	siyo
mother	inang
louse	yamad
tooth	ngipun
worm	alibatoy
tail	ikoy
star	magirom
rope	uket
neck	telnan
mosquito	banglus
male	boglo
lightning	dalugdok
bone	bitol
branch	salinsing
woods	kubat
cold	madimla
far	adaynaw
new	bayukay
