flower	ita
deer	isu
rabbit	leko
skunk	tì'ín
fox	ikuìì
squirrel	ndikuáñú
name	ki̱ví
moon	yo̱ó
coati	ìì
pay	chaʼvi
machete	i̱chi̱
river	i̱ta
star	kìmì
nest	chi̱'yo̱
rat	tìín
armadillo	ya̱kuín
opossum	xa̱ko
coyote	ndivá'i
mountain lion	ndika'a
horse	kuái̱
hummingbird	ndio'o
buzzard	mbelo
scorpion	tisǒ'ma
snake	ko̱ó
ko̱ó	ko̱ó káa
bird	sàà
mountain	ikú
Ndioꞌo	I̱ta Ndioꞌo
banana	chi̱ta̱
great-tailed grackle	sàà ndáá
mouth	yuꞌú
tongue	yâá
chili pepper	yaꞌá
sandal	ndu̱xán
woodpecker	chiríta
orange	láxa
bone marrow	mbeke
bean	nduchí
rain	sa̱ví
fish	tiàká
cloud	vi̱kó
