do	mal
look like	lil
turn	halal
yesterday	yam
coat	parka
go through	gul
airplane	igax̂tax̂
blue fox	uuquchiingix
boat	ayxaasix
boot	uliigix
boy	hlax
cloud	inkamiigus
cod	ptxitax
cow parsnip	taagangix
dog	sabaakax
emperor goose	qagmangix
father	adax
friend	agiitaadax
girl	asxinux
good morning	qilachxizax
good night	angali kingachxicax
grandfather	latux
grandmother	kukax
raincoat	chigdax
harbor seal	isux
herring	sildix
hi	aang
moon	tugidax
mother	anax
salmon	adgayux
ptarmigan	agdiikax
rain	chixtax
reindeer	itx̂aygix̂
sun	agadgix
teacher	achixanax
sled	chataasix
snow	qaniigix
play	mikal
sleep	sagakux
work	awal
wind	slagux
Aleut	Unangam Tunuu
one	ataqan
two	aalax
two	alax
two	ulax
three	qaankun
three	qankus
three	qankun
four	sichin
four	siching
five	chaang
seven	uluung
eight	qamchiing
six	atuung
eight	qavchiing
nine	sichiing
ten	hatix
believe	lul
Qugax	Quga-x
pick up	lal
right	waya
reef	yas
stick	chis
thank you	qaĝaasakuq
read	hilal
hour	chasix̂
go up	hangal
two-spirit	ayagigux̂
two-spirit	tayagigux̂
water	taangax̂
thank you	qaĝaalakux̂
father	adax̂
earth	tanax̂
man	tayaĝux̂
bald eagle	tiĝlax̂
dough	tiistax̂
forehead	tanix̂
hole	tatax̂
hole	hunax̂
rich	tukux̂
forearm	tulax̂
aunt	tuutkax̂
aunt	quliigix̂
dry	tuutx̂ax̂
kamleika	chigdax̂
baby	chiidax̂
halibut	chagix̂
cup	chaaskax̂
cup	chaasxix̂
sand	chugux̂
socks	chuulkix
cake	kiikax̂
cake	kakax̂
grandmother	kukax̂
cat	kuuskax̂
cat	kuusxix̂
slime	qiqix̂
grass	qiigax̂
food	qaqax̂
little	qaadan
stomach	sanĝux̂
lard	saalax̂
king eider	saakux̂
pus	susux̂
baby bottle	suuskax̂
soot	dix̂
kidney	dax̂tux̂
kidney	daax̂tux̂
eye	dax̂
washboard	duskax̂
black	gidaax̂
steam	x̂aayax̂
ball	miichix̂
ball	hmiichix̂
soap	miilax̂
people	Niiĝuĝis
rock	nuĝix̂
smoke	waĝix̂
whale	alax̂
border	chidaĝ
scab	qadux̂
foot	kitax̂
morning	qilax̂
leg	kudux̂
way	akalux̂
fur	chngax̂
lung	humgix
bait	umĝix̂
ice	kdax̂
star	sdax̂
bite	kigil
mean	diikalix
be	diikal
be	ginal
wash	ĝula
open	aĝal
dance	ax̂alix
own	ux̂tal
go in	qahqul
pour	hyul
bite	kixsix
healthy	kaangux̂
white	quhmax̂
dirty	quqdax̂
stinky	chaknax̂
mound	tiihnax̂
who	kiin
food	qalgadax̂
Dolly Varden trout	qaadas
hundred	sisax̂
cent	siintax̂
vest	ziilitax̂
be	azax̂
breakfast	zaavtrikax̂
gold	zuulutax̂
make	agul
stomach	x̂ax̂
piece	hinus
dried	hudax̂
almost	hizax
flour	mukax̂
mother	anax̂
smell	qanul
go in	qangul
get	hmachil
gill cover	hmuqatix̂
poke	chuhnil
reach	hnul
bend	kahngil
acknowledge	ahngal
seaweed	qahngus
fall	ayul
smoke	hwaĝix̂
knot	tahlidax̂
boy	hlax̂
tide	hyal
border	chidaĝa
piece	inux̂
sound	huudal
bay	udax̂
dry	hudal
word	tunux̂
Aleut	Unangam tunuu
Arctic loon	qaqaĝix̂
bite	kixs
kidney	daaxtux̂
lung	humgix̂
fish	amxix̂
December	dikaabrax̂
with	agiitalix
