spoon	pam
bird	du
dove	gab
snake	pou
water	bu
pig	tata
child	reg
milk	tut
I	ka
leg	mung
speech	mo
tooth	gog
broom	pup
yesterday	amu
ear	angug
eye	nofug
heart	orug
intestines	atag
head	misog
shoulder	gug
nose	busog
elbow	arigeg
liver	gofwag
knee	mokug
fingernail	fweskeg
forearm	rikag
wrist	enwesog
upper arm	nehembug
shoulder	ohumbug
whisker	bosrag
eyebrow	nofrag
stomach	ehenog
shoulder blade	faheg
thigh	bigisig
brother	eteg
brother	sumieg
mother	afag
father	arag
brother	nisag
sister	muwarig
uncle	ninog
nephew	rambig
husband	aragag
grandmother	awag
grandfather	simbeg
sister-in-law	mamug
brother-in-law	guweg
parent-in-law	kowag
hair	rapok
white	rabo
reed	wak
dog	mawang
pumpkin	rafu
yam	mwit
arrow	fak
