egg	noon
blanket	hou
porcupine	hoo
dog	he3
one	jaasaaye
bear	wox
Arapaho	Hinóno'eitíít
village	hiiteen
how are you	kooni'ííni
beaver	hebes
winter	cec
husband	ííx
water	néč
skunk	xou
hawk	heeyei
carrot	yeneinit
fire	sitee
sun	hiisiis
corpse	3iik
aspen	biit
owl	bee3ei
arrow	ho3
moon	biikousiis
snow	hiii
ant	heeni'
charcoal	wo'oos
bow	beete'
star	ho3o'
mountain	hohe'
sheep	hote'
hammer	to'uut
thunder	boh'ooo
cat	wo'ooo
sand	noobe'
ice	wo'ow
lightning	ceheekuut
wolf	hooxei
word	nihiit
fox	nouu
goose	ne'ii
woman	hisei
nest	nohuux
night	tece'
prairie dog	coo3oni'
pumpkin	ce'bixko'
dung	biihi3
bracelet	wooxon
ocean	heetec
onion	xouucen
peach	biisib
swamp	woxec
sweat lodge	ciibeet
duck	siisiiko'
chokecherries	biino
day	hiisi'
rabbit	nooku
potato	cee'ee'
enemy	coo3o'
frog	nooxobe'
ghost	biitei
mouse	hookuu
nightingale	seskout
rope	seenook
shirt	biixuut
spider	nih'oo3oo
tobacco	siisoowoo
tomahawk	3oxoo
tree	hohoot
urine	seiit
antelope	nisice
apple	bee'ice'ee'
aroma	ni'ibooo'
arrowhead	woosoo3
autumn	tooyouni'
bark	hinooox
belt	koyootee
bird	nii'eihii
binoculars	noohoo3oono
biscuit	cee'tei'
boat	3iiw
book	wo3onohoe
cactus	ho'yoox
cherry	biinehe'
club	to'uutoho
cougar	bexookee
cricket	biihouut
cup	touyoo
death	hiihooteet
deer	bih'ih
devil	hoocoo
diarrhea	hesotoot
drum	ho'eii
earring	ceitoo
feather	biii
feast	hoxo'oe
flag	niiwohoe
flea	betei
fly	noubee
foam	ciitee
fog	be'enoo
forest	neeyeici'
glove	3ooxe
glue	kohyohoe
loincloth	wonout
lizard	seeniwo'
lake	ni'ec
lamb	hoteiisoo
ladder	houuhuut
knife	wooxe
knowledge	he'iyoo
law	hooxuwuut
lawyer	hooxuwuunen
prostitute	hiiniibisei
Shetland pony	teiitoox
plum	beesib
Pleiades	beenoku3i'
pie	beesbinoc
pants	wotoo
otter	yeiy
saddle	hooko'oox
sage grouse	cenee
scalp	bei3ees
scarf	wo'ein
scarecrow	woxu'unen
scrotum	kosoo
scythe	ko'osohoe
shoe	wo'oh
skull	3iikone'
sky	hono'
smoke	ceetee
snake	siisiiyei
song	niiboot
soup	hokok
spoon	heebiyoo
summer	beniice'
sugar	niisiscoo'
tepee	niiinon
thief	hebiitiihii
tick	hisi'
elk	hiwoxuu
famine	hesnootiini'
farmer	ciinouhuu
fishhook	noyoot
flute	niitou3oo
cottonwood	hee3neebes
door	tecenoo
marijuana	nohko3hiit
marrow	seyoot
midnight	3ootece'
midwife	heeseineeet
river	niicii
road	booo
room	ce'exoowu'
root	3eici'
carpet	so'oo3oo
cow	wookec
saw	tebexonoo
salve	xo'eyoo
salt	niicoo'owu'
salamander	koohoyeit
wheel	hotii
window	noh'eihoo
homosexual	hoxux
honey	kouhuyoo'
hoof	wo'ox
house	ho'oowu'
insect	biisee
island	benehe'
five	yoo3on
buffalo	bii
buffalo	heneecee
buffalo	heecen
buffalo	hii3einoon
snail	woo'oowoo3iibeihii
