two-spirit	skuxát
water	tstoóxuʾ
flint	tahuúnuʾ
white	neštaáka
catfish	čiwanaanišíšuʾ
fish	čiwáhtš
weir	číska
tipi	akahpaátu
tipi	nahteehát
juneberry	naakunaánuʾ
pemmican	tapáhtuʾ
jerked	taakáxtš
garter snake	nutčiwahaánuʾ
rattlesnake	nuhnaanišíšuʾ
Red cedar	tawihsaákuʾ
willow ptarmigan	ustaaká
aspen	waxtaaká
sage	čeewaʾút
bloodroot	kaswáhat
sweet flag	kaséhtš
flower	nahkaaxišuʾ
basket	saátuʾ
eel	čiwaárut
mortar	kawisákux
mortar	čituútuʾ
pestle	čitutkawisákux
pestle	škawisákux
bow	tinaátš
elbow	tarahčiíšuʾ
moccasin	xúhtš
Hubbard squash	néska
butternut squash	wahuxčiraánuʾ
squash	wahúx
elm	nakás
raccoon	ísat
otter	čitaapát
pottery	koskatít
prairie dog	áxkus
skunk	níwit
nighthawk	kátwiʾiš
goshawk	neetahkaráni
red-tailed hawk	neetahpáhat
broad-winged hawk	neetahtaraxá
chicken hawk	ushá
tomahawk	kanistarahí
