Հայաստանի	Հայաստանի Հանրապետություն
Malta	Մալթա
Armenian	հայերեն
North America	Ամերիկա
Armenian	հայկական
Armenian	հայ
Armenian	հայուհի
Poland	Լեհաստան
ազգերի	Միացյալ ազգերի կազմակերպություն
thank you	շնորհակալ եմ
India	Հնդկաստան
organize	կազմակերպել
system	համակարգ
Chinese	չինարեն
Germany	Գերմանիա
France	Ֆրանսիա
Europe	Եվրոպա
Turkey	Թուրքիա
Russian	ռուսերեն
Russia	Ռուսաստան
Greek	հունարեն
Persia	Պարսկաստան
Georgian	վրացերեն
village	գյուղ
oak	կաղնի
English	անգլերեն
English	անգլիական
mask	դիմակ
kiss	պաչիկ
Persian	պարսկերեն
Ամերիկայի	Ամերիկայի Միացյալ Նահանգներ
freedom	ազատություն
Գերմանիայի	Գերմանիայի Դաշնային Հանրապետություն
happy birthday	ծնունդդ շնորհավոր
red	կարմիր
inquisitive	հետաքրքիր
arrow	նետ
banana	ադամաթուզ
I love you	ես քեզ սիրում եմ
blue	կապույտ
white	սպիտակ
brown	դարչնագույն
orange	նարնջագույն
green	կանաչ
milk	կաթ
cat	կատու
cow	կով
monkey	կապիկ
mouse	մուկ
elephant	փիղ
fish	ձուկ
January	հունվար
February	փետրվար
April	ապրիլ
May	մայիս
June	հունիս
July	հուլիս
August	օգոստոս
September	սեպտեմբեր
October	հոկտեմբեր
November	նոյեմբեր
December	դեկտեմբեր
Iranian	պարսկահայ
Spanish	իսպանական
second	վայրկյան
minute	րոպե
hour	ժամ
day	օր
Saturday	շաբաթ
month	ամիս
year	տարի
one moment, please	մեկ վայրկյան
mouth	բերան
foot	ոտք
hand	ձեռք
ear	ականջ
eye	աչք
elbow	արմունկ
shoulder	ուս
knee	ծունկ
breast	կուրծք
hair	մազ
cut	խուզել
one	մեկ
zero	զրո
two	երկու
yesterday	երեկ
four	չորս
five	հինգ
six	վեց
seven	յոթ
eight	ութ
nine	ինը
ten	տասը
welcome	բարի գալուստ
adult	մեծահասակ
man	տղամարդ
woman	կին
son	երեխա
human being	մարդ
Africa	Աֆրիկա
Ukraine	Ուկրաինա
Sweden	Շվեդիա
Switzerland	Շվեյցարիա
Italy	Իտալիա
Japan	Ճապոնիա
Korea	Կորեա
Israel	Իսրայել
Norway	Նորվեգիա
Latvia	Լատվիա
Ղարաբաղ	Լեռնային Ղարաբաղ
Iraq	Իրաք
Asia	Ասիա
Japanese	ճապոնական
Swedish	շվեդական
Norwegian	նորվեգական
German	գերմանական
German	գերմանացի
Japanese	ճապոնացի
Chinese	չինացի
Swede	շվեդ
Ukrainian	ուկրաինական
Ukrainian	ուկրաինացի
Czech	չեխական
Czech	չեխ
Russian	ռուսական
Russian	ռուս
Spaniard	իսպանացի
French	ֆրանսիական
Frenchman	ֆրանսիացի
kill	սպանել
old man	ծերուկ
brother	եղբայր
sister	քույր
father	հայր
son	որդի
girl	աղջիկ
fig	թուզ
witchcraft	թովչանք
maternal uncle	քեռի
paternal uncle	հորեղբայր
maternal uncle	մորեղբայր
paternal aunt	հորաքույր
maternal aunt	մորաքույր
sororal nephew	քեռորդի
fraternal nephew	եղբորորդի
husband	ամուսին
wedding	հարսանիք
marriage	ամուսնություն
boy	տղա
baby	բալիկ
frog	գորտ
dog	շուն
bird	թռչուն
remission	թողություն
turkey	հնդկահավ
shark	շնաձուկ
rhinoceros	ռնգեղջյուր
bear	արջ
lion	առյուծ
tiger	վագր
brown rat	շիկամուկ
spider	սարդ
crocodile	կոկորդիլոս
sheep	ոչխար
goat	այծ
Yugoslavia	Հարավսլավիա
Monday	երկուշաբթի
Sunday	կիրակի
Tuesday	երեքշաբթի
Wednesday	չորեքշաբթի
Thursday	հինգշաբթի
Friday	ուրբաթ
irritate	ջղայնացնել
hare	նապաստակ
beaver	կուղբ
wolf	գայլ
raven	ագռավ
European Union	Եվրամիություն
Denmark	Դանիա
Liechtenstein	Լիխտենշտեյն
Lithuania	Լիտվա
Croatia	Խորվաթիա
Cyprus	Կիպրոս
Macedonia	Մակեդոնիա
Moldova	Մոլդովա
Չեխիայի	Չեխիայի Հանրապետություն
Serbia	Սերբիա
Finland	Ֆինլանդիա
Slovakia	Սլովակիա
Indonesia	Ինդոնեզիա
Iran	Իրան
Laos	Լաոս
Lebanon	Լիբանան
Կորեա	Հարավային Կորեա
Կորեա	Հյուսիսային Կորեա
Jordan	Հորդանան
Kyrgyzstan	Ղրղզստան
Myanmar	Մյանմա
Mongolia	Մոնղոլիա
Nepal	Նեպալ
Sri Lanka	Շրի Լանկա
Չինաստանի	Չինաստանի Ժողովրդական Հանրապետություն
Pakistan	Պակիստան
Syria	Սիրիա
Oman	Օման
Burundi	Բուրունդի
Gabon	Գաբոն
Eritrea	Էրիտրեա
Lesotho	Լեսոթո
Libya	Լիբիա
Cameroon	Կամերուն
Côte d'Ivoire	Կոտ դ՚Իվուար
Madagascar	Մադագասկար
Malawi	Մալավի
Nur-Sultan	Աստանա
eleven	տասնմեկ
twelve	տասներկու
thirteen	տասներեք
fourteen	տասնչորս
fifteen	տասնհինգ
sixteen	տասնվեց
seventeen	տասնյոթ
eighteen	տասնութ
nineteen	տասնինը
twenty	քսան
thirty	երեսուն
forty	քառասուն
fifty	հիսուն
sixty	վաթսուն
seventy	յոթանասուն
eighty	ութսուն
ninety	իննսուն
hundred	հարյուր
two hundred	երկու հարյուր
moon	լուսին
Mars	Մարս
Mercury	Մերկուրի
Jupiter	Յուպիտեր
Neptune	Նեպտուն
Uranus	Ուրան
Pluto	Պլուտոն
Venus	Վեներա
uranium	ուրան
plutonium	պլուտոնիում
oxygen	թթվածին
fluorine	ֆտոր
neon	նեոն
sodium	նատրիում
magnesium	մագնեզիում
silicon	սիլիցիում
phosphorus	ֆոսֆոր
announcing	հայտարարում
gram	գրամ
kilogram	կիլոգրամ
meter	մետր
kilometre	կիլոմետր
chestnut	շագանակագույն
gray	գորշ
summer	ամառ
spring	գարուն
autumn	աշուն
winter	ձմեռ
շնորհավոր	շնորհավոր Նոր Տարի
Passover	զատիկ
ascension	համբարձում
sulfur	ծծումբ
chlorine	քլոր
argon	արգոն
potassium	կալիում
carbon	ածխածին
beryllium	բերիլիում
lithium	լիթիում
helium	հելիում
hydrogen	ջրածին
