foot	pie
and	y
of	de
color	color
in	en
you	te
or	o
war	guerra
less	menos
country	país
create	crear
give	dar
under	sol
humour	humor
the	el
abandon	abandonar
your	to
fine	regular
related	pariente
no	non
chorus	coral
meat	carne
a	al
of	del
family	familia
window	ventana
see	ver
grace	gracia
silver	plata
butterfly	mariposa
ray	re
killing	matanza
skirt	saya
Spanish	español
day	día
map	mapa
nothing	nada
vowel	vocal
width	anchor
well	bien
neither	nin
salt	sal
baron	barón
man	home
sleeve	manga
old	mayor
now	agora
weedy	ruin
heart	corazón
blood	sangre
one	un
million	millón
tree	árbol
flower	flor
honey	miel
with	con
house	casa
eleven	once
bicycle	bicicleta
grape	uva
coffee	café
street	calle
basket	cesta
in	na
if	si
be	tar
the	la
la	lu
for	pa
democracy	democracia
you	tu
information	información
royal	real
tomato	tomate
with	cola
the	los
be	ser
water	agua
tea	té
brothers	hermanos
know	saber
know	conocer
spring	primavera
elk	alce
saw	serra
hand	mano
seven	siete
by means of	per
bodily	corporal
talk	falar
drink	beber
put	poner
split	fender
he	él
fugue	fuga
weapon	arma
we	nós
five	cinco
sing	cantar
buy	comprar
eat	comer
sleep	dormir
hello	hola
love	querer
sell	vender
history	historia
soul	alma
buttock	nalga
grey	gris
pear	pera
elephant	elefante
more	más
library	biblioteca
in	nel
not	nun
material	materia
watch	vela
spider	araña
Russia	Rusia
before	ante
him	-y
axle	exa
walk	andar
twenty	venti
edge	vera
letter	carta
two	dos
writer	escritor
majuscule	mayúscula
nickel	níquel
arrive	llegar
work	funcionar
church	ilesia
petrol	gasolina
syllable	sílaba
bull	bue
go	dir
hunger	fame
father	padre
bench	banca
the	lo
Italy	Italia
bean	faba
with	colo
eight	ocho
four	cuatro
nine	nueve
table	mesa
ten	diez
six	seis
envelope	sobre
Catalan	catalán
agriculture	agricultura
wing	ala
jacket	chaqueta
enjoy	disfrutar
dawn	alba
ground	tierra
pirate	pirata
for	por
choose	elixir
the	les
therefore	poro
air	aire
sea	mar
early	pronto
hour	hora
train	tren
month	mes
mother	ma
ugly	feu
name	nome
of	d'
for	pal
feel	sentir
appearance	pinta
I	yo
cuckoo	cucu
watch over	velar
mother	madre
door	puerta
author	autor
fly	mosca
coin	moneda
order	mandar
search	buscar
with	col
blue	azul
sword	espada
for	polo
by means of	pela
jump	saltar
stop	parar
think	pensar
circle	circular
lose	perder
win	ganar
common	usual
Europe	Europa
poll	encuesta
birthday	cumpleaños
make	facer
ship	nave
beach	playa
for	pol
courage	valor
Vietnamese	vietnamita
God	dios
Zea mays	maíz
wave	onda
Greece	Grecia
bridge	ponte
horseshoe	ferradura
lorry	camión
room	sala
between	ente
sodium	sodiu
queen	reina
France	Francia
enter	entrar
encyclopedia	enciclopedia
food	comida
person	persona
violet	viola
Tuesday	martes
April	abril
in	nuna
stem	tallu
abbreviation	abreviatura
one	mil
that	que
sand	arena
east	este
large	grande
piece	cachu
big	gran
hen	pita
south	sur
sweet	dulce
shape	forma
Arabic	árabe
problem	problema
me	min
mine	mina
party	fiesta
inhabitant	habitante
have got	tener
leave	salir
grief	pena
there be	haber
hot	caliente
thing	cosa
never	nunca
mathematics	matemática
English	inglés
fairy	fada
finish	finar
accept	aceptar
poor	probe
come	venir
tide	marea
vomit	vomitar
green	verde
equation	cuenta
French	francés
cooking	cocina
rain	llover
smoke	fumar
car	coche
view	vista
tomorrow	mañana
curve	curva
sin	pecar
live	vivir
potassium	potasiu
touch	tocar
gull	gaviota
ivy	yedra
luck	suerte
yolk	yema
up	arriba
death	muerte
xenon	xenón
use	utilizar
use	usar
hoof	uña
urn	urna
insult	insultar
cousin	prima
fluorine	flúor
neon	neón
sulfur	azufre
argon	argón
copper	cobre
zinc	cinc
radon	radón
hurt	doler
report	parte
we	nosotros
expensive	caru
inundation	inundación
penis	pene
cow	vaca
open	abrir
write	escribir
clothes	ropa
alpha	alfa
art	arte
finish	acabar
discover	descubrir
factory	fábrica
chain	cadena
paper	papel
corkscrew	sacacorchos
November	noviembre
December	diciembre
Mars	Marte
all	tol
life	vida
north	norte
west	oeste
handcuff	esposa
burn	quemadura
burn	quemar
chemistry	química
fifteen	quince
five hundred	quinientos
get rid of	quitar
breakfast	almorzar
ninety	noventa
swim	nadar
disappear	faltar
pharmacy	farmacia
serve	servir
until	hasta
culture	cultura
mouth	boca
Poland	Polonia
fridge	nevera
bottle	botella
in	n'
skill	maña
always	siempre
each	cada
pain	dolor
breathe	respirar
welcome	bienvenida
cup	taza
wedding	boda
beaver	castor
to	a
God	Dios
Esther	Ester
my	mio
rain	lluvia
victory	victoria
defeat	vencer
England	Inglaterra
translate	traducir
drink	bebida
Wednesday	miércoles
snowfall	nevada
forty	cuarenta
depth	fondu
heat	calor
begin	empezar
be born	nacer
planet	planeta
support	apoyar
strong	fuerte
twelve	doce
thirteen	trece
fourteen	catorce
against	contra
mount	monte
pick	acordar
science	ciencia
take	tomar
prove	probar
near	cerca
power	poder
restaurant	restaurante
one	unu
zero	cero
produce	producir
dollar	dólar
throw	echar
operating system	sistema operativu
Finnish	finlandés
help	ayudar
boy	rapaz
handle	mangu
fifty	cincuenta
sixty	sesenta
seventy	setenta
eighty	ochenta
wait	esperar
this	esti
mushroom	seta
snow	nieve
teach	enseñar
surprise	sorprender
school	escuela
available	disponible
plant	planta
add	sumar
uncle	tíu
aunt	tía
series	serie
grade	grau
number	cifra
wall	parede
Anguilliformes	anguila
face	cara
level	nivel
in	nes
bed	cama
artery	arteria
star	estrella
early	ceo
help	aida
aeroplane	avión
investigation	investigación
date	fecha
violence	violencia
bullet	bala
birth	nación
exit	salida
republic	república
way	manera
area	área
adolescent	adolescente
station	estación
conversation	conversación
obligation	obligación
reply	respuesta
rescue	rescate
visit	visita
tolerance	tolerancia
division	división
leader	líder
strength	fuerza
proof	prueba
importance	importancia
present	presentar
sign	firmar
accompany	acompañar
insure	asegurar
organize	organizar
deny	negar
finance	financiar
include	incluir
control	controlar
treat	tratar
authorize	autorizar
prepare	preparar
interpret	interpretar
consider	considerar
economy	economía
epoch	época
condition	condición
business	empresa
housing	vivienda
threat	amenaza
reason	razón
invasion	invasión
population	población
television	televisión
court	corte
journalist	periodista
blanket	manta
mattress	colchón
turtle	tortuga
hard	duru
proposal	propuesta
opinion	opinión
duration	duración
suffer	sufrir
imprison	encarcelar
mean	significar
sustain	sostener
television set	televisor
whisky	güisqui
entry	entrada
trousers	pantalón
silk	seda
grow	crecer
surprise	sorpresa
tourist	turista
policy	política
rule	regla
hit	golpe
visitor	visitante
begin	comenzar
govern	gobernar
pressure	presión
mission	misión
reference	referencia
act	actuar
celebrate	celebrar
get	conseguir
assassinate	asesinar
confess	confesar
recognize	reconocer
realize	realizar
publish	publicar
state	destacar
tooth	diente
grindstone	muela
nose	nariz
skin	piel
back	espalda
hip	cadera
palm	palma
vein	vena
circumstance	circunstancia
violation	violación
recommendation	recomendación
head	encabezar
punish	castigar
ask	preguntar
compare	comparar
facilitate	facilitar
activate	activar
princess	princesa
last	durar
minority	minoría
operation	operación
arrest	detener
machine	máquina
sharpen	afilar
cause	causar
mark	marcar
combine	combinar
immigration	inmigración
worry	preocupación
system	sistema
understand	entender
divide	dividir
maintain	mantener
direction	dirección
edition	edición
chin	barba
make up	formar
assert	afirmar
complete	completar
control	favorecer
painter	pintor
thirty	trenta
bow	arcu
Switzerland	Suiza
queen	dama
dress	vistir
bench	bancu
put up with	aguantar
smile	sonrisa
key	llave
prince	príncipe
impossible	imposible
equal	igual
Moscow	Moscú
translation	traducción
hang	colgar
urine	orina
godmother	madrina
flag	bandera
motorcycle	moto
as soon as	según
eagle	águila
help	ayuda
anger	enfadar
abandon	plantar
cook	cocinar
need	necesitar
die	morrer
neither	tampoco
toward	hacia
completely	completamente
wool	llana
forget	olvidar
cut	cortar
move	mover
owner	amu
group	agrupar
German	alemán
kiss	besar
lung	pulmón
belt	correa
vaccinate	vacunar
nighttime	velada
educate	educar
rainforest	selva
rope	soga
leg	pierna
fruit	fruta
shortness	corteza
stone	piedra
cloud	nube
motorcycle	motocicleta
language	idioma
photograph	fotografía
where	onde
frequent	frecuente
calm	sele
without	ensin
melon	melón
pay	pagar
appreciate	apreciar
for	poles
area	superficie
respond	responder
rule	norma
cry	llorar
de	de nuevo
cupful	copa
king	rei
important	importante
column	columna
Pica	pega
tradition	tradición
it	elli
give birth	parir
beam	viga
Albanian	albanés
potato	pataca
light bulb	bombilla
wood	madera
mount	montar
put	colocar
speaking	fala
head	cabezón
thirst	sede
urinate	orinar
evil	malu
gold	oru
with	colos
wax	cera
rob	robar
possible	posible
table	tabla
chicken	pitu
tower	torre
butter	mantega
marbles	gua
mouse	ratu
force	forzar
cinema	cine
shot	clin
mute	mudu
tube	tubu
feliz	feliz cumpleaños
farewell	despidida
invite	invitar
paint	pintar
arma	arma blanca
roast	asar
black	negru
pianist	pianista
since	magar
en	nesti
rope	cuerda
listen	escuchar
grain	bubu
attach	atar
apricot	albaricoque
Jupiter	Xúpiter
soup	sopa
hunt	cazar
pot	pota
sit	sentar
string	filu
until	fasta
order	orde
work	marchar
negative	negativa
shade	sombra
membrane	membrana
finger	deu
employ	emplegar
chat	charrar
equally	igualmente
plum	ciruela
now	yá
pure	puru
hear	oyer
poem	poema
dimension	dimensión
fountain	fonte
village	aldea
cherry	cereza
watermelon	sandía
partridge	perdiz
biography	biografía
grab	agarrar
happen	asistir
invade	invadir
feed	alimentar
separate	apartar
hoover	aspirar
capture	atrapar
change	cambiar
condemn	condenar
consult	consultar
answer back	contestar
derive	derivar
fold	doblar
eliminate	eliminar
avoid	evitar
impress	impresionar
inspire	inspirar
result	resultar
adulterate	adulterar
inaugurate	inaugurar
infect	infestar
safeguard	amparar
anchor	anclar
animate	animar
marry	casar
milk	catar
lock down	confinar
invite	convidar
order	ordenar
danger	peligrar
worry	preocupar
anchor	ancla
barely	apenes
button	botón
option	opción
undress	desnudar
destine	destinar
reveal	desvelar
key	tecla
emigrate	emigrar
chain	encadenar
thread	enfilar
rehearse	ensayar
belly	barriga
get divorced	divorciase
film	filmar
get drunk	emborrachase
inflate	inflar
flood	inundar
with	coles
scale	escama
emmer	escanda
sister	hermana
sisters	hermanes
grow	medrar
shrink	menguar
mix	mezclar
prune	podar
write up	redactar
row	remar
bleed	sangrar
rescue	rescatar
Asturian	asturianu
salivate	salivar
underlie	someter
sound	sondear
swallow	sorber
turn	tornar
wall	paré
by means of	peles
question	pregunta
dentist	dentista
stain	mancha
kill	matase
loss	mengua
mixture	mezcla
magazine	revista
siren	serena
fin	aleta
father	pá
snow	nevar
in	no
Denmark	Dinamarca
shirt	camisa
matter	cuestión
Bretaña	Gran Bretaña
grandson	nietu
skiing	esquí
whale	ballena
case	casu
wine	vinu
Sicilian	sicilianu
holy	santu
in	nelli
skirt	falda
all	tou
plum	nisu
athlete	atleta
por	por qué
by means of	pelos
hair	pelu
en	nestos
temperature	temperatura
Portuguese	portugués
Irish	irlandés
International Phonetic Alphabet	AFI
vegetable	verdura
by means of	pel
diaper	pañal
consonant	consonante
former	precedente
artist	artista
bread	pan
edit	editar
