six	𐬑𐬴𐬎𐬎𐬀𐬱
𐬰𐬫𐬂	𐬰𐬌𐬌𐬃
hundred	𐬯𐬀𐬙𐬀
enclosure	𐬞𐬀𐬌𐬭𐬌⸱𐬛𐬀𐬉𐬰𐬀
religion	𐬛𐬀𐬉𐬥𐬁
Good thoughts, Good words, Good deeds	𐬵𐬎𐬨𐬀𐬙𐬀 𐬵𐬏𐬑𐬙𐬀 𐬵𐬎𐬎𐬀𐬭𐬱𐬙𐬀
water	𐬀𐬞
head	𐬯𐬁𐬭𐬀
autonym	𐬀𐬌𐬭𐬌𐬌𐬀
good	𐬵𐬎
Hyrcania	𐬬𐬆𐬵𐬭𐬐𐬁𐬥𐬀
Mazda	𐬨𐬀𐬰𐬛𐬀𐬌𐬌𐬀𐬯𐬥𐬀
Zarathustra	𐬰𐬀𐬭𐬀𐬚𐬎𐬱𐬙𐬭𐬀
Saoshyant	𐬯𐬀𐬊𐬳𐬌𐬌𐬀𐬧𐬝
contract	𐬨𐬌𐬚𐬭𐬀
wolf	𐬬𐬆𐬵𐬭𐬐𐬀
brother	𐬠𐬭𐬁𐬙𐬀𐬭
demon	𐬛𐬀𐬉𐬎𐬎𐬀
man	𐬬𐬍𐬭𐬀
tongue	𐬵𐬌𐬰𐬎𐬎𐬁
master	𐬬𐬍𐬯𐬞𐬀𐬌𐬙𐬌
wheel	𐬗𐬀𐬑𐬭𐬀
sun	𐬵𐬎𐬎𐬀𐬭𐬆
mother	𐬨𐬁𐬙𐬀𐬭
yazata	𐬫𐬀𐬰𐬀𐬙𐬀
sacrifice	𐬫𐬀𐬯𐬥𐬀
Avestan	𐬀
hand	𐬰𐬀𐬯𐬙𐬀
fire	𐬁𐬙𐬀𐬭
around	𐬞𐬀𐬌𐬭𐬌
shoe	𐬀𐬊𐬚𐬭𐬀
name	𐬥𐬁𐬨𐬀𐬥
three	𐬚𐬭𐬌
bone	𐬀𐬯𐬙
month	𐬨𐬁𐬵
Avestan	𐬨
Mazda	𐬨𐬀𐬰𐬛𐬁
we	𐬬𐬀𐬉𐬨
find	𐬬𐬀𐬉𐬛
eat	𐬀𐬛
iron	𐬀𐬌𐬌𐬀𐬢𐬵
water	𐬁𐬞𐬋
bear	𐬀𐬭𐬴𐬀
day	𐬀𐬯𐬀𐬭𐬆
horse	𐬀𐬯𐬞𐬀
snake	𐬀𐬲𐬌
otter	𐬎𐬛𐬭𐬀
camel	𐬎𐬱𐬙𐬭𐬀
dusk	𐬎𐬴𐬀𐬢𐬵
morning	𐬎𐬴𐬁
mountain	𐬐𐬀𐬊𐬟𐬀
vulture	𐬐𐬀𐬭𐬐𐬁𐬯𐬀
crab	𐬐𐬵𐬀𐬭𐬞𐬎
night	𐬑𐬴𐬀𐬞
night	𐬥𐬀𐬑𐬙𐬎
night	𐬑𐬴𐬀𐬞𐬀𐬥
day	𐬑𐬴𐬀𐬞𐬀𐬭𐬀
wall	𐬛𐬀𐬉𐬰𐬀
hedgehog	𐬛𐬎𐬲𐬀𐬐𐬀
hedgehog	𐬯𐬍𐬲𐬀𐬐𐬀
livestock	𐬞𐬀𐬯𐬎
father	𐬞𐬌𐬙𐬀𐬭
beaver	𐬠𐬀𐬡𐬭𐬀
goat	𐬠𐬏𐬰𐬀
fish	𐬨𐬀𐬯𐬌𐬌𐬀
month	𐬨𐬃𐬢𐬵
mouse	𐬨𐬏𐬱
year	𐬫𐬁𐬭𐬆
boar	𐬬𐬀𐬭𐬁𐬰𐬀
dawn	𐬬𐬍-𐬬𐬀𐬢𐬵
noon	𐬭𐬀𐬞𐬌𐬚𐬡𐬁
eagle	𐬯𐬀𐬈𐬥𐬀
century	𐬯𐬀𐬙𐬀𐬌𐬌𐬁𐬭𐬆
dog	𐬯𐬞𐬀𐬥
earth	𐬰𐬄𐬨
time	𐬰𐬭𐬎𐬎𐬁𐬥
hoof	𐬯𐬀𐬟𐬀
Ahura Mazda	𐬀𐬵𐬎𐬭𐬀 𐬨𐬀𐬰𐬛𐬁
old	𐬞𐬆𐬭𐬆𐬥𐬁𐬌𐬌𐬎
other	𐬀𐬥𐬌𐬌𐬀
community	𐬬𐬆𐬭𐬆𐬰𐬇𐬥𐬀
sunny	𐬓𐬇𐬥𐬎𐬎𐬀𐬧𐬙
sun	𐬓𐬀𐬥
dream	𐬓𐬀𐬟𐬆𐬥𐬀
self	𐬓𐬀
anger	𐬀𐬉𐬴𐬨𐬀
anger	𐬀𐬉𐬱𐬆𐬨𐬀
thought	𐬨𐬀𐬥𐬀𐬵
two	𐬛𐬎𐬎𐬀
one	𐬀𐬉𐬎𐬎𐬀
deceptive	𐬛𐬭𐬆𐬔𐬎𐬎𐬀𐬧𐬙
deceive	𐬛𐬭𐬎𐬲𐬀𐬌𐬙𐬌
wasp	𐬬𐬀𐬡𐬲𐬀𐬐𐬀
correct	𐬆𐬭𐬆𐬱
word	𐬬𐬀𐬗𐬀𐬵
kind	𐬵𐬎𐬨𐬀𐬥𐬀𐬵
high	𐬠𐬆𐬭𐬆𐬰𐬀𐬧𐬙
earth	𐬠𐬏𐬨𐬌
inside	𐬀𐬧𐬙𐬀𐬭𐬆
ə	𐬆
done	𐬐𐬆𐬭𐬆𐬙𐬀
deceived	𐬛𐬭𐬎𐬑𐬙𐬀
cow	𐬔𐬀𐬎𐬎
desire	𐬐𐬁𐬨𐬀
wood	𐬛𐬁𐬎𐬭𐬎
your	𐬚𐬡𐬀
you	𐬙𐬏𐬨
third	𐬚𐬭𐬌𐬙𐬌𐬌𐬀
and	𐬎𐬙𐬁
and	𐬗𐬀
rule	𐬑𐬱𐬀𐬚𐬭𐬀
bear	𐬠𐬀𐬭𐬀𐬌𐬙𐬌
knee	𐬰𐬁𐬥𐬎
evil	𐬀𐬢𐬭𐬀
know	𐬬𐬌𐬛
think	𐬨𐬀𐬥
do	𐬐𐬀𐬭
think	𐬨𐬀𐬌𐬥𐬌𐬌𐬈𐬙𐬈
chariot	𐬭𐬀𐬚𐬀
foreign	𐬀𐬥𐬀𐬌𐬭𐬌𐬌𐬀
hostile	𐬵𐬀𐬉𐬥𐬁
possessed	𐬛𐬀𐬉𐬎𐬎𐬀𐬎𐬎𐬀𐬧𐬙
door	𐬛𐬎𐬎𐬀𐬭
strong	𐬀𐬨𐬀𐬎𐬎𐬀𐬧𐬙
so	𐬀𐬝
question	𐬟𐬆𐬭𐬀𐬯𐬁
this	𐬙𐬀
evil	𐬀𐬐𐬀
wash	𐬥𐬀𐬉𐬥𐬌𐬲𐬀𐬌𐬙𐬌
go	𐬀𐬉𐬙𐬍
sky	𐬛𐬫𐬀𐬊𐬱
make	𐬬𐬀𐬭𐬆𐬛𐬀𐬌𐬙𐬌
pleasant	𐬟𐬭𐬌𐬌𐬀
step	𐬔𐬁𐬌𐬌𐬀
iron	𐬀𐬌𐬌𐬀𐬵
inheritance	𐬭𐬀𐬉𐬑𐬆𐬥𐬀𐬵
cow	𐬔𐬀𐬊𐬨𐬀𐬉𐬰𐬀
tree	𐬬𐬀𐬭𐬆𐬱𐬀
stable	𐬀𐬯𐬞𐬋⸱𐬯𐬙𐬁𐬥𐬀
post	𐬄𐬌𐬚𐬌𐬌𐬁
do	𐬬𐬆𐬭𐬆𐬰
motion	𐬫𐬀𐬊𐬰𐬀𐬌𐬙𐬌
creator	𐬛𐬁𐬙𐬀𐬭
five	𐬞𐬀𐬧𐬗𐬀
seven	𐬵𐬀𐬞𐬙𐬀
eight	𐬀𐬱𐬙𐬀
nine	𐬥𐬀𐬎𐬎𐬀
I	𐬀𐬰𐬇𐬨
first	𐬟𐬭𐬀𐬙𐬆𐬨𐬀
thousand	𐬵𐬀𐬰𐬀𐬢𐬭𐬀
ten	𐬛𐬀𐬯𐬀
you	𐬫𐬏𐬲𐬆𐬨
us	𐬀𐬵𐬨𐬀
us	𐬥𐬃
you	𐬬𐬃
heart	𐬰𐬆𐬭𐬆𐬛
summer	𐬵𐬀𐬨
great	𐬨𐬀𐬰
house	𐬛𐬀𐬨
man	𐬥𐬀𐬭
daughter	𐬛𐬎𐬔𐬆𐬛𐬀𐬭
sister	𐬓𐬀𐬢𐬵𐬀𐬭
this	𐬵𐬀
four	𐬗𐬀𐬚𐬡𐬀𐬭
along	𐬟𐬭𐬀
down	𐬥𐬌
fox	𐬭𐬀𐬊𐬞𐬌
broad	𐬞𐬆𐬭𐬆𐬚𐬎
give	𐬛𐬀𐬛𐬁𐬌𐬙𐬌
ask	𐬞𐬆𐬭𐬆𐬯𐬀𐬌𐬙𐬌
-est	-𐬌𐬱𐬙𐬀
long	𐬛𐬀𐬭𐬆𐬔𐬀
sleep	𐬓𐬀𐬟𐬥𐬀
divided	𐬠𐬀𐬑𐬙𐬀
lord	𐬀𐬵𐬎𐬭𐬀
twenty	𐬬𐬍𐬯𐬀𐬌𐬙𐬌
thirty	𐬚𐬭𐬌𐬯𐬀𐬙
paradise	𐬬𐬀𐬵𐬌𐬱𐬙𐬋𐬀𐬢𐬵𐬎𐬱
holy	𐬯𐬞𐬆𐬧𐬙𐬀
cow	𐬔𐬀𐬊
whole	𐬵𐬀𐬎𐬭𐬎𐬎𐬀
immortal	𐬀𐬨𐬆𐬴𐬀
spirit	𐬨𐬀𐬌𐬥𐬌𐬌𐬎
sea	𐬰𐬭𐬀𐬌𐬌𐬀𐬢𐬵
truthful	𐬀𐬴𐬀𐬎𐬎𐬀𐬥
mantra	𐬨𐬄𐬚𐬭𐬀
womb	𐬔𐬀𐬭𐬆𐬡𐬀
lie	𐬛𐬭𐬎𐬑𐬱
clothing	𐬬𐬀𐬯𐬙𐬭𐬀
death	𐬨𐬆𐬭𐬆𐬚𐬌𐬌𐬎
gone	𐬔𐬀𐬙𐬀
dead	𐬨𐬆𐬭𐬆𐬙𐬀
woman	𐬯𐬙𐬭𐬍
around	𐬀𐬌𐬡𐬌𐬙𐬋
tenth	𐬛𐬀𐬯𐬆𐬨𐬀
eighth	𐬀𐬱𐬙𐬆𐬨𐬀
protector	𐬚𐬭𐬁𐬙𐬀𐬭
son-in-law	𐬰𐬁𐬨𐬁𐬙𐬀𐬭
ninth	𐬥𐬀𐬊𐬨𐬀
