dog	anu
mother	mama
two	paya
plain	pampa
cow	waka
woman	palla
mä	maya
star	warawara
three	kimsa
woman	warmi
who	khiti
I	naya
we	jiwasa
louse	lapʼa
water	uma
day	uru
language	aru
fire	nina
devil	supaya
baby	wawa
yes	jisa
thou	juma
four	pusi
ten	tunka
moon	phaxsi
ice	chhullunkhaya
man	chacha
home	qamaña
sleep	iqui-iqui
loud	puxtiri
pasturage	qullcha
pasturage	qullchanni
Babel	wawil
geography	uraqita
five	phisqa
blood	wila
old man	achichi
alpaca	allpaqa
Tremarctos ornatus	jukumari
mouse	achaku
snow	khunu
door	punku
prince	mallku
scissors	khuchuña
spider	kusikusi
pencil	lapisa
daughter	phucha
ear	jinchu
sparrow hawk	allqamari
sexual orientation	sarnaqaña uñtapa
citizenship	markachiri
origin	yuriñapa
agriculture	yapuchäwi
ideology	amuyupa
pregnancy	wallqi
he	jupa
we	nanaka
ye	jumanaka
they	jupanaka
we	jiwasanaka
my	nayana
thy	jumana
his	jupana
our	jiwasana
our	jiwasanakana
our	nanakana
your	jumanakana
their	jupanakana
niece	ipasi
