shirt	ao
that	to
bank	hang
younger	oh
open	ha
louse	si
hand	ti
child	kon
eat	sa
earth	teh
go	năm
bathe	hum
fly	roi
fish	ka
bird	sem
banana	prit
cat	meo
wind	kial
give	ăn
forest	bri
skin	akar
weave	tanh
dream	apo
fly	păr
metal	mam
mushroom	blok
you	ih
upper	blu
chin	kang
coconut	gao
husband	klo
water	đak
night	măng
duck	bip
someone	đe
fat	bek
float	đông
nose	muh
bitter	tăng
tiger	kla
in	lăm
belly	klak
write	chih
Vietnam	Rađe
mother	mĕ
fruit	plei
stand	dơ̆ng
unhusked	ʼba
mă	ʼbar
snake	ʼbih
salt	ʼboh
not	ưh
chicken	iĕr
sit	oĕi
I	inh
know	băt
roof	bơbư̆ng
think	tơchĕng
bone	kơting
sweet	ʼngam
red	ʼbrê
sky	plĕnh
human	bơngai
river	krong
language	nơ̆r
hot	tŏ
die	lôch
papaya	jăr
pimple	mŭn
blood	pham
split	hơđang
explode	pơđôh
heavy	hngăm
now	ahrei
stone	tơmo
deep	jrŭ
horn	hơke
village	rông
see	ʼbôh
bad	ʼmê̆
leaf	hla
thorn	jơla
year	hơnăm
bite	kăp
unripe	kơsĕ
sour	iŭ
wild	hơda
swell	pông
kill	pơlôch
hair	sŏk
goat	bơbe
thing	tơdrong
lung	dơsoh
sated	phĭ
help	dŏng
centipede	kơep
banyan	jri
mouse	kơne
house	hnam
fire	ŭnh
ear	đon
ten	jĭt
bear	chơgơu
tiger	kiĕk
pour	tuh
day	năr
eye	măt
mouth	ʼbơ̆r
tongue	rơpiĕt
tail	kiĕng
leg	jơ̆ng
rabbit	tơpai
dragonfly	klo ʼba
catfish	hơkĕnh
mosquito	moih
mosquito	sơmĕch
frog	kưt
tadpole	plŭn
back	kơdŭ
rain	ʼmi
moon	khei
swim	glơi
cattle	rơmo
yawn	kơʼngap
sand	chuơh
bury	ʼbŭ
iron	bơxey
dog	kŏ
wolf	kŏ so
door	ʼmăng
liver	klơm
hear	kơtơ̆ng
flower	pơkao
high	kơjung
low	kơđeh
far	ataih
near	jê̆
cloud	hơmơ̆l
bed	giơng
grass	ʼnhĕt
root	rơh
waterfall	đak tơkơi
pig	nhŭng
bark	kuăl
sing	hơri
bamboo shoot	tơʼbăng
run	kơdâu
sea	đak dơsĭ
mud	trôk
thick	hơʼbơ̆l
below	kơ’nơ̆m
tree	ʼlong
needle	jrŭm
kiss	chŭm
ripe	đum
tuber	ʼbum
good	ʼlơ̆ng
blow	hlôm
flood	lơ̆p
loincloth	kơpen
hate	areh
rice wine	pūŋ
full	ʼbĕnh
old	kră
dirty	kơmŏ
vegetable	ʼnhot
drink	nhă
wing	pơnăr
hungry	pơngot
want	ʼmaih
water buffalo	kơpô
betel	bơlŏu
pangolin	bơnhuăl
arrow	ʼbrơ̆m
wash	ʼnhao
star	sơnglŏng
buy	răt
people	gơ̆p
vomit	hăk
spit out	kơsoh
drum	sơgơ̆r
wife	akăn
morning	pơgê
shoulder	hơngiĕng
lake	dơnŏu
hard	arăng
mă	mônh
garden	pơgar
plant	pơtăm
grue	jơk
machine	kơmăi
lychee	jrang
choose	rơ̆ih
poor	dơnŭh
make	pơdơ̆ng
