water	weer
child	anak
cook	taring
body	waka
buy	ili
come	taka
person	mian
eat	kaan
foot	sarat
bite	kakat
leaf	roon
day	ilio
knee	tuur
look for	sarak
sibling	utus
rice	pae
full	benteng
blood	rara'
fish	susum
coconut	nuur
name	ngaan
nose	ngoor
hair	wuuk
lip	wewer
head	takala'
mouse	bokoti'
house	laigan
husband	langkai'
wife	boroki'
tooth	wese'
ear	tilinga
heart	suloo
tongue	sila'
belly	kompong
neck	gogorong
neck	toure'
finger	rangkum
sleep	royot
laugh	lengke
go	mae'
face	ro'up
wash	miro'up
urine	tidi'
urinate	motidi'
fruit	woo'
bear fruit	miwoo'
hear	rongor
know	inti'i
eat	kumaan
enter	minsoop
eggplant	poki-poki'
banana	loka'
new	u'uru
hungry	mololu
hungry	makayo'
