pull	abut
fish	be
you	ci
moon	bulan
four	empat
in	ring
too	bes
tree	wit
tough	alot
money	pipis
older	beli
what	apa
penis	celak
very	gati
shirt	baju
céléng	celeng
ashes	tanah
yesterday	ibi
handsome	bagus
iron	besi
delicious	enak
that	ane
who	nyen
jequirity	saga
follow	milu
bored	emed
vegetables	jukut
rice	sengauk
distant	joh
excrement	tai
divide	dum
fire	api
taste	rasa
young	muda
island	nusa
mother	ina
pus	nanah
you	cai
news	orti
sheep	biri-biri
hard	katos
tooth	gigi
full	bek
pig	bawi
news	orta
backyard	natar
spirit	taksu
many	liu
green	ijo
body	awak
mango	poh
ear	kuping
measure	ukur
root	akah
smoke	asep
grey	uban
arm	lengen
descend	tuun
smoke	ᬳᬲᭂᬧ᭄
dog	ᬳᬲᬸ
green	wilis
blood	getih
egg	endog
right	tengen
grandmother	ᬤᬤᭀᬂ
this	niki
four	ᬧᬢ᭄ᬧᬢ᭄
pond	ᬦᬶᬃᬛᬭ
ship	ᬓᬧᬮ᭄
child	ᬧᬦᬓ᭄
membership	ᬧᬓ᭄ᬭᬫᬦ᭄
Tamblang	ᬢᬫ᭄ᬩ᭄ᬮᬂ
laughter	ᬩ᭄ᬭ᭄ᬬᬕ᭄
time	ᬓᬮ
force	ᬧᬓ᭄ᬲ
elder brother	ᬭᬓ
disc	ᬘᬓ᭄ᬭ
customary	ᬓ᭄ᬭᬫ
priest	ᬯᬮᬓ
house	ᬚᭂᬭᭀ
nine	ᬲᬶᬬ
giant	ᬤᬿᬢ᭄ᬬ
angklung	ᬳᬂᬓ᭄ᬮᬸᬂ
dharma	ᬥᬃᬫ
because	ᬭ᭄ᬬᬦ᭄ᬢᬸᬓ᭄
kayu	ᬓᬬᬸ
friend	ᬢᬶᬫ᭄ᬧᬮ᭄
needle	ᬚᬳᬸᬫ᭄
you	iratu
crab	yuyu
pig	ᬘᭂᬍᬂ
that	punika
conclusion	puputan
yellow	ᬓᬸᬦᬶᬂ
rakshasa	ᬭᬓ᭄ᬱᬲ
fire	ᬕᭂᬦᬶ
wind	ᬩᬬᬸ
moon	ᬩᬸᬮᬦ᭄
jewel	ᬫᬦᬶᬓ᭄
rain	ᬳᬸᬚᬦ᭄
labial	ᬑᬱ᭄ᬞ᭄ᬬ
consonant	ᬯ᭄ᬬᬜ᭄ᬚᬦ
lie	ᬤᬸᬱ᭄ᬝ
green	gadang
you	ragane
safety	rahajeng
blood	ᬕᭂᬢᬶᬄ
money	jinah
fire	ᬳᬧᬶ
voice	ᬯᬘᬦ
word	ᬯᬘᬶᬓ
stomach	ᬩᬲᬂ
yes	ᬗ᭄ᬕᬶᬄ
soap	ᬲᬩᬸᬦ᭄
tin	ᬢᬶᬫᬄ
tin	ᬢᬶᬫᬄᬧᬸᬢᬶᬄ
small	ᬘᭂᬦᬶᬓ᭄
life	ᬚᬶᬯ
although	ᬚᬶᬯᬲ᭄
stupid	ᬩᭂᬮᭀᬕ᭄
few	kikit
dance	ᬳᬶᬕᭂᬮ᭄
raising	ᬓᭂᬚᭂᬧ᭄
blind	ᬧᬾᬘᬾᬂ
ᬧᬸᬜᬦ᭄	ᬧᬸᬜᬦ᭄ᬘᭀᬓ᭄ᬮᬢ᭄
fig tree	ᬳᬯᬃᬳᬯᬃ
table	ᬫᬾᬚ
cartilage	ᬢᬢᬩᬦ᭄
spirit	ᬳᬜ᭄ᬘᬗᬦ᭄
duck	ᬩᬾᬩᬾᬓ᭄
be	ᬳᬤ
what	ᬳᬧ
person	ᬳᬦᬓ᭄
leech	ᬮᬮᬶᬦ᭄ᬢᬄ
full	ᬫᬶᬲᬶ
rice	ᬧᬬᬸᬓ᭄
forest	ᬳᬮᬲ᭄
children	ᬘᭂᬦᬶᬓ᭄ᬘᭂᬦᬶᬓ᭄
small	ᬳᬮᬶᬢ᭄
green	ᬚᬸᬓᬸᬢ᭄
smart	ᬤᬸᬯᭂᬕ᭄
already	ᬲᬸᬩ
Denpasar	ᬤᬾᬦ᭄ᬧᬲᬃ
widow	ᬭᬂᬤ
money	ᬚᬶᬦᬄ
money	ᬧᬶᬧᬶᬲ᭄
fine	ᬳᬮᬸᬲ᭄
cockfight	ᬢᬚᬾᬦ᭄
that	ᬦᬶᬓ
that	ᬧᬸᬦᬶᬓ
good	ᬩᭂᬘᬶᬓ᭄
market	ᬧᬲᬃ
if	ᬬᬾᬦᬶᬂ
name	ᬯᬲ᭄ᬢ
river	ᬢᬸᬓᬤ᭄
water	ᬬᬾᬄ
eight	kutus
salt	ᬳᬸᬬᬄ
salt	ᬢᬲᬶᬓ᭄
foot	ᬩᬢᬶᬲ᭄
foot	ᬘᭀᬓᭀᬃ
flower	ᬩᬸᬗ
calligraphy	ᬩᬮᬶᬕ᭄ᬭᬧ᬴ᬶ
I	ᬢᬶᬬᬂ
I	ᬢᬶᬢᬶᬬᬂ
Jimbaran	ᬚᬶᬫ᭄ᬩᬭᬦ᭄
coffee	ᬓᭀᬧᬶ
coffee	ᬯᬾᬤᬂ
smoke	ᬳᬦ᭄ᬤᬸᬲ᭄
dog	ᬘᬶᬘᬶᬂ
puppy	ᬓᬸᬮᬸᬓ᭄
no	ᬢᬸᬲᬶᬂ
own	ᬗᬾᬮᬄ
wet	ᬩᭂᬮᬸᬲ᭄
name	ᬳᬤᬦ᭄
stomach	ᬯᬤᬸᬓ᭄
ᬯᬤᬸᬓ᭄	ᬯᬤᬸᬓ᭄ᬩᭂᬋᬭᭀᬂ
tree	ᬧᬸᬜᬦ᭄
taut	ᬓᭂᬜᬂ
gamelan	beleganjur
sentence	lengkara
this	puniki
not	nénten
he	ipun
region	wawidangan
many	akéh
climb	menék
hanacaraka	ᬳᬦᬘᬭᬓ
cow	ᬲᬫ᭄ᬧᬶ
chicken	ᬲᬶᬬᬧ᭄
day	ᬤᬶᬦ
work	ᬓᬭ᭄ᬬ
market	ᬧᭂᬓᭂᬦ᭄
five	ᬮᬶᬫ
human	ᬫᬦᬸᬲ
papaya	ᬕᭂᬤᬂ
village	ᬤᬾᬰ
banana	ᬩᬶᬬᬸ
book	ᬩᬸᬓᬸ
bamboo	ᬧᬾᬜ᭄ᬚᭀᬃ
island	ᬧᬸᬮᭀ
miserable	ᬤᬷᬦ
earth	ᬧᬤ
foot	ᬧᬵᬤ
same	ᬧᬥ
hand	ᬳᬲ᭄ᬢ
eight	ᬅᬱ᭄ᬝ
bone	ᬅᬲ᭄ᬣ
be	ᬅᬲ᭄ᬢ
sick	ᬤᬦ
giving	ᬤᬵᬦ
wealth	ᬥᬦ
arm	ᬧᬮ
herdsman	ᬧᬵᬮ
result	ᬨᬮ
already	ᬳᬸᬯᬸᬲ᭄
speak	ᬯᬸᬯᬸᬲ᭄
salt	ᬳᬸᬓᬸ
west	ᬤᬯᬸᬄ
time	ᬥᬯᬸᬄ
