good	on
son	seme
rake	are
president	presidente
tiger	tigre
dog	or
door	ate
energy	adore
where	non
command	men
you	hi
town square	plaza
yes	bai
arm	beso
bald	soil
some	bat
look	so
bramble	lapar
almost	ia
smoke	ke
map	mapa
neck	sama
holy	done
part	lain
manner	era
two	bi
abacus	abako
flame	sugar
dot	tanto
summit	gain
dough	ore
there	han
hair	ile
I	ni
cedilla	ç
six	sei
pitch	bike
neon sign	neon
male	ar
kiss	pot
pussy	lu
kiss	pa
card game	mus
broad bean	baba
area	sail
tomato	tomate
Turkey	Turkia
Ido	ido
Roncesvaux	Orreaga
ox	idi
is	da
potato	patata
child	sein
belch	poker
flower	lore
purple	more
or	edo
absolutive case	gabe
poet	poeta
magnifying glass	lupa
eagerness	gale
you	zu
I	neu
automobile	auto
weapon	arma
blaze	gar
saber	sabre
crash	topo
history	historia
gray	gris
elephant	elefante
oasis	oasi
grain	ale
ford	ibi
vulture	sai
wood	zur
dwarf	nano
street	kale
duck	paita
psychology	psikologia
sleep	lo
Italy	Italia
come	etorri
Basque	Euskaltzaindia
call	dei
or	ala
ash	lizar
ash	lizarki
fire	errauts
oak	haritz
wood	harizki
oaken	haritzezko
abdomen	sabel
material	gai
thing	gauza
name	izen
place	toki
later	gero
fern	ira
father	aba
air	aire
fire	su
astronomy	astronomia
train	tren
copper	kobre
bus	autobus
darling	kuttun
cheers	prost
absolutive case	barik
acute accent	ĺ
cedilla	Ç
apron	mandar
ethnonym	-ar
locative	-ko
your	hire
what	zein
hit	jo
drawn	ados
laughter	barre
also	ere
today	gaur
fast	laster
mind	sen
conger eel	toil
gratitude	esker
city council	udal
stammerer	motel
Devil	Satan
font	ponte
bramble	lahar
mire	hika
not	ez
gum	makar
go	joan
bay	ulu
telephone	telefono
toast	topa
what	zer
however	alta
corn	arto
warm	bero
slime	elder
dock	nasa
bag	zorro
environment	giro
mineral	mea
all	oro
anything	ezer
potassium	potasio
yard	yarda
whole	oso
dove	uso
abbess	abadesa
helium	helio
lithium	litio
beryllium	berilio
boron	boro
aluminium	aluminio
geography	geografia
mother	ama
heap	meta
saber	sable
beech	pago
ginger	jengibre
giraffe	jirafa
choice	hauta
Poland	Polonia
impulse	olde
letter	a
John	Jon
animal	animalia
pollen	polen
Norway	Norvegia
astute	azeri
food	jan
tomorrow	bihar
begin	hasi
pole	haga
night	gau
pole	habe
this	hau
age	aro
choir	koru
Japan	Japonia
football	futbol
worm	har
payment	sari
Ukraine	Ukraina
calm	nare
festival	jai
chain	kate
hatred	herra
aspect	planta
culture	kultura
magpie	pika
maybe	naski
instrumental	-z
cat	katu
sound	hots
heap	saldo
gateway	atari
weeping	negar
tennis	tenis
choke	ito
mule	mando
torture	tortura
what	zerk
cradle	kuma
Kyrgyzstan	Kirgizistan
deep	barna
thus	hala
encyclopedia	entziklopedia
reflection	isla
mean	anker
poor	behar
fluorine	fluor
Basque	euskara
sweet	gozo
prostitute	prostituta
flag	bandera
bean	indaba
accurate	doi
school	eskola
nausea	oka
moth	sits
hook	amu
lute	laut
tongue	mihi
up	gora
foam	apar
who	nori
fruit	fruta
you	heu
pornography	pornografia
pistol	pistola
mind	gogo
Biarritz	Miarritze
Basque	euskera
numb	sor
work	lan
north	ipar
heel	orpo
term	epe
go up	igo
country	landa
ten	hamar
thicket	kapar
three	hiru
last year	igaz
sprout	erne
dog	txakur
money	diru
bear	hartz
silver	zilar
mouth	aho
head	buru
woman	andre
plum	aran
branch	arba
span	arra
we	gu
other	beste
calf	biga
voice	boz
grief	dolu
partridge	eper
guide	gida
that	hura
frog	igel
