Bats	ა
not	ცა
island	გუბ
coriander	ქინძ
pearl	მარგალიტ
pitch	კივ
sign	ლიშა
two	ში
beer	ჲეგ
hair	ბეჯ
water	ხი
tree	ხენ
people	ნახ
bread	მაჲჴი̆
lime	კირ
lord	ალე
sabre	თურ
nest	ბენ
herd	ჯოგ
eight	ბარლʻ
one	ცჰ⁊ა
three	ჴო
four	დჺივჸ
five	ფხი
six	ჲეთხ
seven	ვორლʻ
nine	ისს
ten	იტტ
wolf	ბჺორწ
moon	ბუთთ
bull	ბორშ
day	დე
god	დალე̆
god	დალ
father	დად
heart	დოკ
word	დოშ
wood	დოს
axe	დიკ
mouse	დახკო̆
night	ბუჲსა
grain	ოჸ
frog	ფჰ⁊იტ
sister	ჲაშ
ash	ჲოპყ
window	ქორ
head	ქორთო̆
head	ქორთ
foot	ქოკ
ear	ლარკ
mountain	ლამ
rubbish	ლათთ
honey	მოწ
wind	მოხ
language	მოტტ
sun	მათხ
husband	მარ
mother	ნან
road	ნიყ
nettle	ნიტტ
bull	ფსტუ
pigeon	ჴავჴუ̆
stone	ჴერ
brother	ვაშ
donkey	ვირ
bear	ჩა
pig	ჴა
forest	ჰ⁊უჼ
sparrow	ჰ⁊აწუკ
milk	შურ
bird	ალხაძურ
wheat	კავ
smoke	კურ
cat	კუჲტი̆
finger	ტარკ
silver	ტათებ
tooth	ცარკ
hair	ჩო
ice	ფშა
cold	ფშელ
sleep	ნჺაპ
sour	მუსტიჼ
hungry	მაციჼ
sweet	მაწრიჼ
whey	მაწრო̆
low	ლახუჼ
low	კატეჼ
hen	ქოთამ
long	დახხეჼ
small	ჟომეჼ
hot	დაფხეჼ
warm	მალიჼ
heavy	დაწიჼ
short	დაცუჼ
place	მოთთ
twenty	ტყა
Georgia	კოხივ
