pull	qs
bunchberry	xłp̓x̣ʷłtłpłłskʷc̓
bunchberry	xłp̓x̣ʷłtłpłłs
p̓xołt	p̓x̣ʷłt
bunchberry plant	p̓x̣ʷłtłp
winter	sutk
tongue	tixca
be	kłx
cut	k̓p
cry	mux̣ʷłt
fisher	cipsx
fish heart	mackin
pluperfect	-łł
seal	sxs
bad	sx
two-spirit	Sx̣ints
birthmark	stp
crabapple	p̓x
wound	sq̓
fat	x̣s
stone	t̓x̣t
animal fat	sc̓q
sand	sqc̓
salt	st̓s
northeast wind	sps
rib	čk̓łp
white	c̓x̣ʷ
strong	tł
dry	łʼł
wet	łq
rough	kʷs
big	łk̓ʷ
tight	q̓s
loud	c̓s
black	šk̓x
thick	płt
crooked	qʷt
true	c̓x̣ʷł
undo	šk̓ʷ
undo	šk̓ʷtx̣
tear	cq̓
tear	cq̓tx̣
see	k̓x
open	k̓xx̣
jump	sq̓ʷ
go	tq̓
go	tq̓x̣
cut	łʼp
cut	łʼptx̣
get there	c̓ktc
taste	q̓pst
taste	qpsttx̣
