one	से
Jwhwlao	जोहोलाव
church	गिरजा
eat	जा
air	बार
fish	ना
दोई	dwi
fire	अर
man	मानसि
water	दै
horn	गं
ten	जि
Bodo	बर'
language	राव
English	इंराजि
Kokborok	ककबरक
people	सुबुं
religion	दोहोरोम
Garo	गार'
Mising	मिसिं
half	खावसे
zero	लाथिख'
three	थाम
tea	साहा
meat	बेदर
man	हौवा
woman	हिनजाव
child	गथ
mother	बिमा
father	बिफा
friend	लोगो
name	मुं
sit	जिराय
do	खालाम
river	दैमा
mountain	हाजो
road	लामा
rope	दिरुं
salt	संख्रि
husked	मायरं
moon	अखाफोर
gun	सिलाइ
duar	दुवार
shirt	कामिज
hand	आखाय
bridge	दालां
wasp	बेरे
bird	दाव
white	गुफुर
youth	लाइमोन
old	बोराइ
animal	जुनार
cattle	मोसौ
goat	बोरमा
cat	मावजि
sky	अख्रां
mobile	जानबुं
time	बिदिन्था
write	लिर
wood	दंफां
tiger	मोसा
egg	दावदै
