spade	бар
tree	дар
dog	хор
one	сад
cow	зар
year	сан
father	ада
pig	вак
tongue	мез
mouth	сив
name	тур
bread	фу
red	ал
wave	лапа
donkey	лем
moon	вез
sickle	чин
needle	руб
sheik	ших
fire	цӏа
fly	тӏутӏ
sky	зав
brother	шид
girl	риж
three	шуб
boy	гада
salt	кьел
water	хьад
field	ник
herd	нехир
hedgehog	кирпи
mother	диде
grass	хьин
way	рих
kopek	къепик
sugar	къанд
heart	йыкӏ
shoulder blade	кьул
armpit	кьолкидж
well	къул
white	лузу
ash	рехъ
dust	руг
ice	мукь
snow	йиз
dew	шегь
two	кьад
eight	мийид
six	рыхьыд
ten	йицӏыд
fox	сокул
flea	кӏид
apple	йеч
old	кьусу
sun	вирагъ
five	фуд
three	шубуд
four	йукьуд
seven	йийид
nine	вичид
bone	кӏерепӏ
house	кӏул
hair	чӏер
rain	маф
ear	ибир
cat	кач
head	кьыл
day	йыгъ
nose	меъел
beard	мичӏер
ram	викьер
