female	yet
road	pit
Sunday	domingo
fat	will
flower	sel
water	pal
basket	neat
I	ne-
house	kish
mortar	paal
fire	kut
coal	tull
not	kille
yes	hee
mouth	tamal
three	pah
meat	kaarne
leaf	palat
deer	sukat
horned owl	muut
bobcat	tukut
genus Ephedra	tutut
cradle	siat
grass	samat
prickly pear cactus	navet
cottontail rabbit	tavut
grass	suul
shaman	puul
bow	hul
tea	chah
subject	hem-
tule	pangat
no	ki'i
bush	sewel
his	he-
cholla	mutal
here	'ipa
there	penga
one	suplli
two	wih
four	wichiw
five	namaqwanang
man	naxanish
woman	ñichill
person	taxliswet
child	ki'at
chuckwalla	chaxwal
bird	wikikmal
coyote	'isill
carnivore	'iswet
mountain lion	tukwet
jackrabbit	su'ish
pronghorn antelope	tenill
American badger	hunal
bear	hunwet
crow	'alwet
agave	'amul
wild goose	'alukul
big	'amna'a
bowstring	'alxawill
orphan	'aminat
ant	'anet
eagle	'aswet
wood	'atmal
chokecherry	'atut
willow	'avasill
turtle	'ayill
elder	'a'aviva
species	cha'ish
horned lizard	chalaka
holly-leaved cherry	chamish
species	chang'alangish
rib	chawa'al
sandal	chawish
Cupeño	chaymuat
Cupeño	chaymuka
sieve	cha'al
Chemehuevi	chemewava
truth	chepevqwal
rattle	chichikat
walking stick	chiqwapi
branch	chima
species	chivnish
Mexican	chi'ash
sticker	chukal
sticker	chungal
liar	chuungish
liar	tamakeñish
small change	chuviwenet
God	dioos
bad	'elelqwish
ugly	'elelqwimal
bitter	'enenekat
elephant tree	kelawat 'eneneka
robber	'eyet
knowledge	'e'nanill
knows a lot	'e'nanish
shame	sunhamanill
saliva	hañal
sweathouse	hashla'il
redshanks	henil
refugee	hingichish
qíngish	qingish hingivash
airplane	hingiwet
goodbye	hiwña
Hopi	hoopi
iodine bush	huat
back	hulul
ritual	huulvel
elderberry	hunkat
Mohave yucca	hunuvat
bow and arrow	huyal
stick	huyanaxat
net	'ikat
honey mesquite	'ill
thread	'iilu
meadowlark	'isal
Cahuilla	'ivillu'at
awl	'ivish
thorn	'iwyal
nothing	'i'exish
doll	'i'ipish
pumpkin	kalavaas
hole	kapalish
saucepan	kapatmal
basket	kaputil
basket	kaputmal
horse	kavaayu
hole	kavive
boss	kawi'a
pocket	kawkunill
mesquite	kaxat
species	kayval
end	hemu
species	kechish
wood	kelawat
manzanita	kelel
soot	ke'met
lizard	killimu'at
lizard	payul
door	kimul
outside	kimungax
species	kisill
shade	kisish
wall	kiwnish
species	kukul
devil's claw	'akawat
species	'ashwet
tansy mustard	'asill
nightshade	'ayka'kal
luck	'esweerta
perennial	mechewel
wild buckwheat	hulaqal
species	ki'awet
hallucinogenic	kikesewva'al
fiesta	kewet
sore	keyish
bite	ke'al
wife	kinangill
married man	kinangish
roof	kisvaxat
sleepy	kukupil
yucca	kuku'ul
deerweed	kiwat
wooden spoon	kumal
sack	kunill
bumblebee	kungsexwet
bed	kupvel
barrel cactus	kupash
throat	kuspill
ant	kuvishnill
funeral	kuyill
graveyard	kuyva'al
mesquite pod	ku'ash
louse	ku'al
cattail	ku'ut
sap	qwall'it
twin	qwaati
hawk	qwa'al
sign	qwa'isneat
written word	qwai'isneill
camera	taxqwa'isneva'al
writer	qwa'isnevash
acorn	qwiñill
table	lameesa
hide	laqachill
cottonwood	lavalvanet
goose	la'la'
crazy	looku
tick	machil
stone	malal
doll	malisapish
butterfly	malmal
scorpion	manisall
evening	mavish
night	tukmiyat
fan palm	mawul
mourning dove	maxayill
baby	mayllu
corn	maays
lizard	mayxal
music	melkinill
music	melkinipish
musical instrument	melkinipi
musician	melkiniva'al
white person	melkish
speak	melkishllu'vash
mesquite pod	menikish
moon	menill
basket	meyenat
Sunday	miisish
Church	miisiva'al
smoke	mi'at
sickness	mukwenet
enema	taxmulill
steam	mululish
lizard	mullak
lazy	mush'ival
lizard	muvi'
yellowjacket	muxaavikat
mockingbird	mu'ikill
sumac	naqwet
ear	naqal
earwax	naqyuvisal
louse	nawillat
girl	nawishmal
old man	naxaluvel
cane	naxat
lizard	nayxal
smoke tree	naswet
hiccup	nenema'ill
coyote gourd	nexish
pumpkin	nehwet
yucca	ninill
old woman	nishlluvel
law	nu'inat
chair	ñashvel
sand	ngachish
end	nga'a
edge	ngelelish
drink	pa'il
paddle	pakpish
wading bird	pal vukivash
bat	palil
annual native sage	palnat
yucca	panu'ul
scarf	paañu
annual native sage	pasal
knife	pasivat
tar	pasnat
horse	pasukat
center	pasun
young	pashwelish
duck	paat
stone	patavniva'al
scrub oak	pawish
reed	paxal
reed	pahankish
morning	paayish
rattle	pa'ayal
rodent	pa'iwet
tule	pa'ul
paper	pepeel
dollar	peesu
comb	peyna
strawberry	pikllam
hair	piill
striped	piintu
chuparosa	pisill
tobacco	pivat
rainbow	piyaxat
lizard	piy'xwal
eye	puchill
roadrunner	puuish
locoweed	qashill
rat	qawal
echo	qawinaawish
rock	qawish
quail	qaxal
quail	qaxawet
cold	qellaka
money	qichill
ground squirrel	qingish
gum	saanat
chewing gum	saanat mishva'al
watermelon	saandiya
edible mushroom	saqapish
gourd	qaxalkut
Mexican	saavet
flower	se'ish
carrying	seqwaval
sumac	selet
week	semaana
fall	seva'
unripe	sewaxill
cook	sexwet
squirrel	sikawet
grass	simut
sycamore	sivill
sadness	taxsunwe'ill
desert wild grape	'eswanawet
desert wild grape	suwanawet
scorpion	suyill
star	su'wet
bark	saval
tree bark	tachal
mariposa lily	tallki
sun	tamit
sun	tamyat
medicinally	tanwivel
pot	tapa'mal
egotist	tataxil
lizard	tataxsill
creator	tavish
summer	tawpa'
year	tawpaxish
song	taxmu'at
cave	tekish
noon	tekluvel
home	telmekish
cicada	tachikal
dirt	temal
bush	temash
greens	tesevel
bird	tetinat
pinyon	tevat
subject	'e-
subject	'em-
subject	chem-
kidney bean	tevinmall
name	tewal
medicine	ting'aypish
doctor	ting'ayvash
mushroom	tiwill
lizard	ti'al
wheat	triiwa'a
shoelace	tuchive
hummingbird	tuchill
knife	tukvash
lard	tupichish
beetle	tutumish
flour	tu'at
rubber	'uuli'
olla	'uuya'
chamise	'u'ut
cow	vaaka'
wing	wakat
trunk	wal'a
frog	waxachill
roast	wa'at
meat	wa'ish
egg	weevu'
feather	wikill
cactus	wiyal
oak	wi'asill
oak	wi'at
lizard	yangva'
mushroom	wewelpish
straight line	willa'a
flute	wiirupish
bean	xuull
mushroom	yulal
incense cedar	yulil
friend	'amiwoki
niece	'asis
'áchem	'ash
hollow	ching'a
basket	chipatmal
woman	nichill
brittlebush	pa'akal
