building	kali
lemon	limo
you	ta
I	na
one	se
eagle	liklik
with	ika
elephant	elefante
twist	malina
father	tata
mother	nana
small	achi
give	maka
short	makoto
dinosaur	dinosaurio
chile	chili
giraffe	jirafa
dog	chichi
bible	biblia
poncho	koto
and	uan
coyo	paua
lizard	topi
ice	setl
gato	misto
mountain	tepetl
parrot	kocho
peper	amatl
tomato	tomatl
hand	maitl
mole	tosa
city	altepetl
cloud	mixtli
stone	tetl
God	teotl
water	atl
soldier	yaotl
peyote	peyotl
bird	tototl
flower	xochitl
bean	etl
bone	omitl
butterfly	papalotl
drum	ueuetl
turtle	ayotl
wine	uino
year	xiuitl
mosquito	moyotl
parrot	kili
eat	kua
skunk	epatl
Miss	nane
Otomi	otomitl
sun	tonati
god mother	tiona
sir	tate
hungry	mayana
maize	xilotl
sweet corn	xamitl
fly	patlani
church	teopan
peach	tolas
divide	xelo
two	ome
three	eyi
pitahaya	chacha
lemon	lemoj
melon	meloj
die	miki
infect	maua
quesadilla	pompoj
sleep	kochi
pulque	metl
shelled corncob	olotl
ear	elotl
ayate	ayatl
milk	lechi
urinate	maxixa
naked	xolotl
Northern Cardinal	chiltototl
green bean	exotl
four	naui
butter	chichiualayotl
heart	yolotl
turkey	palach
heart	yolo
work	tekiti
moon	metzti
Nahuan	nauatl
good	kuali
cry	choka
vainilla	tlilxochitl
man	tacat
wind	ajakatl
reed	akatl
ringtail	kakomixtli
orange	lalax
soap	xapo
mestizo	koyotl
deer	masatl
scorpion	kolotl
sand	xali
salt	istatl
crow	kakalotl
puma	mistli
citric	xokotl
man	tlakatl
woman	siuatl
alligator	aketspali
woman	sihuat
squash	eyojti
prickly pear	nejpali
land	tlali
bat	tsotso
star	sitlali
avocado	auakatl
mouse	kimichi
penis	tepoli
clothing	yoyomitl
guava	chalchokotl
pot	chachapali
banana	kuaxilotl
pineapple	matsajtli
pineapple	matsaktli
watermelon	ualeya
papaya	ochonijtli
onion	xonakatl
papaya	ochonetli
ear	nakastli
cave	ostotl
spider	tokatl
Huasteca	Kuextekapaj
Mexico	Mexko tlali
city	altepet
corn	sintli
turkey	totoli
