apple	sew
when	key
and	و
cold	sard
bread	نان
time	kat
I	من
b	ب
Kurdish	ت
tent	چادر
do	کردن
milk	شیر
elephant	فیل
question mark	؟
straw	کا
Kurdo-Arabic alphabet	پ
world	دنیا
snake	مار
tower	برج
Pakistan	پاکستان
China	چین
rice	برنج
what	چ
zero	سفر
rain	باران
wall	دیوار
garlic	سیر
worm	کرم
numb	سڕ
woman	ژن
thanks	سپاس
yogurt	ماست
twenty	بیست
what	چی
mountain	شاخ
doogh	ماستاو
need	نیاز
heavy	گران
medicine	دەرمان
beer	بیرە
peace	ئاشتی
time	وەخت
time	جار
money	پارە
here	ئێرە
give	دان
bomb	بۆمبا
white	سپی
hand	دەست
air	ھەوا
no	نە
no	نا
male	نێڕ
cinnamon	دارچین
sound	دەنگ
sleep	خەو
death	مەرگ
high	بەرز
knife	چەقۆ
salt	خوێ
day	ڕۆژ
head	سەر
know	زانین
know	ناسین
tree	دار
cheap	بێقیمەت
caravan	کاروان
celebration	جەژن
prophet	پێغەمەر
cage	قەفەس
freedom	ئازادی
mathematics	بیرکاری
America	ئەمریکا
pocket	گیرفان
fireplace	ئاگردان
justice	داد
pharmacy	دەرمانخانە
bad	بەد
friend	دۆست
goose	قاز
annoyance	ئازار
pain	ژان
donkey	کەر
garden	باخچە
occupation	پیشە
lawyer	پارێزەر
always	ھەردەم
pull	کێشان
countryside	لادێ
ignorance	نەزانی
left	چەپ
electricity	کارەبا
plain	گۆڕ
piece	پارچە
scissors	مەقەس
ball	تۆپ
microbe	میکرۆب
partridge	کەو
start	سەرەتا
needle	دەرزی
almond	بادەم
heat	گەرما
fingernail	نینۆک
skin	چەرم
lamb	بەرخ
butcher	قەساب
era	دەور
fly	مێش
Kurdish	کوردی
season	وەرز
man	زەلام
woman	ئافرەت
triangle	سێگۆشە
again	دیسان
female	مێ
notebook	دەفتەر
deaf	کەڕ
microphone	میکرۆفۆن
fashion	مۆدە
how are you	چۆنی باشی
how are you	چۆنی
circumposition	دا
samovar	سەماوەر
calm	ئارام
good	باش
flour	ئارد
cross	خاچ
brave	قارەمان
four	چوار
Adam	ئادەم
blue	شین
winter	زستان
pearl	مرواری
table	مێز
tobacco	توتن
hen	مر
bull	گا
brother	برا
eyelid	پەڵگ
cry	بانگ
door	قاپی
part	بەش
snow	بەفر
he	ئەو
they	ئەوان
below	لەبن
without	بێ
new	نوێ
star	ئەستێرە
yes	ئا
law	یاسا
Iranian	ئێرانی
fresh	تازە
pharmacy	ئەجزاخانە
healthy	ساغ
fire	ئاگر
bridge	پرد
daily	ڕۆژانە
newspaper	ڕۆژنامە
spring	بەھار
autumn	پایز
autumn	خەزان
summer	ھاوین
summer	تاوستان
man	پیاو
man	مرۆڤ
lion	شێر
door	دەرگا
village	گوند
village	دێ
doogh	دۆ
water	ئاو
scissors	قەیچی
interrogative	ئایا
fly	مەگەز
moon	مانگ
year	ساڵ
boy	کوڕ
book	کتاو
hard	سەخت
teahouse	چایخانە
calf	لاق
foot	پێ
thigh	ڕان
money	پووڵ
knife	کێرد
hen	مامر
hen	مریشک
duck	مراوی
cock	کەڵەشێر
cock	کەڵەباب
Ohio	ئۆھایۆ
college	زانکۆ
university	زانستگا
university	زانستگە
university	دانشگا
university	جامعە
love	ئەوین
dictionary	فەرھەنگ
dictionary	قامووس
dictionary	وشەنامە
Kurd	کورد
you	تۆ
we	ئێمە
you	ئێوە
one	یەک
two	دوو
three	سێ
five	پێنج
six	شەش
seven	حەوت
eight	ھەشت
nine	نۆ
ten	دە
eleven	یانزە
twelve	دوانزە
thirteen	سیانزە
fourteen	چواردە
fifteen	پانزە
sixteen	شانزە
seventeen	حەڤدە
eighteen	ھەژدە
nineteen	نۆزدە
twenty-one	بیست و یەک
car	ماشێن
music	مۆسیقا
music	مووزیک
letter	نامە
paper	کاغەز
letter	مەکتووب
color	ڕەنگ
free	ئازاد
apartment	ئاپارتمان
apartment	شوقە
stepbrother	زڕبرا
stepsister	زڕخوشک
sister	خوشک
blue	kewe
cat	پشیلە
gadfly	مۆز
Apple	سێو
eye	چاو
Computer	کۆمپیوتەر
king	شا
Google	گووگڵ
Central Kurdish	کوردیی ناوەندی
flower	گوڵ
book	کتێب
book	پەرتووک
mobile phone	مۆبایل
dog	سەگ
event	ڕووداو
Monday	دووشەممە
cabbage	کەلەرم
dry	وشک
France	فەرەنسا
French	فەرەنساوی
French	ferensawî
red	سوور
green	سەوز
blue	ئاوی
ڕەش	řeş
black	ڕەش
purple	مۆر
violet	ھەش
yellow	zerd
grey	خۆڵەمێشی
