four	pat
west	barat
iron	besi
cloud	awan
train	tren
five	lima
rain	ujan
lion	singa
skin	kulit
moss	lumut
west	laan
lemongrass	sarai
water	anum
zinc	zink
oxygen	oksijen
uterus	peranakan
technique	teknik
sugar cane	tebou
friend	sakai
gold	maih
oyster	tirem
arrange	atur
otter	dengen
cape	tujoh
dog	asou
buy	belei
hair	bulou
louse	kutou
tin	timah
fire	apui
child	aneak
I	akou
towel	tuala
sulfur	melireng
silver	pirek
television	telibisien
letter	urup
steam	kauih
grey hair	uban
wind	pangai
Cassia alata	tarum
yam	ubei
panther	rimau
rimau daan	rimau daan
rimau baleng	rimau baleng
rimau biteang	rimau biteang
but	ketapi
pus	nanak
asou lameang	asou lameang
asou daat	asou daat
asou lasat	asou lasat
asou belak	asou belak
asok jului	asok jului
uvula	aneak tengad
ai kemi	ai kemi
taboo	palei
taboo	ikan udun
blood	daak
