the	in
Bulgaria	Bulgaria
be	ca
one	se
one	ce
ant	azcatl
turkey	huehxolotl
cave	oztotl
blood	eztli
milpa	milli
verb	-ni
and	huan
chili pepper	chilli
chocolate	chocolatl
chili pepper	chili
sun	tonal
say	ilia
tamale	tamalli
God	Dios
clear	nahuatl
Quetzalcoatl	Quetzalcoatl
firstly	achtopa
great-grandfather	achtontli
first	achto
house	calli
excrement	cuitlatl
dog	itzcuintli
merchant	pochtecatl
where	canin
liver	elli
this	imin
Earth	tlalticpactli
mountain	tepetl
priest	teopixqui
owl	tecolotl
love	tlazohtla
paper	amatl
dove	huilotl
foot	icxitl
tomato	tomatl
tomato	xitomatl
name	tocaitl
tochtin	tochin
tochtin	tochtli
someone	aca
house	kal
cacao	cacahuatl
fish	michin
hand	maitl
tree	cuahuitl
otter	ahuitzotl
wild animal	tecuani
cloud	mixtli
alligator	cipactli
king vulture	cozcacuauhtli
stone	tetl
cougar	miztli
reed	acatl
ship	acalli
water	atl
die	miqui
death	miquiztli
head	cuaitl
war	yaoyotl
enemy	yaotl
fatherhood	tahyotl
peyote	peyotl
reputation	tenyotl
sheep	ichcatl
tamale	tamal
-ness	-yotl
mud	zoquitl
lake	atezcatl
obsidian	itztli
bird	tototl
turkey hen	totolin
staff	topilli
sheriff	topileh
hut	xahcalli
quail	zolin
cihuameh	cihuatl
inhuman	ahtlacatl
mazameh	mazatl
ink	tlilli
black	tliltic
bumblebee	xicohtli
flower	xochitl
fog	poctli
mirror	tezcatl
metal	tepoztli
toad	tamazolin
lip	tentli
beard	tentzontli
bean	yetl
old woman	ilama
arrive	ahci
fly	zayolin
desgranador	chimalli
moon	metztli
ocean	ilhuicaatl
vulva	nenetl
nopal	nohpalli
worm	ocuilin
bone	omitl
monkey	ozomahtli
butterfly	papalotl
knife	tecpatl
dwarf	tzapatl
clown	xolopihtli
seed	xinachtli
Spain	Caxtillan
Spain	Castillan
Spaniard	caxtiltecatl
snow	cepayahuitl
drum	ueuetl
sky	ilhuicatl
turtle	ayotl
old	huehueh
old	huehue
gopher	tozan
wizard	tlacatecolotl
universum	cemanahuatl
ice	cetl
Chichimec	chichimecatl
snowy egret	aztatl
pelican	atotolin
hen egg	totoltetl
people	macehualli
coyote	coyotl
wine	octli
pineapple	matzahtli
puma	cihuamiztli
cat	mizton
king	tlahtoani
soap	ahmolli
Nahuatl	nahuatlahtolli
kingdom	tlahtocayotl
state	tlatocayotl
mosquito	moyotl
snake	coatl
not	ahmo
tilma	tilmahtli
shoulder	ahcolli
day	tonalli
forever	zenca
salt	iztatl
white	iztac
testicle	atetl
