duck	pato
blanket	katana
tongue	menu
with	musta
nothing	kala
table	mesa
swallow	cholo
cow	waka
elbow	takolo
net	rete
clothes	ropa
coconut	koko
axe	ame
breast	teni
chili	chichi
yes	eje
case	kaja
year	wata
penis	topi
sail	wela
bullet	wala
wet	sawa
cock	kayo
milk	tensa
field	pawa
nose	kulu
dung	tuki
parrot	tulo
six	sokta
front	tolo
bee	kasenujsi
grandmother	payako
grandfather	lokoko
water	unijsa
needle	amejkisi
wire	alampre
dawn	ijs̈hwaketasi
cotton	kijsheti
soul	sana'ne
starch	almelone
yellow	ka'chakamawa
friend	ameko
ring	shpaki'techi
fishhook	c̈ho'kapeli
forlorn	ishakatiskale
fan	shkema
abundant	icheeki
here	ana'shana
forward	kinajti
goodbye	alyos
where	na'yeni
out	pawa shana
sour	chawawa
now	ayi'ti
air	timili
happy	pya'kijnani
anything	anaskajneye
anybody	ana'shanaye
bitter	pshawa
ambitious	kapapeskajpola
old	shashaka
last night	lache'ta
ancestor	ka'nil sheye
that	mashala
spider	kajs̈holi
tree	chena'to
rainbow	chirapa
sand	mas̈hkojpe
armadillo	memili
framework	ipakolo
up	onojko
bird	chisti
wasp	shani
yesterday	likajpe'ta
short	c̈hijtawa
cheap	warato
barbecue	tsepe'ta
boat	wapori
abdomen	sye'ki
mud	ijpola
enough	ma'sha
cane	aki's̈ho
garbage	s̈hutechi
baby	chechakama
drink	lajpa'sachi
beautiful	pewa puti'na
white	kamalawa
mild	pe'cha
mouth	awana
drunk	shinitac̈homalo
forest	machewa
arm	tinawa
witch	shikechpalo
sorcerer	shikec̈homalo
good	pewa
owl	ma'sheti
vulture	tsemo'ye
horse	kawali
hair	shenu
head	kashki
cocoa	a'pujki
alligator	kashyuna
gourd	chooma
hot	chpelo
quiet	chkesi
bed	ma'pata
chameleon	tsenemo
shrimp	kuchi
road	ajtini
basket	kajsawa
song	usma'chachi
fire	kajchi
crab	majchelo
canoe	pi'tochi
sugarcane	ocha'tina
face	takano
snail	shyamo
coal	kajs̈ho'meki
meat	pekano
expensive	kajso'no tsakala
house	ajkochi
bell	kasesepi
shell	ijs̈hopa
rubber	kawcho
onion	sewoyo
cemetery	pantyon
ash	kajchijpe
near	a'lotsi'ta
pig	kuuchi
blind	manatsa
sky	ikejta
hundred	pachak
five	pichka
truth	akachelo'ta
fifty	pichka chunka
circle	na'tepelejka
city	chi'nashtalichi
clear	tsenewa
nail	klawojkolo
coward	s̈hamle'c̈homa
crippled	kos̈ho
midwife	kumali
termite	ma'lus̈hana
meal	nuka'c̈homachi
friend	kumpali
companion	lota'c̈homa
heart	ajkeloki
crown	chepe'kiline
straight	nanatolo
bark	is̈hoopa
short	na'yechoma
raw	s̈hoyi
when	na'kolyaye
how much	netna
forty	ma'pojtamala chunka
room	c̈hupune
four	ma'pojtamala
knife	amesheta
neck	c̈hano
rope	ijcha
horn	c̈hepa
leather	shama
body	c̈homakano
snake	sokopleye
birthday	ipenonasne watane
sister-in-law	pus̈hana
shaman	kapunutakajpola
curious	ka'sulujyaka
brandy	awalente
scorpion	ajkolo
wrinkle	ishama che'na'ti
roast	kec̈hochi
potbellied	syekpuc̈hle
boa	akumawa
stubborn	kashtakulu
married	ilya'lan kati
blowgun	lokote's̈ho'lochi
seashell	c̈hota
litter	pujchi
ranch	pkwachi
small	na'yejchoma
under	yajkana
finger	sulu shijpa
dolphin	walali
thin	na'sekolojka
demon	sojpayi
inside	yilijko shana
naked	kolochoshko
slowly	peski'tujka
awake	ikakwi'ti
after	yajtikini
day	senesyako
tooth	ajsi
ten	chunka
difficult	yeewa
money	kuliki
God	yosi
twelve	chunka ma'pojta
two	ma'pojta
hard	chmawa
in	shana
above	i'yijku shana
patient	ijchapyani
annoyed	ijchac̈homa
scale	ijtaka
broom	kajpijkaselichi
shotgun	shipotos̈hka's̈ho'lochi
that	ala'ye
back	tusna
thick	tiki'tsa
thorn	kajpayi
shinbone	to'sona
this	ana'ye
stomach	knani
star	katepulu
skirt	ita'la
ugly	mache'c̈homa
ferocious	pchajtoki
fever	alijkwa'takochi
festival	meesa
edge	a'soowa
fine	mapesipili
flute	ajtakli
arrow	ashkololi
flower	chepeka
new	peswatalo
bean	mapolooto
cold	me'sawa
fruit	sokajki
strong	tinowa
hen	atawali
throat	nu'pijkaplejcha
tick	shaki'su
heron	askoli
cat	mishi
sparrowhawk	kwe'la
twin	ma'pwalo
person	klistyano
drop	tonosi
thanks	osolopaki
big	s̈hojta
cricket	c̈ho'kota
cough	e'tes̈huli
thick	s̈hawkolo
macaw	s̈halyota
worm	keni
female	molota
beautiful	pya'c̈homa
grass	c̈homajshi
liver	ojpana
thread	kishemolo
leaf	chijpana
man	yelna
deep	pnawa
mushroom	kas̈hama
pitchfork	ashtoli
ant	añalo
dale	kajs̈hopi
orphan	wakcha
bone	kajpu
smoke	kawsa
iguana	kamashe
immediate	kapaletsi'ta
insect	sokajsu
flood	imujki
island	yishla
soap	shawona
never	mepolajyaka
straw mat	a'mas̈huupi
young	shac̈hullo
toy	is̈hakatu'kulu'to kana
kerosene	kerosina
lip	c̈hiila
hand	shijpa
side	palajta
thief	ma'koleti
lake	sa'pu
long	plawa
whip	ashpijka'chachi
far	ta'wojko
slow	yakameleste
lemon	enopi
smooth	pya'sino
crazy	matitu
earthworm	taykonono
firefly	puulo
full	siila
rain	keeni
machete	sapla
mature	chelti
corn	nashi
malaria	chukchu
blanket	pestiklo
tomorrow	wa'ni
butterfly	kamajto
midnight	shawalasko
honey	mishki
half	pachishki
mucus	s̈hos̈hochi
monkey	katujkana
forest	is̈hujkulu
fly	kasamelo
boy	meploneye
much	ma'sho
mute	majnachalelo
dead	kashele'taka
bat	chamalo
thigh	peeyi
nobody	meyana'shanaye
orange	alansha
nausea	upa'saknanisti
mist	puuya
black	kosewa
nest	imajka
night	chpolyaye
we	a'ti
cloud	polawa'ti
nine	iskon
nut	s̈hololoki
nutria	chiklo'ti
eight	pusak
eye	ojki
wave	olashi
pot	kas̈hoto
navel	mocho
ear	chayi
bank	ijlapi
anteater	mashilikeli
other	pajna
arapaima	eeshili
woodpecker	me'na
word	nachale
stick	chaskolo
dove	pujtuku
marsh	pnajmule
potato	ma'kona
papaya	ajpaya
pace	tepane
foot	kujtu
curassow	c̈hkwa'ti
guan	koc̈hoyi
turkey	mikarawa
chest	tu'lu
piece	naspejka
ball	takululu
partridge	s̈honoto
sluggish	achwayi
dog	ma'nali
heavy	pwawa
fish	awachi
hummingbird	pishlo
hot	chawa
stone	chena
skin	s̈hama
leg	koselo
pineapple	mawuli
louse	nijpa
offense	suchi
piranha	kas̈hajpa
footstep	yakatijkac̈hopi
banana	masipata
feather	pwaye
poor	pople
dust	ijpe
chicken	polyo
well	itepo'sa
cost	iso'no
question	inajpeki
first	mashapulista
Penelope jacquacu	chayma
bridge	pwente
door	is̈hoplama
point	yawa
pus	kajshali
gorge	yeepachajpi
who	na'shanana
root	ijtishi
limb	ilapa
frog	kujpawa'to
rat	shileti
mouse	kijsili
line	yis̈hna
lightning	yaple'ti
oar	kolo'sheta
angle	itso'me
river	maneli
knee	melo'ti
red	cheewa
capybara	masiklo
broken	katsala'taka
priest	patile
South American	majtoli
collared peccary	oshlo
salt	mamola
saliva	sakola
blood	iila
toad	tis̈ha
sardine	apejta
sap	ijsana'to
dry	poshewa
seed	ijki
mister	chmes̈hona
Miss	ic̈hulupa
boa	kashelisple
always	mayepalala
seven	kanchis
rope	mespijcha
sun	mo'sojko
soldier	soltalo
shadow	s̈ha'me
hat	sompelelo
rattle	tsekolo
deaf	majchayi
soft	kala chmawa
dirty	pa'sawa
earth	c̈hijta
tobacco	polojti
drum	shiltoki
evening	chpos̈hka
woven	tarajwa
spiderweb	pujsemu
tremor	ka'nakosilo
early	wa'ni tsijta
earthquake	ijmulalaki
still	meye kala
all	tilishka
turtle	majpolo
rag	chalachi
three	kilko
thunder	tswali
you	pi'ti
toucan	kya'ti
evil	pac̈hic̈hi
one	palaka
vagina	shaki
glass	waso
stag	cheshana
venom	solima
window	wentana
green	ijsu'pa
widower	maluti
I	u'ti
yucca	kinili
mosquito	ayno
fox	tus̈huli
