sun	sol
world	mundo
butterfly	mariposa
duck	pato
map	mapa
mill	mole
salt	sal
present tense	ta
book	libro
me	conmigo
mole	lunar
altar	altar
water	agua
peanut	maní
hand	mano
but	pero
moon	luna
pear	pera
child	anak
finger	dedo
priest	padre
table	mesa
envelope	sobre
list	lista
hair	pelo
sea	mar
father	tata
pair	par
future tense	ay
I	yo
nun	madre
shovel	pala
rain	ulan
sailor	marinero
whistle	pito
thousand	mil
hospital	alta
problem	problema
mine	mina
past tense	ya
childbirth	parto
gold	oro
torn	roto
bad	malo
yesterday	ayer
dove	paloma
bear	oso
part	parte
kill	mata
clothes	ropa
paper	papel
taste	sabor
payment	pago
lose	perde
husband	marido
wood	palo
bubble	bula
pain	dolor
wedding	boda
litre	litro
plate	plato
mountain	monte
lightning	rayo
harp	arpa
wall	pared
place	lugar
stingray	pagi
tablecloth	mantel
pearl	perla
suitcase	maleta
minister	ministro
program	programa
bishop	obispo
blanket	manta
sprain	balda
silk	seda
and	pati
wire	alambre
bib	babero
order	mando
respect	respeto
we	kame
miracle	milagro
danger	peligro
branch	rama
help	ayuda
smell	ole
administrator	administrador
letter	letra
arrow	pana
rob	roba
pants	pantalon
smell	olor
offensive	palabrota
blouse	blusa
weak	debil
tail	rabo
look	mira
fast	ayuna
bribe	soborno
raisin	pasas
ripe	maduro
floor	piso
pulse	pulso
meditate	medita
respect	respeta
living room	salas
breadfruit	rimas
palate	paladar
athlete	atleta
monument	monumento
bread	pan
modest	modesto
promise	promesa
scar	pali
ligament	lamat
mantle	manto
godfather	padrino
nephew	sobrino
evil	maligno
oyster	ostra
bite	morde
rail	riles
kick	patada
bucket	balde
tenderloin	lomo
tambourine	pandereta
niece	sobrina
you	kamo
bandit	bandido
almond	almendra
tailor	sastre
ghost	multo
cotton	algodon
starch	almidon
barber	barbero
tear	lagrimas
lamp	lampara
potato	patatas
flea	pulgas
pearl	perlas
meek	manso
sunflower	mirasol
love	amor
turkey	pabo
opal	opalo
house lizard	butiki
honeycomb	panal
rice	palay
milkfish	bangus
meatball	albondiga
godmother	padrina
like	ansina
banana	saging
sesame	linga
lame	piang
Muslim	pandita
godmother	maninay
flea	kagaw
cowrie	sigay
leech	alimatok
fan	paypay
vampiric	kikik
diaper	lampin
wholesale	pakyaw
paradise	paraiso
watermelon	pakwan
short	pandak
Chinese New Year	tikoy
fang	pangil
stupid	mortugo
godfather	paninoy
corncob	paktang
sticky	mapilit
marble	marmol
hip	kadera
lobster	banagan
dirty	mabuling
sprain	baldadura
tighten	apreta
chase	apasan
not	hindé
not	jendeh
dress	kamisa
