abandon	ᏗᏲᎯᏗ
wisdom	ᎠᎦᏙᎲᏍᏗ
water	ᎠᎹ
butterfly	ᎧᎹᎹ
animal	ᎦᎾᏝᎢ
wolf	ᏩᏯ
bear	ᏲᏅ
horse	ᏐᏈᎵ
cow	ᏩᎦ
bird	ᏥᏍᏆ
fish	ᎠᏣᏗ
bat	ᏞᎺᎭ
lizard	ᏙᏲᎯᎳ
insect	ᏍᎪᏱ
fox	ᏧᎳ
cat	ᏪᏌ
cat	ᏪᏏ
I	ᎠᏯ
Greek	ᎬᎵᎧ
pig	ᏏᏆ
mouse	ᏥᏍᏕᏥ
language	ᎦᏬᏂᎯᏍᏗ
two	ᏔᎵ
Wikipedia	ᏫᎩᏇᏗᏯ
one	ᏌᏊᎢ
apron	ᎠᏤᏌᏙ
three	ᏦᎢ
four	ᏅᎩ
five	ᎯᏍᎩ
six	ᏑᏓᎵ
seven	ᎦᎵᏉᎩ
eight	ᏧᏁᎳ
nine	ᏐᏁᎳ
ten	ᏍᎪᎯ
Sunday	ᎤᎾᏙᏓᏆᏍᎬᎢ
Monday	ᎤᎾᏙᏓᏉᏅᎯ
Tuesday	ᏔᎵᏁ ᎢᎦ
Wednesday	ᏦᎢᏁ ᎢᎦ
Thursday	ᏅᎩᏁ ᎢᎦ
Friday	ᏧᎾᎩᎶᏍᏗ
Saturday	ᎤᎾᏙᏓᏈᏕᎾ
English	ᎩᎵᏏ
English	ᏲᏁᎦ
January	ᏚᏃᎸᏔᏂ
February	ᎧᎦᎵ
March	ᎤᏄᎳᎯ
April	ᏥᎶᏂ
May	ᎠᏅᎢᏍᎬᏘ
June	ᏓᏣᎷᏂ
July	ᎫᏰᏉᏂ
August	ᎦᎶᏂ
September	ᏚᎵᏍᏗ
October	ᏚᏂᏅᏗ
November	ᏄᏓᏕᏆ
December	ᎥᏍᎩᎦ
deer	ᎠᏫ
donkey	ᏗᎦᎵᏅᎯᏛ
alligator	ᏧᎳᏍᎩ
badger	ᎤᎫᎾ
beaver	ᏙᏯ
buffalo	ᏴᏑ
eagle	ᎠᏩᎯᎵ
elk	ᎠᏫᎡ
eel	ᏢᏕᎦ
earthworm	ᎤᏥᏯ
eleven	ᏌᏚᎢ
twelve	ᏔᎵᏚ
thirteen	ᏦᎦᏚ
fourteen	ᏂᎦᏚ
fifteen	ᏍᎩᎦᏚ
sixteen	ᏓᎷᏚ
seventeen	ᎦᎵᏆᏚ
eighteen	ᏁᎳᏚ
nineteen	ᏐᏁᎳᏚ
twenty	ᏔᎵᏍᎪᎯ
red	ᎩᎦᎨᎢ
yellow	ᏓᎶᏁᎦ
hawk	ᏙᏬᏗ
lion	ᏝᏓᏥ
lion	ᎲᏓᏱ
land	ᎠᏂᏣᎳᎩᎦᏙᎯ
enemy	ᏓᎾᏓᏍᎧᎩ
Nahuatl	ᎾᎱᎠᏢ
dog	ᎩᏟ
apple	ᏒᎦᏔ
sun	ᏅᏓᎡᎨᎯ
house	ᎨᏣᏗ
moon	ᏒᏃᏱᎡᎯᏅᏙ
morning	ᏑᎾᎵ
night	ᏒᎠᏱ
man	ᎠᏍᎦᏯ
woman	ᎠᎨᏴ
kingfisher	ᏧᎷ
monkey	ᎠᏓᎴᏍᎩᏱᏍᎩ
muskrat	ᏎᎳᎩᏍᏆ
rat	ᏥᏍᏔᏥ
wind	ᎤᏃᎴ
ant	ᏙᏒᏓᎵ
antelope	ᎠᏫᏳᏍᏘ
rabbit	ᏥᏍᏚ
who	ᎦᎪ
why	ᎦᏙᏃ
ᏥᏍᏆ	ᏥᏍᏆᎦᏬᏂᏍᎩ
attorney	ᏗᏘᏲᎯᎯ
clock	ᎤᏔᎾ ᏩᏥ
watch	ᏩᏥ
arid	ᎠᎹᏗᎧᏂᎬᎾᎬᎾ
sack	ᏕᎦᎶᏗ
satin	ᎤᏥᏍᏓᎩᏍᎩ ᎠᏄᏬ
sand	ᏃᏯ
storm	ᎤᏄᎳ
squirrel	ᏌᎳᎵ
and	ᎠᎴ
Kurdish	ᎫᎸᏗ
lightning	ᎠᎾᎦᎵᏍᎩ
dog	ᎩᎵ
panther	ᏢᏓᏥ
raccoon	ᎬᎵ
swan	ᎧᎳᎩᏌ
hummingbird	ᏩᎴᎷ
pigeon	ᏬᏱ
ocean	ᎠᎺᏉᎯ
stone	ᏅᏳ
snake	ᎢᎾᏛ
frog	ᏩᎶᏏ
otter	ᏥᏯ
crow	ᎪᎬ
color	ᏗᎧᏃᏗ
goat	ᎤᎦᏐᏣᏁᏛ
when	ᎯᎳᏳᎢ
how	ᎫᏙᎢ
cucumber	ᎦᎦᎹ
aunt	ᎡᏠᎩ
uncle	ᎡᏚᏥ
eye	ᎠᎦᏙᎵ
Christmas	ᎤᎾᏕᏘᏱᏍᎬᎢ
Tennessee	ᏔᏂᏏ
yes	ᎥᎥ
wren	ᏥᏥ
amen	ᎡᎺᏅ
bass	ᎤᏃᎦ
bluebird	ᏣᏉᎳᏓᎩ
book	ᎪᏪᎵ
milk	ᎤᏅᏗ
moccasin	ᎤᏧᏬᏗ
money	ᎠᏕᎳ
eagle	ᎤᏬᎭᎵ
duck	ᎦᏩᏅ
goose	ᏌᏌ
blackbird	ᎬᎾᎨ ᏥᏍᏆ
dove	ᎫᎴ ᏗᏍᎪᏂᎯ
guineafowl	ᎫᏇ ᏗᎦᎾᏌᎢ
heron	ᎧᎾᏍᎪᏩ
owl	ᎤᎫᎫ
partridge	ᎫᏇ
peacock	ᎬᎾ ᏧᏆᏙᏟ
pheasant	ᏛᏗᏍᏗ
