sweet potato	guh
temazcal	yaa
mountain	dahan
water	ñihsa
house	yuuꞌ
squirrel	chisa
bean	biza'h
metate	dxihtsɨ
chayote	dxitiahpa
sky	dxibaaꞌ
ear	dxiahga
word	dxiꞌdxi
day	dxɨh
handleless woven wicker	dxuhmmi
honey	dzɨhn
bone	dzɨhta
comal	dzɨhyi
sun	gubihdxɨ
wasp	guchihpa
swamp	guhdxi
spider	gudzɨꞌhɨ
milpa	guehla
knowledge	guelnaann
judgement	guelguxchiisi
sandal	gueldxihdxi
guanabana	guehlda
night	gueꞌla
disease	gueldxɨhdxi
thorn	guihchii
resinous pines	guiiꞌdxyi
pot	guihsu
river	guiꞌw
tortilla	guehta
grasshopper	guxaadxyuu
blanket	ladxyihchi
harvest	liꞌhin
man	ndxiꞌhw
skunk	ngulbweꞌta
opossum	ngulbwɨhzi
hominy	ñiꞌhyi
navel	xquihpi
tree	yahga
fresh	zeeꞌ
avocado	yahxu
corncob	yaꞌn
agave	dohba
adobe	basuꞌh
tepache	bahdxi
eggshell	bichyuhga
tomato	bichyuꞌxi
ant	bidxih
spark	billihyi
armadillo	biguhpi
butterfly	bidxiidxi
heron	biuuꞋzi
coyote	bweewu
fox	bweeꞌzu
vulture	bwɨɨchi
lion	bweꞌdzɨ
moon	bweꞌhewu
tortoise	bwehgu
fish	bwehlda
reed	bwɨhdxyu
turkey	bwɨhdxyi
cheek	cwahsa
fire	dxih
maguey	duꞌh
liana	dulbaaꞌ
chicken	dxiidxi
skin	dxihdxi
morning	gucahyi
tamale	guehta guꞌhu
marquesote	guehta nahxi
deceit	guelrusaguiꞌhi
tiredness	guelracanah
temple	guidoꞌ
topil	guixaꞌga
hunting	guꞌza
smoke	guhxa
idol	gulaala
thunderclap	guziꞌw
lightning	duꞌh guziꞌw
festival	lañih
husked corn	llooba
I	naꞌh
corncob	ñihza
mouth	rwaaꞌ
tenate	rohba
voice	rsiaaꞌha
heart	stoꞌ
cloud	xcahyii
copal	yaꞌhla
