sweet potato	nusa
orange	laxa
owl	junu
feast	suhi
water	nandá
woman	chjuun
Spanish	castiya
squirrel	xnu
wing	tyjunga
school	scuela
rabbit	coneju
cilantro	culandru
armadillo	chahá
skunk	chicja
illness	chíhin
husband	xcahndacojo
orphan	hndixahan
orphandom	cjuahndixahan
adobe	xihndë
leaf-cutter ant	ndahya
arroyo	caniña
wasp	xatë
catfish	tixta
forest	nguijñacha
crow	chenda
cacao	hndyu
head	rcu
pumpkin	nachu
canoe	xutsu
griddle	nitja
granary	ndyahnga
chachalaca	ningafa
chicle	tyjungun
day	nixtin
ear	nchutin
ramada	ndihyaxca
epazote	ndejñu
star	niñú
bean	yujma
fire	ndihi
thorn	nahyá
flower	naxu
chisel	xuhu
sparrow hawk	jya ndaya
