water	šáwłkʷ
Columbia-Wenatchi	Nxaʔamxčín
Moses-Columbia	Škwáxčənəxʷ
Wenatchi	Šnp'əšqʷáw'šəxʷ
Entiat	Šnt'iyátkʷəxʷ
Chelan	Ščəl'ámxəxʷ
coyote	šəmyáw
black bear	míχał
beaver	šqəláw'
squirrel	škʷiyú
mole	púl'yaʔ
otter	lətkʷú
bald eagle	pəqlqín
golden eagle	məlqnúpš
winter	panʔíštkʷ
one	náqš
two	tq'áw'š
three	kaʔłáš
four	múšəš
five	čílkšt
six	χʷəčmákšt
father	ləʔáw
river	ʔačláhp
horse	χƛ'čín
mountain	ʔačxátm
hoof	puʔláxn
sturgeon	q'ənáxʷ
owl	spə̣́łaʔ
sun	k'ʷúšəm
bone	sc'ạ́m'
spoon	łúm'n
hunter	kʷíym
spring	panʔíqpš
summer	pạʔscạ́ʔqʷ
red	kʷə́l
grey	pə́ḥ
mother	túm'aʔ
sister-in-law	nəškáw
cow	qʷísp
