cloud	ngaa
elephant	levanté
male mule	machó
metre	metró
pencil	lapé
castrated	capuú
sandal	canj
mouse	xtuu
brown rat	xtuu yuve̱
shrew	xtuu xtaꞌngaa
house mouse	xtuu yoꞌo̱j
lesser goldfinch	xtoo̱ ca̱a̱n
clock	reloó
bed	camá
castillo	castilló
spoon	coxará
twin	cuaté
great-tailed grackle	cuaꞌa̱j
judge	cuese̱
procession	lesioó
lemongrass	coj limuú
shirt	cotoó
Corpus Christi	Chaꞌanj Rmentó
leaf-cutter ant	leró
monkey	machiín
band	misca̱
beer	na cervezá
cemetery	sandó
zebu	scúj sevuú
thief	Smartíj
Jesus	suse̱
surprise	íijole̱
yoked pair	yuntá
