edible elderberry plant	seba
edible nettle	dyn
edible wild purslane plant	lax
thyme	mizela
herb	aprus
bryony	κινούβοιλα
herb	priadila
herb	krustane
herb	usazila
herb	kotiata
herb	propodila
blue daisy flower	rathibida
fruit	sipoax
plant teasel	skiare
lesser centaury plant	tulbela
ground pine plant	khodela
maidenhair fern plant	phithophthethela
edible blueberry plant	mantia
edible danewort plant	olma
edible dill plant	polpum
edible eringo plant	sikupnux
edible calamint plant	teudila
hemlock plant poison	zena
deadly nightshade	koikolida
poisonous henbane plant	diellena
poisonous black hellebore plant	prodiarna
city	dava
rosemary	dracontos
climbing ivy	arpopria
centaury	stirsozila
catmint	tanidila
deadly nightshade	coicolida
