free	gratis
August	august
antonymous	antonym
synonymous	synonym
hyponymous	hyponym
eagle	eagle
un-	a-
abortion	abort
now	nu
jump	spring
they	de
a	en
fashionable	in
search	google
in	i
island	Japan
ice	is
speed	fart
gate	port
Wednesday	onsdag
duck	and
Zealand	New Zealand
blunt	but
pseudonymous	pseudonym
we	vi
absurdly	absurd
emoticon	smiley
Achilles	Achilles
common ash	ask
infant	baby
position	stand
barren	gold
putting green	green
pace	tempo
chirp	pip
character	person
million	million
one hundred	hundred
fine-tuning	finish
μ	my
here	her
kiwi fruit	kiwi
as	qua
kind	art
Æsir	as
nephew	niece
look	mine
ball	bold
homonymic	homonym
wheel	rat
bronze medal	bronze
Sn	tin
grapefruit	grape
pamphlet	brochure
men's room	toilet
all	al
good	god
cheek	kind
barrack	barak
sow	so
tuberculosis	TB
talc	talk
meter	vers
slime	slim
tycoon	matador
shark	haj
sew	sy
broken	itu
music	musik
nothing	nada
detachment	distance
humane	human
you	dig
thither	did
gift	gave
luck	held
hate	had
hither	hid
feed	made
strand	hår
legitimate	legal
headquarters	central
Triticum spelta	spelt
basketball	basket
file	rode
rank	rang
theft	ran
browse	browse
labour	slide
spavin	spat
på	stole
stench	stank
fight	stride
thorn	torn
duty	told
town	by
Brønsted-Lowry base	base
form	blanket
suppose	vel
dissemination	distribution
diller	penis
bowtie	butterfly
eight	otter
spike	pig
breakwater	mole
car	bil
a	et
verdigris	ir
threaten	true
cunning	list
robust	solid
father	far
staff	stab
metre	meter
ride	lift
club	klub
hall	sal
adorable	cute
celestial	himmel
act	handle
inhabitant	-bo
Danish	t
incubus	mare
mandarin orange	mandarin
vision	syn
haulm	halm
couch	sofa
crush	mase
generation	generation
male	han
action	handling
she	hun
hurry	ile
African	afrikaner
hyperlink	link
meadow	eng
rag	las
steam	damp
heart	hjerte
blood	blod
Thursday	torsdag
Friday	fredag
hurry	jag
nine	ni
pigeon	due
three	tre
unoccupied	ledig
bloom	flor
Saturday	lørdag
Δ	delta
bullock	stud
kilometre	kilometer
gender	genus
He	helium
coffee	kaffe
numeral	numerale
centimetre	centimeter
decimetre	decimeter
millimetre	millimeter
day	dag
dune	mile
subject	fag
millilitre	milliliter
aluminum	aluminium
sulphur	sulfur
Xe	xenon
ytterbium	ytterbium
lutetium	lutetium
rhenium	rhenium
fairy	fe
thallium	thallium
radon	radon
fermium	fermium
copernicium	ununbium
nihonium	ununtrium
flerovium	ununquadium
moscovium	ununpentium
livermorium	ununhexium
tennessine	ununseptium
oganesson	ununoctium
mollusc	mollusk
coach	bus
sieve	si
M/F	MF
cotton wool	vat
restrain	dy
darmstadtium	ununnilium
dammit	pis
mouse	mus
privy	das
hello	hallo
altar	alter
manifesto	manifest
pronged	fork
banner	transparent
food	halal
hashish	hash
pier	kaj
page	side
iamb	jambe
protagonist	protagonist
of	à
corrosion	rust
email	mail
fly	flue
wildebeest	gnu
operand	operand
plastic	plastic
zoological garden	zoo
United States	New York
sheet	lagen
feta	feta
light	skin
Hz	hertz
land	score
germ	kim
cheque	check
glasses	briller
loose	los
fish-trap	ruse
Nynorsk	nynorsk
Bokmål	bokmål
booklet	manual
giant panda	panda
attic	loft
copy	kopi
Greek	Zeus
Russian	russer
cleanly	proper
sacrifice	offer
shape	form
surely	da
container	juice
admonish	mane
happy	glad
dance	dans
novel	roman
mold	mug
zenith	zenit
many	mange
amuse	more
newspaper	avis
niks	nix
yawn	gabe
mouth	gab
oath	ed
air	luft
medie	medium
June	juni
July	juli
postage	porto
upper body	torso
verb	verbum
harp	harpe
summit	top
them	dem
Negro	neger
north	nord
North America	Nordamerika
rue	rude
oasis	oase
habit	vane
hymn	hymne
ability	kunnen
yes	ja
turn	ty
self	auto-
Saint Petersburg	Leningrad
fugue	fuga
trust	lid
empty	tom
fashion	mode
fucking	fucking
Norwegian	norsk
uproar	tumult
grass snake	snog
address	adresse
Poland	Polen
bar	bom
han	fik
the	den
hiccup	hik
up	op
chair	stol
house	hus
child	barn
Mongolian	mongol
speech	tale
sheaf	neg
Advent	advent
point	od
stød	-er
bicycle	cykel
database	register
inconvenience	gene
movie	film
note	tone
vein	vene
pharaoh	farao
jelly	gele
Åland Islands	Åland
crossbreed	bastard
anthology	antologi
counterpart	pendant
attention deficit hyperactivity disorder	ADHD
plague	pest
half	hemi-
oak	eg
rhyme	rime
life	bio-
litre	liter
heterosexuality	hetero-
same	homo-
cardboard	pap
nature	natur
Socrates	Sokrates
cocoa	kakao
May	maj
two	di-
château	chateau
times	-fold
shut it	luk
aside	apropos
ouch	av
Danish pastry	wienerbrød
har	taste
morale	moral
well	smart
Poul	Paul
language	sprog
branch	filial
fine	fin
den	dens
palindrome	palindrom
act	agere
nose	næse
datum	data
courgette	zucchini
with	med
rule	regere
albatross	albatros
congenital	albino
graduate	student
haste	hast
further	videre
drug addict	narkoman
sabre	sabel
sorrow	sorg
angel	engel
find	fund
good day	goddag
I don't know	jeg ved det ikke
your	din
exercise	motion
paw	lab
group	gruppe
pajamas	pyjamas
alert	opmærksom
more	flere
possibility	mulighed
possible	mulig
elitist	elitær
the	det
flour	mel
sleep	sove
ask	spørge
haste	il
bachelor's degree	bachelor
rain	regn
condom	kondom
telephone	telefon
gift	present
omelette	omelet
deposit	pant
gasoline	benzin
rest	mag
bug	insekt
from	fra
mathematics	matematik
five	fem
twelve	tolv
logic	logik
Andrew	Andreas
photographer	fotograf
politics	politik
dull	mat
lift	elevator
