rain	марка
soap	сапун
tongue	мез
fox	гурда
bone	лига
year	дус
one	ца
water	шин
tongue	лезми
tree	галга
bird	арцан
love	дигай
flower	вава
gold	мургьи
copper	дубси
bronze	жарма
tin	къалай
iron	мегь
lightning	лямцӀ
stone	къаркъа
church	киласа
mosque	мижит
mountain	дубура
blood	хӀи
ice	миъ
measles	аринж
forehead	анда
honey	варъа
mill	шинкьа
brain	мехӀе
milk	ниъ
hammer	кьякь
carrot	набадари
Muslim	бусурман
earth	гӏянжи
water	гьин
tooth	цула
lip	кӏентӏ
ear	лихӏи
sickle	мирш
beard	муцӏур
male	марга
sweet	муриси
plough	гутан
liver	дулекӏ
