large iron pot	kawa
two	dua
road	daan
yes	ee
how much	manu
who	antaa
offspring	anak
tear	lua
here	kani
salt	asin
pigeon	baud
husband	bana
root	gamut
five	lima
pig trap	batik
because	kay
stone	batu
jaw	baka
eye	mata
hat	kau
bamboo	buu
sun	sega
chicken	manuk
lightning	kilat
sky	langit
tongue	dila
friend	andi
neck	lieg
child	bata
sea	dagat
knife	badi
unmarried woman	daga
clothes	kabe
mudfish	isda
widow	bau
thorn	dugi
Manila hemp	abaka
wave	baed
thin	manipis
peace	malinaw
servant	allang
stepchild	anak-anak
place	banwa
corn	batad
lip	abii
younger sibling	adi
grinder	galing
leaf	deun
shoulder	abaga
wife	asawa
mother	iney
side	kilid
waist	awak
pig	babuy
happy	liag
roof	atep
basket	aat
turtle	lenek
dog	idu
wall	dingding
soursop	labana
parent	ginikanan
bamboo	kawayan
bachelor	baubata
outrigger float	katig
rain	amian
long	maaba
sister-in-law	ipag
large fish hook	kawad
snake	mamang
clean	malinis
north	amianan
woman	buyag
boy	lukes
blood	langesa
difficult	malised
human	etew
large root	dalid
liver	atey
raft	gakit
farmer	mag-uuma
mat	ikam
smoke	ebak
crab	kagang
forty	kap-atan
door	abangan
frog	ambak
sister	atebey
fire	atuun
poison	baeng
house	baey
thunderstorm	bansi
different	bugti
langsat	bugka
when	kaganu
puppy	kadung
relative	kadumaan
older sibling	kakey
pregnant	kabedes
fruit bat	kabeg
enemy	kablang
left	kawaa
thirty	katluan
tomorrow	kaseem
ninety	kasiaman
sixty	kan-eman
skin	kindaa
eyebrow	kiley
dark cloud	kibee
basket	kayad
twenty	kawaan
eighty	kawauan
chest	dagaa
mud	dallak
joke	dugduga
owl	ekang
bolo	etak
smoke	ebee
egg	eteug
idol	etew-etew
fog	gabun
yesterday	gabii
abdomen	getek
drum	gimbaa
stomachache	gieb
forehead	geya
rotten	gebuk
later	gaygaya
forest	guangan
rib	gusuk
supper	iapun
armpit	ilek
unripe	ilew
fever	inglew
ripe	inug
stepmother	iney-iney
breakfast	ineem
bedbug	isuu
shadow	lambung
gnat	lamutlamut
knee	lekenlekenan
mortar	lesung
mushroom	ligbes
leech	limatek
seed	lib-ug
tired	letey
dove	limuken
bowl	lipug
rooster	lumansad
thunder	lugung
gun	lut-ang
coffin	lungun
dust	abug
dust	aeb
day	adew
ladder	agdan
mouse	ambew
father	amey
root	amlung
nephew	anaken
uncle	anggam
lime	apug
heavy	mabegat
easy	maawey
bright	maawang
big	maaslag
cold	maagsii
light	maagkap
brother	maama
bad	madeet
near	madani
thick	madamee
deep	madaem
strong	mabegbeg
itchy	madeges
dark	madiglem
night	madikilem
good	madeyew
hard	madesen
fragrant	maemut
doctor	magtatambaa
fisherman	mag-iisda
beautiful	magayun
silent	maenek
expensive	magastu
far	madiu
narrow	malig-et
black	maitem
small	maintek
sharp	maideb
green	maludewludew
old	manigeen
lonely	mamingaw
betel	mamaen
red	malegdeg
dirty	maligsem
wide	maluag
town	lunsud
