deep	gun
I	bi
comb	san
winter	un
wall	dan
friend	anda
come	ire
mom	ana
fire	khan
be	wo
table	shire
forget	mata
add	nime
road	mo
goat	iman
mouth	aman
arrow	sumu
carrot	tuma
gunpowder	huai
city	baza
tiger	basi
pasture	banche
friend	dosi
language	kielien
fine	narun
grass	osun
give	ogi
moon	sara
water	usu
money	baer
eye	nundu
place	oron
day	udu
garlic	samusa
tree	mutun
gunpowder	hoye
grain	taran
drown	janji
verbs	-ji
name	niere
urine	shesun
duck	yazi
lie	ghudan
pound	shigha
dowry	mehherei
wring	ninji
knee	odou
count	toula
Qur'an	Qida
Qur'an	Ghuragvan
orphan	oliechin
ring finger	oliechin ghurun
mother	ekie
nail	ghimusun
cupboard	chukui
cupboard	chugui
currently	zhin
just	jian
youngster	zhalao
sun	naran
meat	migva
butcher	migvachi
sheep	ghoni
new	shini
fry	khuru
manner	ogidan
start	uzhulie
manner	iredan
come	iregva
breed	bagvachou
bull	bagvachou fugie
neck	ghuzhun
neck	ghuzhen
magpie	sazhigvei
magpie	sazhigvi
face	ungie
face	ongie
on	jiere
saw	qirou
saw	qiroujie
saw	qiroulie
world	duya
world	dunya
gnaw	ghazha
infidel	kafeir
know	mejie
tooth	shidun
eye	nundun
apricot	orou mutun
apricot	orouchi
wine	darasun
drink	darasuda
drinker	darasuchi
alcoholic	darasutu
short	bogvoni
dream	zhaojin
snake	mogvei
cut	ghigva
young	zhunzhagva
whelp	zhunzhagvala
lamb	ghugvan
thick	zhuzhan
peck	chughu
winter	uwun
summer	khalun cha
autumn	qiuqien
spring	chunqien
sister	egvechi
crow	laowa
wasp	banbun
misbaha	tesibihha
udder	jielien
iron	qiemu
dew	xiaojierun
bone marrow	chumegve
mortar	duiwo
poplar	hulasun
sword	baojien
mirror	jinzi
comrade	tunzhi
axe	sugie
hell	dozohei
