throw	วัด
fire	งอ
wipe	อวด
thorn	กัด
long	ดึง
wait	มอง
one	เตะ
five	พวน
sew	จึง
ashes	จะ
intestines	ตู
thick	ปู
slow	จอ
shallow	โต
sated	ซัก
mango	แป
mother	มะ
water	ลอา-อูม
gong	โมง
big	รึ
roof	พลัง
bitter	ซอง
tongue	ตัก
cooking pot	ตอง
that	ทอ
mat	ซัด
know	โยง
some	อวน
correct	ลอก
fish	กะ
sink	มุด
seed	นอง
mortar	เบิก
branch	กัก
winnow	ยิบ
extinguish	ยึด
pillow	มวน
chicken	แอ
bamboo shoot	โปง
stomach	เวียก
shout	กอก
water	ลอา-อืม
heavy	เจียน
hear	ฮมอง
wind	กา-อือ
tree	โคะ
elephant	ซัง
straight	เซอ
monkey	เฟือะ
nose	มา-อืฮ
raise	ยวก
die	ยุม
cooked rice	อา-อุบ
leaf	ฮละ
paddy rice	เฮงาะ
bee	แฮ
lungs	โฮมะ
sky	มลอง
head	กัญ
headhair	ฮา-อึก
back	ฆ̱อ
saliva	แʼม
bone	ซอัง
father	เปือะ
roof	พรัง
comb	ซคา
needle	เญะ
trousers	แว
two	ลอา
ten	กัว
sun	ซงา-อิ
sun	ซเงะ
sun	ซแงะ
mountain	มอ
paddy rice	เฮาะ
salt	กิฮ
tiger	อเวีย
pig	แลจ
pig	เลิจ
tail	ซตะ
bird	ซัญ
fly	เป-อู
duck	เตือ
snake	ซเอิง
stand	โจง
pull	ยึง
give	เกือฮ
dig	กวง
play	ลฮะ
buy	ด̱ี
dance	ฟวน
shoot	เปิง
hunt	กรา
plant	ซมา
stab	บ̱วก
cut	ญับ
enter	ลี-เอิก
push	ญุ
eye	เอีย
eye	เʼงีย
mouth	อบ̱อม
gums	อเญ
tooth	ปี-เอิง
chin	ฆ̱ับ
skin	ฮัก
door	อเวือะ
spoon	ซนู-เอิน
smoke	มา-อึก
wash	อซัจ
seven	อแลฮ
nine	ซตัญ
white	ปิง
bite	กี-เอิด
child	กู-เอิน
flower	ตี-เออ
expensive	เปียง
excrement	อี-เอิง
water	ลเอม
star	ซเบิง
cloud	เบ̱ียอา-อืม
cloud	เบ̱ียอา-อูม
mist	จุดวู
rain	เฮละ
rain	ฮลา-อิ
rain	แฮละ
lightning	ปรุกปรัก
lightning	ปลุกปลัก
year	แนม
tomorrow	ซเอฮ
morning	มาซะ
stone	ซโมะ
stone	ซมา-อุ
forest	ปีดวก
sand	ฮมัจ
bark	เฮลาะ
bamboo	เอาะ
jackfruit	นักเนิง
rice husk	กัม
mouse	เกือง
head louse	เซะ
mosquito	ญุง
forehead	แด
cheek	ซปะ
palm	เตือก
fingernail	ฮมัญ
foot	จวง
blood	ฮนัม
sweat	ลอา-อึก
person	ปู-อี
village	ฌวง
window	ปอฺง
clothing	อเปะ
weave	ตัญ
dye	โญม
candle	ตี-เอิน
bow	อัก
arrow	เต
see	โยะ
wink	จุบเจียบ
cry	เฌือม
eat	โกก
drink	โญะ
drunk	ฌุจ
vomit	ฮัว
spit	เทิก
cough	เʼมิก
whistle	โซจ
suck	ตวด
smile	เญือฮ
tell	ดอ
forget	บ̱ี-เออ
afraid	ฮลัด
sleep	อัจ
medicine	เฌือ
itch	โซงะ
scratch	ฮัจ
launder	โปฮ
burn	ตอฺง
kill	มอฺก
fight	ด̱าอติก
many	เฮิง
all	ตังเอิก
small	เตียะ
tall	ฮลวง
narrow	เคียบ
wide	เวือฮ
skinny	อเกือะ
far	ซเงีย
green	ซงา
old	พรัญ
dark	ฟี-เอิก
bright	เปือฮ
sweet	แต
sour	ʼนะ
hard	กอฺ
good	มัจ
difficult	ญัก
pimple	มอฺง
rope	โʼมะ
rope	ʼมา-อุ
root	แรฮ
sharp	ลอม
mud	แบ̱ญ
mud	เบ̱ิญ
gold	เครีย
gold	เคลีย
iron	แฮลจ
iron	เฮลิจ
fruit	เประ
fruit	เปละ
grass	รัจ
grass	ลัจ
liquor	เปรีย
liquor	เปลีย
coconut	เพรือ
coconut	เพลือ
thunder	แนมเบ̱ระ
thunder	แนมเบ̱ละ
wind	กา-อู
wind	เก-อู
night	มาซา-อืม
night	มาซา-อูม
night	มาเซม
day	มาซเงะ
day	มาซงา-อิ
day	มาซแงะ
yesterday	กเอ-อูฮ
silver	มา-อือ
dust	อกา-อือ
dust	อกา-อู
dust	อเก-อู
mushroom	ตา-อีฮ
banana	อมอ-อีฮ
rattan	ดา-อึก
sugarcane	อเมะ
sugarcane	อมา-อิ
sugarcane	อแมะ
