sow	làn
certainly	dè
today	bì
manatee	mà
prayer	sali
wilderness	wà
that	ò
drink	mìn
road	síla
yam	kú
also	fána
breast	sín
day	lón
leopard	sóli
wash	kò
as soon as	kotan
drought	jà
bear fruit	dén
broomgrass	séran
I	nê
sky	sán
go	táa
man	kɛ
net	jɔ̀
cola	wòro
light	kɛnɛ
taro	jáabɛrɛ
workshop	báarabon
employer	báarafa
cooperation	báaraɲɔɔnya
colleague	báaraɲɔɔn
gravel	bɛrɛ
swamp	bɛsɛbɛsɛ
avenue	bɛda
cloud	bídika
ablution	salijimida
mosque	salibon
column	samasen
army	kɛ̀lɛbolon
war	kɛ̀lɛ
one hundred	kɛ̀mɛ
always	kɛ̀nɛ̂n
field	fòro
cotton	kɔ́rɔndi
east	kɔ́rɔn
earth	bànku
refusal	bànni
rejection	bànńdɔ
cassava	bànnuku
loom	kɔ̀rɛ
family lineage	kɔ́rɛ
bosom	kɔ́ɔ
sea	kɔ̀ɔji
salt	kɔ̀ɔ
elephant	sàma
month	sànbolon
proverb	sànda
storm	sánfɔɲɔ
rain	sánji
sky	sánkolo
recently	sánkuda
lion	wára
leopard	koroso
comparison	láɲɔɔnma
straw	ɲàma
reform	ɲámayɛlɛman
horizon	ɲámilo
life	ɲánamaya
leopard	ɲánfen
sorghum	bìnbirin
corn	ɲɔ̀
fur	ɲúfukudu
cobra	wòroto
cradle	wólosulu
pasture	jɛ́wulɛ
herder	bíyangbɛnna
manure	bíyannɔɔ
cattle	bíyan
raw material	wólońdɔ́
confluence	jíbɛn
surplus	jídińkan
gulf	jídoo
riverbed	jífɔlɔn
bus	jìijaa
success	jìimafa
disappointment	jìilafɔya
granary	jìinɛ
pond	jíkudun
cup	jílafɛ
lung	jɔ̀fɔ
slavery	jɔ̀nya
ear	wɛ́lɛ
king	mànsa
leader	ɲɛ́mɔɔ
director	cétii
chief	dátii
chief	sálatii
leader	kùntii
guide	ɲɛ́bila
name	kùntɔɔ
length	kùntaa
apogee	kùnsan
brass	sìra
image	sínkɔn
tomorrow	sínin
origin	síndi
co-wife	sìna
Muslim	sìlama
Islam	sìlamaya
African buffalo	sìi
table	sìiwala
neighbor	sìiɲɔɔn
position	sìiɲa
neighborhood	sìinfɛ
status	sìikan
group	sìidiyama
fragment	sìida
paragraph	sìidalen
bundle	sìdi
corn	kàba
stone	kába
surface	kábe
tribe	kàbila
imitate	dèyi
community	dɛ̀ba
womb	dɛ́bɛ
mat	dɛ̀bɛ
factory	dɛ̀ɛnda
society	dɛ̀ko
help	dɛ̀mɛn
believe	dɛ̀nkɛnɛya
temporary	dɛ̀nkɛntunɛn
insufficient	dɛ́sɛnɛn
unable	dɛ́sɛbaatɔ
calf	dɛ̀sɛ
book	kàfa
sugarcane	líkende
bee	líkisɛ
root	lílin
sea	lìnban
star	lòlo
height	lɔ̀gban
building	lɔ̀li
stone	fáda
donkey	fàliba
as long as	fàni
comparison	kólankoma
milk	nɔ́nɔ
bud	núngban
bud	nàron
means	násuru
future	nàtɔla
turban	náwun
can	nɛ̀ɛdun
fishing basket	nɛ̀ɛsɔlɔn
fishing basket	bòroda
swampy	bòroman
you	álelu
they	àlelu
those	òlú
this	mɛ̀n
whole	mɛ́rrɛ
which	mîn
loincloth	míningban
thirst	mìnlɔɔ
population	mìrindi
veneration	mìrin
gutter	sɔ́ɔli
paradise	àrijana
savannah	gbɛ́kanna
palm wine	gbɛ̀ji
rhinoceros	gbàlima
drying scaffold	gbála
okra	gbán
church	gbàrabon
aardvark	tìnba
hedgehog	bàlajɔn
otter	kɔ̀wùlu
shrew	ɲínaninkòn
chimpanzee	wòdon
kob	sɔ́n
hyena	játùru
griot	jèli
cobalt	báalan
hartebeest	tánko
crocodile	bànba
quail	wèntere
philosophy	wèdewedeli
ford	wàsa
sistrum	wásanba
harp	sɔ́rɔn
drum	dùndun
gourd	bàra
hunter	dònso
enter	dòn
rooster	dòndon
seven	wóronwìla
