new	у
and	да
zero	ноль
sky	кава
you	те
father	ача
nose	нер
three	кум
grove	ото
six	куд
brass	той
fish	кол
we	ме
apple	олма
dog	пий
марий йылме	марий йылме
child	йоча
mother	ава
good	поро
village	ял
Volga	Юл
face	шӱргӧ
hand	кид
I	мый
you	тый
he	тудо
they	нуно
who	кӧ
what	мо
one	ик
two	кок
four	ныл
five	вич
seven	шым
eight	кандаш
nine	индеш
ten	лу
tree	пу
Estonia	Эстоний
head	вуй
year	ий
brother	иза
wind	мардеж
sand	ошма
animal	янлык
air	юж
time	жап
snake	кишке
fall	шыже
boy	эрге
plane	пыжар
arrow	пикш
water	вӱд
daughter	ӱдыр
colored	ола
eye	шинча
hair	ӱп
bast	ний
tongue	йылме
Russia	Россий
palm	копа
Eastern Mari	ҥ
ear	пылыш
week	арня
answer	вашмут
hurry	вашкаш
elder sister	ака
wolf	пире
house	пӧрт
name	лӱм
snow	лум
spruce	кож
bucket	ведра
ground	аварок
fly	карме
mouse	коля
horn	тӱкӧ
fox	рывыж
marrow	вем
dream	омо
news	увер
cow	ушкал
root	вож
die	колаш
sign	тиште
bird	кайык
bad	уда
ceiling beam	авагашта
grab	авалташ
birch	куэ
uterus	авалык
seine	аванвопш
down	авапун
taste	авызлаш
heir	юго
fishing float	колко
sour	шопо
place	опташ
haired	ӱпан
goose	комбо
touch	тӱкаш
nightingale	шӱшпык
forest	чодыра
forget	мондаш
wall	пырдыж
spoon	совла
beg	сӧрвалаш
lip	тӱрвӧ
cat	пырыс
mushroom	поҥго
maple	ваштар
fur	ужга
raspberry	эҥыж
thunder	кӱдырчӧ
bee	мӱкш
oak	тумо
horse	имне
owl	тумна
heel	таган
pig	сӧсна
mosquito	шыҥа
jackdaw	чаҥа
hedgehog	шоҥшо
wagtail	вырляҥге
wagtail	чывызык
willow	ӱвӧ
herd	кӱтӱ
bullfinch	ӧрш
nature	пӱртӱс
butterfly	лыве
chicken	чыве
red	йошкар
say	манаш
come	толаш
beetroot	чӱгындыр
abscess	юҥго
alder	нӧлпӧ
poplar	ошко
kite	курныж
bird cherry	ломбо
white willow	ӱе
fir	нулго
rowan	пызле
elm	шоло
linden	писте
pine	пӱнчӧ
pine	якте
aspen	шопке
ash	шӧрва
step	ошкыл
strong	виян
ski	ече
drink	йӱаш
hill	курык
hare	мераҥ
yesterday	теҥгече
friend	таҥ
sew	ургаш
mouth	умша
cold	йӱштӧ
live	илаш
do	ышташ
belt	ӱштӧ
poison	аяр
nut	пӱкш
