cloudy	gp
likewise	my
courtyard	h
O	j
don't	m
mat	p
Eurasian teal	s
bread	t
not	w
bolt	z
still	gr
among	mm
pierce	dm
other	ky
which	zy
ritually clean	twr
come into being	ḫpr
head	tp
ram	zr
predict	sr
house	pr
respect	sm
sky	pt
offspring	ms
milk	hr
not	bn
drive away	dr
clothed	sd
activity	st-ꜥ
address	wšd
enlarge	sꜥꜣj
affection	st-jb
relative	m ḫt
abandon	bṯ
temporally	tp-ꜥ
anew	m mꜣwt
alabaster	šs
baked goods	pꜣwt
arrow	šsr
from	šꜣꜥ-r
foreign Asian people	ꜥꜣm
assistant	ẖrj-ꜥ
surely	nḥmn
audience chamber	ꜥ-ẖnwtj
audience hall	ḏꜣdw
axe	mjnb
silence	sgr
palace	pr ꜥꜣ
promote	sḫntj
ebony	hbnj
leather object	šꜣq
sea	ym
tongue	ns
I	.kw
they	.sn
you	.tj
one	.tw
miserable	fn
O	hy
offer	ḥnk
black ibis	gm
hundred thousand	ḥfn
need	nhw
lake	š
Rome	hrm
yesterday	sf
realis	jwt
slaughter	dnd
O	pwy
cord	hp
this	nn
ear	msḏr
falcon	bjk
moon	jꜥḥ
nose	fnḏ
day	hrw
gazelle	gḥs
sun	rꜥ
hear	sḏm
frontal	ḥꜣtj
flower	wnb
scarab	ḫprr
live	ꜥnḫ
daughter	zꜣt
tree	šn
argument	ḏꜣjs
bone	qs
ointment	wrḥ
look at	mꜣꜣ
today	mjn
neck	nḥbt
superior	nfr
egg	swḥt
fortification wall	sbtj
Egypt	kmt
seat	nst
hound	ṯzm
abdomen	ẖt
dawn	ꜥnḏw
crocodile	dpy
storm	ḏꜥ
dance	ḫbj
evening	mšrw
fish	rm
harvest	šmw
shine	wbn
ennoble	sꜥḥ
hunt	bḥs
foreleg	ḫpš
enter	ꜥq
widow	ẖꜣrt
sepulchre	qrs
without knowing	m-ḫm
with	m-dj
himself	ḏs.f
Thoth	ḏḥwtj
sled	tmt
wall	jnb
descend	hꜣj
crown	ḫꜥw
tomorrow	bkꜣ
fertilize	wsn
have mercy	ḫꜣtb
Assur	jswr
rush	hh
determinative	𓀀
husband	hj
this	tn
you	kw
water	nwy
desert	mrw
orphan	tfn
saddle-billed stork	𓅡
flagellum	𓅄
boat	𓊛
this	pw
I	jnk
protection	mkt
Neith	nt
ka	ḥwt-kꜣ-ptḥ
here	dj
Horus name	𓊁
awake	rs
ox	jwꜣ
cattle	jḥw
short	wnḏw
team	ḥtrj
herd	mnmnt
four	ꜥwt
herd	jdr
horse	ssm
horse	ssmt
sacred cow	ḥzꜣt
lion	mꜣj-ḥzꜣ
giraffe	mmj
jackal	zꜣb
longhorn	ngꜣw
lion	mꜣj
foetus	mꜣy
nomina loci	m-
fly	pꜣj
fly	ꜥẖj
black ibis	gmt
seek	gmj
twisted	gwš
be friendly	ḫnms
Heliopolis	jwnw
oryx	mꜣ-ḥḏ
lioness	mꜣt
mandrake	mꜣtt
dappled cow	sꜣbt
field	šꜣ
lithe spotted big cat	ꜣby
sack	ẖꜣr
measure	šnꜥtj
qite	qdt
he	.f
she	.s
you	.ṯ
you	.ṯn
boy	jd
you	.t
you two	.ṯnj
two	.snj
they	.w
street	mrrt
cool	qbb
rhinoceros	šꜣqb
centaroura	mḥ tꜣ
decaroura	ḫꜣ tꜣ
river	jtrw
alone	wꜥ
two	snwj
three	ḫmtw
four	jfdw
five	djw
six	sjsw
nine	psḏw
ten	mḏw
twenty	mḏwtj
thirty	mꜥbꜣ
fifty	dyw
sixty	sjsjw
seventy	sfḫjw
eighty	ḫmnjw
ninety	psḏjw
two hundred	štj
million	ḥḥ
stallion	jbr
leek	jꜣqt
grape	jꜣrrt
tamarisk	jzr
Isis	ꜣst
mourning	jꜣkbyt
baboon	jꜥn
inertness	nnw
fish	sbnw
Sobek	sbk
centipede	zpꜣ
Canaanite	knꜥnw
Bastet	bꜣst
Babylon	bbr
phoenix	bnw
Apep	ꜥꜣpp
Egyptian	wꜣst
mouse	pnw
wafer	pꜣq
watermelon	bddw kꜣ
pine	qdtt
pubic region	kns
Crete	kftyw
Byblos	kbn
bush	kꜣkꜣ
Cush	kꜣš
spur-winged lapwing	tnṯ
hawk	ṯnḥr
Duamutef	dwꜣ-mwt.f
Qebehsenuef	qbḥ-snw.f
I	wj
you	ṯw
you	ṯn
she	sj
you	ntk
you	ntṯ
she	nts
we	jnn
you	ntṯn
they	ntsn
you	ṯwt
hoe	ḥnn
sword	mšw
skin	jnm
prince	jnpw
valley	jnt
throat	ḥtyt
regnal year	rnpt ḥsb
chariot	mrkbt
proud	qꜣj sꜣ
year	rnpt
epagomenal	djw ḥrjw rnpt
unequal	wnwt
everything imaginable	ntt jwtt
secret	štꜣw
fingernail	ꜥnt
brain	ꜥmm
chin	jnꜥ
again	m wḥm ꜥ
again	m wḥm
beetle	ꜥpšꜣy
fly	ꜥff
crocodile	mzḥ
inside	m ẖnw
natron	nṯryt
vizier	ṯꜣtj
throne	ḫndw
common people	rḫyt
snake	ḥfꜣw
ruler	ḥqꜣ
mine	ḥtt
bulrush	ḥnj
Blue Crown	ḫprš
Ptah	ptḥ
temple	ḥwt-nṯr
this	pn
that	pf
that	nf
that	nfꜣ
that	tfꜣ
that	pfꜣ
this	nw
O	pꜣ
O	twy
these	jpw
these	jptw
these	jpn
these	jptn
possessive	nꜣy
possessive	tꜣy
possessive	pꜣy
what	jḫ
what	jšst
school	ꜥt sbꜣw
whole	r ḏr
whole	r ꜣw
whole	mj qd
whole	mj qj
some	nhj
each	ṯnw
death	qbḥ
wall	jmḏr
kite	ḏryt
pupil	ḏfḏ
red	dšr
realis	jw
dependent	jsṯ
ibis	hbj
breast	mnḏ
cheek	mnḏt
vertebra	ṯz
between	jmjtw
along with	ḥnꜥ
Cairo	ḏdw
epithet	wnn-nfr
Egyptian goose	srw
Hathor	ḥwt-ḥr
burial	qrst
ascend	jꜥr
papyrus skiff	smḥ
male	ḥrj-pr
female	ḥrt-pr
tomb	ḥrt
pleasing	nfrt
write	zẖꜣ
roaring sound	hmhmt
bequeath	swḏ
bow	pḏt
sever	dn
exist	wnn
rebus principle	𓁹
Egypt	tꜣwj
regular masculine dual	-wj
fear	snḏw
electrum	ḏꜥm
chest	šnbt
taste sweet	nḏm
kindly	jmꜣ
Nine Bows	psḏt pḏt
Amun-Ra	jmn-rꜥ
say	ḏd
tie	spj
nome	spꜣt
