𐌀𐌐𐌀	apa
𐌀𐌕𐌉	ati
𐌍𐌄𐌓𐌉	neri
and	𐌀
𐌀𐌅𐌉𐌋	avil
lady	𐌕𐌖𐌓𐌏𐌍
people	𐌓𐌀𐌔𐌍𐌀
zilath	𐌆𐌉𐌋𐌀𐌈
mask	𐌘𐌄𐌓𐌔𐌖
gold	𐌆𐌀𐌌𐌀𐌈𐌉
golden	𐌆𐌀𐌌𐌈𐌉𐌂
-y	-𐌂
god	𐌀𐌉𐌔
god	𐌄𐌉𐌔
divine	𐌀𐌉𐌔𐌍𐌀
-ine	-𐌍𐌀
divine	𐌄𐌉𐌔𐌍𐌀
wine	𐌅𐌉𐌍𐌖𐌌
one	𐌈𐌖
one	𐌈𐌖𐌍
two	𐌆𐌀𐌋
two	𐌄𐌔𐌀𐌋
three	𐌂𐌉
four	𐌑𐌀
five	𐌌𐌀𐌙
chalice	𐌈𐌀𐌐𐌍𐌀
son	𐌂𐌋𐌀𐌍
daughter	𐌑𐌄𐌙
wife	𐌐𐌖𐌉𐌀
magistrate	𐌆𐌉𐌋𐌂
Charon	𐌗𐌀𐌓𐌖𐌍
the	𐌀𐌏𐌖𐌌𐌉𐌂𐌀
gens	𐌀𐌓𐌆𐌍𐌉
gens	𐌀𐌓𐌆𐌍𐌀
gens	𐌀𐌂𐌄
given	𐌀𐌋𐌗𐌖
give	𐌀𐌋𐌄
gens	𐌀𐌋𐌅𐌀
gens	𐌀𐌂𐌉𐌋𐌀
Achilles	𐌀𐌗𐌉𐌋𐌄
Achilles	𐌀𐌗𐌖𐌋𐌄
Achilles	𐌀𐌗𐌋𐌀𐌄
Achilles	𐌀𐌗𐌋𐌄
small	𐌂𐌀𐌏𐌍𐌀
basin	𐌂𐌀𐌏𐌍𐌉
gens	𐌀𐌕𐌓𐌀𐌍𐌄
lucumo	𐌋𐌖𐌂𐌖𐌌𐌖
kings	𐌋𐌖𐌂𐌖𐌌𐌏𐌍𐌄𐌔
gives	𐌋𐌖𐌄𐌀
gave	𐌀𐌋𐌉𐌂𐌄
gave	𐌀𐌋𐌉𐌊𐌄
gave	𐌀𐌋𐌂𐌄
given	𐌀𐌋𐌂𐌖
present	𐌀𐌋𐌉𐌗𐌀
gave	𐌀𐌋𐌉𐌗𐌄
leaves	𐌀𐌂𐌍𐌉𐌍𐌀
the	𐌀𐌂𐌍𐌀𐌑𐌅𐌄𐌓𐌔
offspring	𐌀𐌂𐌍𐌔
gens	𐌀𐌗𐌍𐌉
Agamemnon	𐌀𐌗𐌌𐌄𐌌𐌓𐌖𐌍
Acheron	𐌀𐌗𐌓𐌖𐌌
gens	𐌀𐌗𐌖
month	𐌀𐌂𐌀𐌋𐌀
month	𐌀𐌂𐌋𐌖𐌔
June	𐌀𐌂𐌀𐌋𐌄
Accalia	𐌀𐌂𐌀𐌋𐌉𐌀
gens	𐌀𐌂𐌀
gens	𐌀𐌊𐌀
camomile tea	𐌀𐌐𐌉𐌀𐌍𐌀
relative	𐌀𐌂𐌀𐌋𐌅𐌄
for	𐌀𐌂𐌀𐌐
for	𐌉𐌂𐌀𐌐
making	𐌀𐌂𐌀𐌔
having	𐌀𐌂𐌀𐌔𐌀
have	𐌀𐌂𐌀𐌔𐌂𐌄
to	𐌀𐌂𐌀𐌔𐌓𐌉
god	𐌀𐌂𐌀𐌅𐌉𐌔𐌄𐌓
things	𐌀𐌂𐌀𐌆𐌓
thing	𐌀𐌂𐌄𐌋
thing	𐌀𐌂𐌉𐌋
gens	𐌀𐌂𐌉𐌋𐌖
has	𐌀𐌂𐌍𐌀𐌉𐌂𐌄
has	𐌀𐌂𐌍𐌀𐌉𐌍𐌄
leaving	𐌀𐌂𐌍𐌀𐌍𐌀𐌔
old	𐌅𐌄𐌕𐌖𐌔
the	𐌅𐌉𐌊𐌖
fire	𐌅𐌄𐌓𐌔𐌄
belt	𐌁𐌀𐌋𐌕𐌄𐌀
gens	𐌁𐌄𐌓𐌂𐌏𐌌𐌔𐌍𐌀
gens	𐌐𐌄𐌓𐌂𐌖𐌌𐌔𐌍𐌀
cause	𐌂𐌀𐌅𐌔𐌀
obtain	𐌂𐌀𐌅𐌄
the	𐌂𐌀𐌅𐌄𐌈
the	𐌀𐌉𐌖𐌔
ether	𐌀𐌉𐌈𐌕𐌓𐌀
April	𐌀𐌐𐌉𐌓𐌄
the	𐌀𐌋𐌑𐌀𐌔𐌄
January	𐌀𐌍𐌉𐌀𐌗
metal	𐌂𐌀𐌔𐌔𐌉𐌔
metal	𐌂𐌀𐌔𐌔𐌉𐌃𐌀
purified	𐌂𐌀𐌔𐌕𐌂𐌄
vase	𐌇𐌀𐌋𐌊
small	𐌇𐌀𐌋𐌗𐌆𐌀
small	𐌇𐌀𐌋𐌗𐌆𐌄
autumn	𐌀𐌕𐌖𐌍𐌄
the	𐌂𐌀𐌍𐌋𐌀𐌔
atrium	𐌀𐌕𐌓𐌉𐌖𐌌
Gaius	𐌂𐌀𐌄
favorable	𐌅𐌀𐌂𐌀
Medusa	𐌌𐌄𐌕𐌖𐌔
of	𐌇𐌀𐌍𐌉𐌐𐌀𐌋𐌖𐌔𐌂𐌋𐌄
sitting	𐌔𐌄𐌔𐌄
