shoulder	мир
make	о-
inside	до
inner	дог
where	иду
place	буг
whale	калим
salt	так
sea	нам
what	як
back	аркан
moon	бяг
branch	гар
you	хи
price	таман
wood	мо
tooth	ит
hammer	халка
sleeve	ус
dense	ног
fire	тог
tendon	хум
head	дил
I	би
near	дали
deep	хунта
hail	бот
fence	куре
father	аман
bird	дэги
pine	дягда
belly	ур
fox	хули
three	илан
bitter	гот
brother	акан
hundred	няма
way	хот
far	горла
we	бу
warm	ням
far	гор
spider	атаки
sledge	турки
sound	иг
nail	оста
wound	хуи
back	дарам
you	ху
when	ок
night	долбани
soup	хил
reindeer	оран
scraper	чөчун
earth	төр
needle	инмэ
early	бадь
bullet	нюр
seven	надан
fish	олра
brain	иргэ
six	нюӈэн
five	тунӈан
crow	тураки
ten	мян
nine	уюн
eight	дяпкан
enter	и-
door	уркэ
mouse	чамакчан
sing	икэдэй
cloud	төгэчин
lake	төӈэр
marmot	чамак
rain	удан
thunder	агдірі
grass	ора̄т
willow	хіат
ptarmigan	кабіав
larch	хіакіта
husband	эди
stone	дёл
throat	билга
voice	дилган
taste	амтан
son	хут
that	тарак
hard	маҥ
dream	толкун
no	ач
be	би-
woman	аси
thunder	агди
mother	энин
sole	халган
heavy	ургэ
winter	тугэни
melt	ун-
thin	нэмкун
take	га-
sing	икэ-
here	эду
there	тала
war	кусин
enemy	булэн
return	мучу-
set	тэв-
play	эвин
girl	асаткан
cut	минэ-
cut	хус-
one	өмэн
water	мө
river	окат
star	осикат
old	хагди
house	дьу
dog	ҥин
light	ҥэрин
word	төрэн
meat	улрэ
tree	хякита
swan	хуси
day	инэҥ
silver	мэҥэн
daughter	хунадь
neck	никан
habit	хавкан
he	ноҥан
kidney	боста
play	эви-
awl	хилгун
lick	дал-
eat	дьэб-
fly	дэггөт-
swallow	нимҥэ-
wash	ав-
foot	бөдэл
autumn	болани
thick	дирам
two	дөр
four	дигэн
nose	оҥат
lip	хэмэн
pike	гөткэн
eye	ясал
egg	умта
palm	ханҥа
run	тут-
this	эрэк
together	өмэтту
up	өгэски
mouth	амҥа
hand	ҥал
year	анҥан
forehead	омкат
tongue	енҥэ
nail	типкир
naked	дьулаккан
smooth	булдути
say	гөн-
hunger	дьэмкэн
blue	чулбаня
letter	дукун
go	ҥэн-
step	гирка-
kill	ма-
name	гэрбэ
raven	олиндьа
louse	кумкэ
Russian	нючи
row	даран
read	таҥ-
body	илрэ
red	хуланя
smell	унҥэ
smell	ҥо
dawn	гяван
hare	мунрукан
healthy	абгар
snake	дьабда
sign	хамун
throw	нода-
fast	хинма
fir	ҥаҥта
mountain	урэкчэн
brother	нө
sickness	энэк
beard	гургат
cook	ирит-
faith	тэдьэн
spring	нэгин
wind	эдэн
hang	нок-
see	ит-
courtyard	төлин
side	олдан
high	гуд
hair	нюрит
forward	дьулэски
go out	нө-
frog	эрики
elbow	ечэн
black	хакарин
game	буюн
cow	хөкэн
give	бө-
white	гилтаня
uncle	этэ
skin	эртэ
lizard	исэл
dew	хилэс
forget	омҥа-
live	ин-
milk	өкэнь
suck	өк-
sister	экэн
smoke	ханин
island	букчан
sharp	эмэр
summer	дьугани
grouse	хиники
cold	иҥэнь
wasp	дьэвэт
ant	хирит
saliva	дялса
eyelash	харамта
fly	диликан
liar	өлэк
milk	хир-
wait	алат-
yellow	хиҥаня
left	дьэгэнгэг
front	дьулэг
long	ҥонам
lower	хэрги
upper	өиг
knee	хэнҥэн
tomorrow	тимана
dig	ул-
feed	ули-
thread	томкача
put	нэ-
cold	гилси
short	урумкун
oar	уливун
seek	гэлэт-
hump	бөкчэкун
end	мудан
kindle	нулу-
dry	олга-
laugh	инин-
weep	хоҥ-
wash	хилка-
beat	куси-
fear	ҥэл-
choose	хинма-
flow	эен-
extinguish	хиви-
knead	монҥа-
arrive	эм-
be born	балда-
spit	хилун
sit	тэгэ-
duck	нэкичэн
ash	хултэн
entrails	эмдэ
breast	тиҥэн
taiga	дөмҥэ
spit	тумни-
fat	имсэ
grass	орат
liver	хакан
cook	өлэт-
boil	хуй-
leaf	эбдэнрэ
man	няри
cat	кэркэ
blanket	хулра
moss	нямалра
place	билэк
shallow	арбукун
shadow	химҥэн
shadow	хинян
pay	там-
fog	танмари
tale	нимкан
strong	эҥси
strong	маҥси
eagle	гусэтэ
storm	хуги
puppy	качикан
hawk	гякан
sable	хэгэп
juice	чус
lad	омолго
