or	o
and	i
jadel	hazel
sell	vendel
three	tres
ten	dieci
very	mu
give	dal
be	sel
twenty	venti
two	dos
six	seis
by	pol
France	Francia
but	peru
one	unu
this	esti
street	calli
reason	razón
Monday	lunis
aspiration	aspiración
pornography	pornografia
history	estória
gold	oru
high	artu
Tuesday	martis
black	negru
go	dil
actor	atol
grammar	gramática
Denmark	Dinamarca
low	bahu
before	antis
night	nochi
sport	deporti
cough	tossi
seven	sieti
tongue	luenga
town square	praça
year	añu
river	riu
stone	paira
swim	nadal
net	redi
might	puel
classification	crasificación
century	sigru
phonology	fonolohia
characteristic	caraiterística
presence	preséncia
republic	repúbrica
be able to	poel
flame	flama
daughter	ija
son	iju
man	ombri
also	tamién
territory	territoriu
new	nuevu
river	ríu
fear	mieu
Extremaduran	estremeñu
kingdom	réinu
Toledo	Toleu
individually	individualmenti
population	puebración
medieval	meyeval
arrive	llegal
day	trasantiel
eye	ohu
nest	ñíu
day	antiel
milk	lechi
flower	frol
today	ogañu
village	puebru
speak	palral
beautiful	hermosu
write	escrebil
have	tenel
name	nombri
choose	escohel
create	crial
according to	sigún
say	izil
work	trebajal
page	páhina
help	ayual
study	estuyu
study	estuyal
poem	puema
understand	entendel
author	autol
color	colol
where	ondi
city	ciá
Friday	viernis
form	holmal
region	rehión
regional	rehional
government	gobielnu
possible	posibli
possibility	posibiliá
grandfather	agüelu
father	pairi
mother	mairi
lick	lambel
woman	mujel
village	pueblu
change	mual
five	cincu
Europe	Uropa
monitoring	seguimientu
show	muestral
read	leel
of course	cadacé
water	áugua
saw	sahal
clear	craru
middle	meyu
fig	higu
fire	huegu
read	leyel
help	ayua
work	trebahu
work	trebahal
be born	nacel
yesterday	ayel
laugh	riyil
grow	crezel
break	rompel
four	cuatru
eight	ochu
nine	nuevi
cough	tusil
forget	orvial
freeze	gelal
sew	cosel
hunt	cazal
run	correl
cover	cubril
fire	hueu
talk	chalral
