three	tri
two	tu
one	wan
father	baba
four	fo
go	hamba
arrive	figa
smoke	bema
learn	funda
see	bona
I	mina
wait	linda
close	vala
grandmother	gogo
you	nina
we	tina
open	vula
twelve	twelf
cry	lila
water	manzi
buy	tenga
name	gama
meat	nyama
want	funa
fat	mafuta
equal	lingana
hip	nyonga
forty	foti
strength	mandla
fourteen	fotin
thank	bonga
six	sikis
fifteen	fiftin
sixteen	sikistin
seventeen	seventin
twenty	twenti
fifty	fifti
air	moya
person	muntu
return	buya
you	wena
try	linga
give	niga
laugh	hleka
think	cabanga
kill	bulala
sit	hlala
start	qala
armpit	kwapa
beer	tshwala
do	enza
pain	buhlungu
vomit	hlanza
ask	buza
wash	hlamba
meet	hlangana
work	sebenza
run	gijima
teach	fundisa
throw away	lahla
chest	sifuba
rain	mvula
use	sebenzisa
understand	qonda
shake	shukumisa
move	shukuma
play	dlala
enter	ngena
wake up	vuka
bird	nyoni
agree	vuma
forget	libala
night	busuku
shoot	dubula
allow	vumela
wake up	vusa
leak	vuza
pull	donsa
introduce	ngenisa
praise	dumisa
follow	landela
believe	kholwa
chin	silevu
hand	sandla
pig	ngulube
river	mfula
sickness	sifo
bead	buhlalu
crazy	hlanya
animal	silwane
finger	munwe
tie	bopa
bee	nyosi
rest	pumula
mouth	mlomo
sea	lwandle
elephant	ndlovu
man	ndoda
book	ncwadi
road	ndlela
ear	ndlebe
place	ndawo
house	ndlu
heart	ndliziyo
fire	mlilo
leg	mlenze
spear	mkonto
blanket	ngubo
lion	ngonyama
head	nhloko
fish	nhlanzi
hear	izwa
woman	mfazi
shovel	foshol
vegetable	vejetebel
tail	msila
iron	nsimbi
ox	nkabi
cow	nkomo
stand up	pakama
raise	pakamisa
breathe	pefumula
country	lizwe
bandage	bendej
autumn	kwindla
pray	tandaza
assure	tembisa
sell	tengisa
weed	hlagula
child	mtwana
body	mzimba
matter	ndaba
train	stimela
bother	hlupa
mountain	ntaba
louse	ntwala
gun	sibamu
corpse	sidumbu
bread	sinkwa
well	gahle
