da'arɩ	da
neem	nimi
continent	Europa
cape	kaap
ten	pia
Polish	pola
earl	graaf
government	diiki
rice	mui
ice	iis
Rhine	Riin
coast	koost
train	zirga
water	ko'om
Ziou	Muma
vehicle	loore
mountain	zoore
acid	mi'ige
river	kʋlaa
Equator	Tẽŋasʋkabeene
land	tẽŋa
island	kʋlaatẽŋa
port	kʋlɩŋa'ateko
saint	sãŋkt
Polish	polne
acid	mi'isgo
wardrobe	kobɔɔtɩ
Wednesday	Alaarba
bread	borborɩ
land	tɩŋa
intersection	sorɔpurŋa
stage	bĩmbĩnne
go	zãagɛ
hammer	hãma
calculate	kɛkɛ
beam	bãraaga
market	da'aga
add	pa'asɛ
heliotrope	aleefɩ
dislocate	algɛ
procavia capensis	amõlwaa
maytenus senegalensis	ãrma yãgrɛ
heaven	arzãna
moringa oleifera	arzãna tɩa
no	ayɛɩ
alike	ayɩla
severely	bagbagɩ
cinnamon tree	bagẽŋkolle tɩa
four	banaasɩ
bank	bãnkɩ
astonishing	bãnnɛ
hour	karfɔ
September	Fɔɔ
October	Sakutega
snot	yõmẽela
Bissa	bʋsãaŋa
Twi	sãntɛɛnɛ
Farefare	fãrfãre
Farefare	fãrfãrga
Farefare	gʋrŋɛ
Kassena	yʋʋlga
location	zẽ'a
news	dãmnɛ
honest	burkĩna
scissors	pasʋa
flower	puugo
tire	kɔba
displacement	algrɛ
riot	girgiri
beer	dãam
Gothic	gotne
leg	nã'arɛ
Achilles tendon	kãlẽnkã'arɛ zĩile
marrow squash	yɔka
dike	kug-kɔka
week	dasʋm ayopɔɩ
Frafra potato	pɛ'ɛsrɛ
creek	kʋlga
multiply	yɩrgɛ
Easter	zɔɔg-basɛ kibsa
Kassena	yʋʋlɛ
computer	ɔrdɩnatɛɛrɩ
lion	gɩgnɛ
camel	yʋgnɛ
Orient	Asia-buulika
carbon	bugsãan-kugre
Mooré	mõorɛ
Japanese	zappannɛ
fifteen	pia la anuu
fear	dabeem
article	fuugo
lung	vulũnvuugo
interferometry	dãampuugmakrʋm
interference	dãampuugo
Poland	Polgo
Philippines	Filippinno
Netherlands	Tẽntẽnnɔ
interferometry	dãampuugmakrɛ
blood vessel	zɩɩm sore
Ionian Sea	Yoni-ateko
