I	bän
saint	sent
one	bir
water	su
few	az
blood	kan
father	boba
six	altı
three	üç
five	beş
ice	buz
star	yıldız
calendar	kalendar
hearth	vatra
eye	göz
governor	başkan
heavy	aar
school	okul
dictionary	sözlük
white	ak
woman	karı
salt	tuz
sand	kum
steel	çelik
architecture	arhitektura
word	laf
forest	daa
onion	suan
thirty	otuz
mountain	bayır
fox	tilki
champion	çempion
vegetable garden	orman
heap	tepä
ox	bua
law	zakon
cloud	bulut
letter	mektup
silver	gümüş
first	birinci
tomato	tomat
sulfur	kükürt
Greek	grek
word	söz
republic	respublika
bride	gelin
forty	kırk
Gagauzia	Гагаузия
emerald	zümrüt
mouth	aaz
family	aylä
wheat	booday
throat	buaz
heart	ürek
needle	iinä
declaration	deklaraţiya
window	pencerä
mercy	raamet
cross	stavroz
store	tükän
rain	yaamur
pain	aarı
French	franţuz
wind	lüzgär
new	eni
woodpecker	aaçkakan
health	saalık
newness	enilik
cry	aalamaa
hyacinth	zümbül
yogurt	yuurt
poison	zihir
highway	şösä
magic	büü
green	eşil
Faroe Islands	Farer adaları
independence	baamsızlık
canteen	çotra
calf	buzaa
now	şindi
rub	uumaa
talk	lafetmää
dictionary	laflık
shining	yalabık
special	maasus
north	poyraz
south	üülen
flag	bayraa
Crimea	Krım
empire	imperiyası
beautiful	gözäl
world	dünnää
alphabet	alfaviti
school	şkola
history	istoriya
white	biyaz
