ye	तुम
you	तू
we	हम
book	किताब
go	चल
hand	हाथ
six	छै
hour	घंटा
nose	नाक
go	जा
mouth	मुख
then	फिर
water	पाणि
red	रातो
have	मा
thou	तु
I	मि
you	तांउ
speech	बाच
heavy	गर्रु
one	यक
bear	रिख
woman	कज्यांण
leave	छुट
morning	सुबेर
head	कपाळ
head	मुंड
face	मुखड़ी
hair	लटुला
breakfast	कल्यो
forehead	माथो
tree	डाळु
do	करणु
he	वु
mother	ब्वे
father	बुबा
your	त्यारु
eat	खाणु
moon	जोन
down	उंदु
heavy	गरु
on to	मथि
how many	कथुगा माबत
how much	कथुगा माब
how many times	कथुगा दा
he	सु
near	न्याड़
where	कख
be able to	सक​
me	मीह​
vehicle	गाड़ि
move	चलौ
