hundred	san
to	un
thousand	milu
spouse	mari
rain	huya
twenty	wein
name	iri
fruit	hin
with	uma
moon	hati
person	mutu
horse	xuval
water	duna
two	bián
eye	agu
goodbye	ayó
six	sisi
cold	dili
one	aban
egg	gañen
hot	sü
sick	sandi
sea	barana
man	wügüri
woman	würi
meat	ügürügü
tuna	bunigü
life	ibagari
child	isani
child	irahü
man	eyeri
woman	hiñaru
banana	bimina
coconut	faluma
blood	hitaü
back	anagani
ibirigu	ibiri
foot	ugudi
sole	ugudirugu
canoe	ugunei
skin	ureü
hip	iranagweü
soup	ireü
mother	uguchuru
father	uguchili
ankle	umurugutei
hand	uhabu
grandmother	agütü
grandfather	aruguti
uncle	iyawürite
stomach	uragei
brother	amule
canoe	guruyara
flue	yadunu
on	uwagu
ear	arigei
friend	umada
well	uwadigiya
relative	iduhe
teacher	arufudahati
person	gürigiya
like	gürigiyaduwa
always	suwandan
pond	dunagei
beehive	hulahüñagei
wasp	hulahüñü
container	ageidina
earring	arigeileü
I	nugiya
you	bugiya
he	ligiya
she	tugiya
we	wagiya
you	hugiya
they	hagiya
shark	weibeyuwa
stone	dübu
sand	sagoun
two	biama
two	biñá
four	gádürü
seven	sedü
five	seingü
three	ürüwa
