maggot	𐌼𐌰𐌸𐌰
transliterate	ƕ
Gothic	𐍈
Gothic	𐌰
transliterate	Ƕ
dog	𐌷𐌿𐌽𐌳𐍃
wolf	𐍅𐌿𐌻𐍆𐍃
kettle	𐌺𐌰𐍄𐌹𐌻𐍃
cloak	𐍀𐌰𐌹𐌳𐌰
man	𐌲𐌿𐌼𐌰
Gothic	𐌱
Gothic	𐌲
Gothic	𐌳
Gothic	𐌴
Gothic	𐌵
Gothic	𐌶
Gothic	𐌷
Gothic	𐌸
Gothic	𐌹
Gothic	𐌺
Gothic	𐌻
Gothic	𐌾
Gothic	𐌽
Gothic	𐌼
Gothic	𐌿
Gothic	𐍀
Gothic	𐍁
Gothic	𐍂
Gothic	𐍃
Gothic	𐍄
Gothic	𐍅
Gothic	𐍆
Gothic	𐍇
Gothic	𐍊
river	𐌰𐍈𐌰
fruit	𐌰𐌺𐍂𐌰𐌽
silver	𐍃𐌹𐌻𐌿𐌱𐍂
angel	𐌰𐌲𐌲𐌹𐌻𐌿𐍃
Sun	𐍃𐌿𐌽𐌽𐍉
night	𐌽𐌰𐌷𐍄𐍃
brother	𐌱𐍂𐍉𐌸𐌰𐍂
father	𐍆𐌰𐌳𐌰𐍂
father	𐌰𐍄𐍄𐌰
daughter	𐌳𐌰𐌿𐌷𐍄𐌰𐍂
teardrop	𐍄𐌰𐌲𐍂
eye	𐌰𐌿𐌲𐍉
sister	𐍃𐍅𐌹𐍃𐍄𐌰𐍂
wind	𐍅𐌹𐌽𐌳𐍃
yoke	𐌾𐌿𐌺
day	𐌳𐌰𐌲𐍃
milk	𐌼𐌹𐌻𐌿𐌺𐍃
water	𐍅𐌰𐍄𐍉
horn	𐌷𐌰𐌿𐍂𐌽
woman	𐌵𐌹𐌽𐍉
be able	𐌼𐌰𐌲𐌰𐌽
heart	𐌷𐌰𐌹𐍂𐍄𐍉
seven	𐍃𐌹𐌱𐌿𐌽
bird	𐍆𐌿𐌲𐌻𐍃
eagle	𐌰𐍂𐌰
man	𐍅𐌰𐌹𐍂
man	𐌼𐌰𐌽𐌽𐌰
man	𐌰𐌱𐌰
fear	𐌰𐌲𐌹𐍃
ash	𐌰𐌶𐌲𐍉
child	𐌱𐌰𐌿𐍂
blade	𐌲𐍂𐌰𐍃
writing	𐌱𐍉𐌺𐌰
name	𐌽𐌰𐌼𐍉
