drink	fa
bune	bone
eat	seme
say	he
meat	mana
eat	same
there	nana
horn	roo
many	aso
rain	ati
carry	binxo
say	î
he	bami
happy	cheta
red	tese
pot	mako
root	wiri
new	zana
man	sleme
spleen	puche
warthog	kwai
bone	midla
firefly	cinambo
smack one's lips	minca
rope	tacce
carry	teqqê
trip	raqo
listen	exekeke
two	konxa
slaxxa	slaxxa
cradle	dlaggwa
zzapare	zzapare
lift	hûbbu
big	pakapaa
jump	khaxxe
crowd	naxhi
peer	shenqê
stone	haqqako
zebra	dongoko
water	atibii
here	hamana
spring	atiko
in	himiggêna
there	beena
cordia berry	ondoshi
zebra	dongo
five	bothâno
Hadza	Hazane
climb	khaha
Hadza	Hazabee
slow	keqhena
gambling	rukutchuko
Sukhumaland	Dunduhina
look	tchee
give	kwe
rush	peqeqhe
rush	penqhenqhe
leopard	henqee
very	paana
butcho	botcho
tree hyrax	tlhasho
rock hyrax	jjabako
talk	dlozo
baobab	nxobako
konxa	piye
copula	-ha
louse	ccamazziko
sunlight	isho
ukhwa	ukhwako
three	samaka
pophoko	phophoko
phophoko	pophoko
greater kudu	tsingau
eland	khomatiko
lion	seseme
giraffe	zzokwanako
buffalo	naggomako
wildebeest	bisoko
beggahuko	beggawuko
beggawuko	beggahuko
hippopotamus	wezzaiko
rhinoceros	tlhakate
baboon	neeko
leopard	nqe
leopard	tcanjayi
ostrich	khenangu
ostrich	khenanguko
dikdik	gewedako
path	yekeko
hantayii	hantâ
hawayii	hawâ
hatchayee	hatchâ
hengcê	hingcî
hingcî	hengcê
henqêe	henqê
hukhuwee	hukhû
hephee	hephê
hubuwii	hubû
hushuwee	hushû
dlunkuwii	dlonkô
nqukhuwii	nqokhô
kapurayii	kapurâ
zzunuwii	zzonô
tislîi	teslê
boko	bôko
liver	xxeko
iribabii	iribako
iribako	iribabii
zzifiko	zzifi
zzifi	zzifiko
dog	xhaano
dog	tîngi
zzifa	tizzia
darkness	zzifa
yamuako	yamua
yamuabee	yamuako
yamuako	yamuabee
ishoko	sêta
see	cî
see	chî
not	akhwa
dlozo	hiyagga
bathe	xxoo
hair	hadlebee
baobab	ccutugguko
cold	zzutche
wind	zzutchibii
aim	tanchê
copula	-phee
copula	-phii
copula	-hako
cold	nxadlanê
hozzokoko	hozzoko
pluractional	thakae
guringuri	guringuri
Lake Eyasi	Tlhiika
Mangola	Mangora
Mbulu Highlands	Siponga
Hadza	tlhiikanebee
Hadza	siponganebee
Hadza	mangoranebee
Hadza	dunduhinebee
