enter	abay
arrive	abut
free	libre
harvest	ami
dexter	too
firm	bakud
grandmother	abuela
grandfather	abuelo
cheap	barato
toilet	basin
charge	bayad
boiler	kawa
moon	bulan
we	kami
mouth	baba
bull	toro
old	daan
this	ini
foolish	mango
soft	agi
diminish	baas
fairy	ada
opium	apian
dumb	apa
ash	abu
gradual	amat
number	numero
child	anak
pet name	ayo
big	daku
avarice	abang
strawberry	fresa
misuse	abusar
abuse	abuso
patron saint	patron
salt	asin
envelope	sobre
coconut milk	gata
emperor	emperador
abbot	abad
fie	abo
alas	aba
I	ako
husband	bana
open	abierto
boat	banka
follow	abat
lawyer	abogado
believe	tuo
territory	distrito
monkey	amo
rancid	alan
accept	baton
rain	ulan
advanced	adelantado
Friday	Biyernes
they	sila
pour	bobo
enough	basta
sun	adlaw
fish	dado
strap	banda
infix	-um-
smoke	aso
suffer	bati
common house gecko	tiki
be	kamao
damp	basa
maize	mais
abbess	abadesa
community	bario
cow	baka
eye	mata
art	arte
cockroach	tanga
deer	usa
broken	bali
bean	abas
height	taas
answer	sabat
harp	arpa
altar stone	ara
leprosy	aro
cellar	bodega
eat	kaon
week	semana
moustache	bigote
crowbar	bara
button	botones
holy man	amoy
age	edad
concerning	asunto
compassion	awa
soldier	soldado
cushion	almohada
cupboard	aparador
abortion	aborto
sleeptalk	daman
Abelmoschus esculentus	okra
funnel	embudo
before	buot
good	maayo
flag	bandera
umbrella	payong
appetite	gana
aid	ayuda
poor	pobre
healer	babaylan
shawl	abrigo
absolved	absuelto
milled rice	bugas
bonnet	gora
basket	alat
gold	dorado
roof	atop
slow	torpe
goodbye	adios
blind	buta
young pig	urok
cane	baston
hence	busa
year	tuig
grandchild	apo
for instance	abi
buy	bakal
thousand	libo
face	guya
tree	almon
duplicate	duha
hook	ganso
head	ulo
long	laba
sky	langit
earth	duta
lip	bibig
pig	baboy
renovate	bago
elbow	siko
chicken	manok
water	tubig
die	matay
louse	kuto
buttock	buli
quick	dali
morning	aga
hen	munga
garbage	basura
abbey	abadia
straddle	bika
widow	balo
left	wala
seed	liso
ball	bola
thimble	dedal
there	dira
bulky	gambal
charcoal	baga
why	ngaa
little	gamay
pliable	rami
government	barangay
abundant	abunda
adornment	adorno
plough	arado
change	bailo
sand	balas
rattan	balaba
experienced	batid
nightshirt	bata
dynamite	dinamita
double	doble
platform	entablado
spent	gastado
level	tapan
river	suba
recollect	dumdum
open plain	wayang
taro	gabi
afternoon	hapon
bathroom	banyo
luggage	bulto
dislocate	luta
saliva	dupla
entire	bilog
hill	bukid
blossom	bulak
ocean	dagat
eligible	dapat
cheat	daya
ice	hima
tortoise	bao
water jar	banga
atom	atomo
exposed	haway
perhaps	basi
solfeggio	lala
asylum	asilo
share	pahat
heat	gaang
spleen	ayi
increase	damo
dose	dosis
knowledge	alam
hug	abraso
alcoholic drink	punse
gangplank	andamio
dark	alom
heat	init
anecdote	anekdota
firmly twisted	pulut
sharpen	barit
goodbye	paalam
absurdity	absurdo
bucket	balde
shadow	halon
milk	gatas
follow	abak
leave	halin
blister	burus
delicious	namit
elf	mamaw
balm	balsamo
arithmetic	aritmetika
fish	isda
spirit	espiritu
blood	dugo
cat	kuning
open	abri
nose	ilong
frog	paka
horse	kabayo
injured	bitas
spoon	kutsara
knife	utak
you	kamo
thick	damol
snake	halas
scissors	gunting
cigar	abano
dung	abono
advance	abonar
locust	apan
wind	hangin
fie	uy
poppy	amapola
customs	aduana
sharpen	bais
economize	kinot
damage	halit
snake	bitin
Manila hemp	abaka
unwind	lulus
snail	kuul
kettle	kaldera
