shoulder	abada
banana	balat
moon	bulan
heart	puso
guitar	kitara
nine	siyam
ginger	agat
chin	timid
eye	mata
cheek	tamil
grandchild	apo
rust	dati
hen	upa
elbow	siko
chicken	manok
milk	katas
who	sipa
clayen	banga
famine	bitil
medicine	agas
branch	panga
mouth	bungot
fork	tinidor
kidney	batin
bucket	timba
tooth	sangi
coffee	kape
bread	tinapay
five	dima
pencil	dapis
ear	tangida
neck	bagang
sky	dangit
charcoal	uling
gold	balitok
coconut	niyog
cripple	pilay
father	tatang
gate	alad
moss	bagiw
pillow	pungan
name	ngaran
jaw	pangal
lightning	bagidat
lightning	kimat
liver	altey
mango	mangka
mosquito	imok
morning	agsapa
mother	nanang
neck	bukdow
nose	eddeng
lip	subil
fly	apangat
key	tulbek
jackfruit	dangka
hat	kadubong
hand	takday
hair	buwek
soursop	alimondo
finger	kalumot
egg	ikdog
eel	kiwet
dust	depok
dimple	piyek
carabao	nuwang
