fish	among
book	libro
year	awan
thirsty	waw
hollow tree	abab
eye	mata
flesh	asi
earwax	chido
lung	bara
tongue	rida
eel	tona
fat	taba
pillow	pongan
Manila hemp	abaka
gall bladder	apdo
broth	asoy
liver	atay
cadaver	bangkay
dog	chito
bowl	sabak
spit	chipa
spleen	palas
crushed sugarcane	hanes
slime	galis
coffin	longon
buttress root	habid
water	ranom
bee	yokan
flower	sabong
rooster	sabongan
lightning	kimat
fruit fly	hangaw
fart	atot
little finger	kikit
hydrangea	gagadang
prisoner	bahod
buttocks	atang
mountain	tokon
ear	tadyinya
mouth	dangoy
rib	taglang
testicle	kaminaw
ring finger	pagsingsingan
thunder	adey
male	hakay
yesterday	kakoyab
night	ahep
last night	kahep
jaw	sanyi
chin	tomid
pair	tokap
bone	tohang
throat	tehnan
side	tangked
co-parent-in-law	abalayan
eyebrow	chichiray
ray	chinyel
shop	chinda
chapel	chinban
intestines	chinayi
rain	chimoy
wart	chidan
heaven	hanyit
habotok	habotok
cigarette butt	lateb
cove	lwek
valley	longog
