how	en
tea	te
go	Japan
speed	fart
gate	port
knock	bank
blame	last
about	um
bitch	grey
too	of
fight	at
mud	for
drop	fall
lame	lama
army	her
end	ending
A flat	as
use	not
necklace	men
answer	ans
race	kind
plate	plata
baa	me
uterus	leg
fell	fella
gesticulate	pata
grip	tak
indifferently	sama
skemmtilegur	er
bristle	burst
isolated	fell
web	fit
flesh	hold
scale	met
nonsense	bull
sinew	sin
cent	sent
wear and tear	slit
boxing	box
dance	ball
dulse	söl
gold	gull
space	bil
art	list
passage	far
suction	sog
wail	vein
baron	barón
string	band
sign	mark
sleep	sofa
thin	hem
huh	ha
strip	rein
gera	GMT
subject	fag
wow	au
mare	meri
E flat	es
loose	laus
grass	gras
goodbye	bless
allowed	mega
hestur	-um
network	net
pounding	bang
shine	skin
gesticulation	pat
loss	tap
fabric	tau
tower	turn
ear	ax
air	loft
earth	land
Netherlands	Holland
fin	horn
strip	flag
dance	dans
barn	sum
hornet	vespa
rock face	berg
discipline	agi
hailstorm	él
noise	hark
hole	hola
irresolution	hik
opening	op
child	barn
puffing	más
no	nei
nor	né
eruption	gos
pshaw	fuss
truly	amen
privy	kamar
meter	metri
boasting	gum
inconvenience	bagi
rough horsetail	eski
lid	lok
pill	ló
ale	öl
be	vera
I	eg
pan	panna
ollie	olla
pee	piss
frostbitten	kala
previous	for-
pull	toga
smell	ilma
stop	linna
storm	rok
earth	fold
alb	alba
junk	frat
assembly	þing
sorrow	sorg
rash	flan
alone	ein
bocal	ess
lexeme	les
in	inn
sole	il
manage	anna
kill	bana
boast	guma
rain	regn
satisfied	una
earl	jarl
ah	æ
choice	val
milk	-a
reverend	síra
embrace	fang
marsh	fen
operating system	stýrikerfi
thank you	takk
yoke	ok
abstract	abstrakt
able	geta
stranding	strand
puffin	lundi
sword	sverð
Icelandic	íslenska
kick	spark
sheet	ark
purse	budda
layer	lag
drill	bor
breeze	gola
joking	spaug
rush	ana
in addition	auk
Norse	Baldur
waterfall	foss
crow	gala
pole	gaur
hillock	holt
me	mig
minor	moll
often	oft
ceremony	pomp
economical	spar
lose	tapa
pulling	tog
mix	bland
Anethum graveolens	dill
snowdrift	drift
opening	gap
shine	glans
damage	grand
train	lest
sawdust	sag
set	sett
beat	slag
snack	snarl
equal	maki
four	fern
submersion	kaf
wreck	flak
blubber	spik
drive	aka
sale	sala
frú	fr.
stomach	magi
hesitate	hika
bulge	bunga
zinc	sink
move	flytja
splash	sulla
dirt	mold
pineapple	ananas
child	mitt
know	kunna
mom	mamma
speech	tal
badly	illa
moustache	grön
jaundice	gula
Cree	cree
sum	summa
Finland	Finnland
beckon	banda
hope	von
mist	hula
pancreas	bris
barking	gelt
glogg	glögg
death	bani
recovery	bati
Japanese	japanska
tungsten	volfram
city	borg
volume	bindi
blindness	blinda
rush	bruna
plastic	plast
flight	flog
form	forma
black	negri
tree	tré
digestion	melting
Albanian	albanska
appetite	lyst
call	kall
ship	skip
crowing	gal
communitarianism	félagshyggja
muttering	taut
six	sexa
level	stig
flow	boga
flute	flauta
shush	uss
concealment	dul
loan	lán
mass	messa
paint	mála
destroy	granda
bag	poka
