one	on
with	kun
slowly	lente
well	bone
from	de
in	en
T	te
B	be
ray	radio
translation	traduko
collection	vortaro
winter	vintro
you	vi
love	amar
iron	fero
name	nomo
bank	banko
word	vorto
to	ad
time	tempo
now	or
she	el
far from	for
at	an
abandon	abandonar
which	qua
nine	non
a	al
de	del
toward	vers
W	we
H	he
I	me
dear	kara
R	re
so	do
that	ke
healthy	sana
rat	rato
same	sama
mom	mama
to	ye
enough	sat
and/or	vel
abacus	abako
two	du
suck	sugar
after	pos
five	kin
extremely	extreme
blood	sango
we	ni
both	due
very	tre
acid	acido
flower	floro
music	muziko
book	libro
honey	mielo
numeral	numeralo
ring	sonar
F	fe
it	ol
they	li
not	ne
G	ge
if	se
universal	universala
C	ce
he	lu
for	po
three	tri
you	tu
P	pe
since	depose
torus	toro
aqueous	aqua
noiselessly	silence
Turkey	Turkia
sunken	kava
hundred	cent
day	dio
dad	papa
by	da
J	je
then	lore
and	ed
opera	opero
human	homo
voice	voco
virgin	virgo
weather	vetero
manes	mano
only	nur
by means of	per
already	ja
pus	puso
slightly	poke
hello	hola
peer	pero
abrupt	abrupta
magnifying glass	lupo
as	kom
hence	tale
sound	sono
or	od
rhythm	ritmo
act	ago
Russia	Rusia
England	Anglia
before	ante
bear	urso
enough	sata
of	di
contra-	anti-
wind	vento
wine	vino
point	punto
at	an-
separation	dis-
ode	odo
contents	-ed
his	lua
floor	pavimento
because of	pro
at	che
noun	substantivo
house	domo
out	ek
curved	kurva
it	lo
ablative	ablativo
Italy	Italia
abound	abundar
adapt	adaptar
under	sub
admire	admirar
adult	adulto
airplane	aeroplano
agitate	agitar
field	agro
infinitive	-or
list	listo
manners	mori
for	por
even	para
metre	metro
long	longa
hiss	sisar
pore	poro
finally	fine
era	ero
self	su
he	il
the	le
you	vu
just	jus
more	plu
history	historio
at home	heme
beyond	trans
but	ma
through	tra
our	nia
rarely	rare
the	l'
fishhook	angelo
as	tam
eight	ok
accusative	-n
infinitive	-ar
tea	teo
that	ita
probably	probable
sky	cielo
think	pensar
look here	yen
win	ganar
brake	freno
Europe	Europa
September	septembro
female	femina
noun	-o
rescue	salvo
couple	paro
habitation	habito
bowl	bolo
lighthouse	faro
elbow	kudo
between	inter
C sharp	cis
remaining	cetera
new	nova
even	mem
hurricane	uragano
beer	biro
which	qui
how much	quanta
postal	posto
here	hike
away	fore
alphabet	alfabeto
wall	muro
France	Francia
Romania	Rumania
Mars	Marso
May	mayo
August	agosto
zephyr	zefiro
someone	ulu
prayer	prego
telephone call	telefono
thousand	mil
Q	que
hall	halo
man	viro
future	futuro
Z	ze
hush	st
how	quale
bee	abelo
apricot	abrikoto
absinthe	absinto
acid	acida
adjective	adjektivo
adverb	adverbo
air	aero
affable	afabla
business	afero
eagle	aglo
acrid	akra
high	alta
match	alumeto
mass	amaso
anvil	amboso
friend	amiko
to	ad-
pineapple	ananaso
angle	angulo
anise	anizo
anchor	ankro
April	aprilo
next to	apud
architecture	arkitekturo
arrogant	aroganta
art	arto
in-law	bo-
-ly	-e
-s	-i
grandparent	avo
covetous	avara
avid	avida
balustrade	balustrado
barrier	barilo
barrel	barelo
bastion	bastiono
beak	beko
beautiful	bela
bench	benko
red beet	beto
something	altro
bismuth	bismuto
white	blanka
blind	blinda
blond	blonda
blue	blua
good	bona
boot	boto
bottle	botelo
beef	bovo
on	sur
pointer	brako
bellowing	bramo
brave	brava
bridle	brido
brick	briko
bronze	bronzo
brushing	broso
brown	bruna
head	bruto
urchin	bubo
buckle	buklo
ball	bulo
shop	butiko
button	butono
left	sinistra
period	periodo
cedar	cedro
certain	certa
world	mondo
less	min
spirit	spirito
afterwards	pose
ten	dek
November	novembro
indeed	ya
dentist	dentisto
father	patro
mother	patrino
mother	matro
kind	benigna
light	acendar
light	lumo
light	lejera
change	chanjar
why	pro quo
follow	sequar
big	granda
country	lando
add	adjuntar
add	adicionar
port	portuo
hand	manuo
read	lektar
home	hemo
put	pozar
end	fino
end	finar
small	mikra
play	ludar
also	anke
want	dezirar
will	volar
say	dicar
old	olda
boy	puerulo
right	dextra
mean	signifikar
cause	efektigar
turn	turnar
differ	diferar
help	helpo
help	helpar
sentence	frazo
give	donar
all	omna
show	montrar
year	yaro
round	ronda
only	nura
little	poka
back	dorso
live	vivar
place	loko
get	aquirar
labor	laborar
find	trovar
at	infre
perhaps	forsan
first	unesma
call	vokar
water	aquo
know	savar
know	konocar
my	mea
number	numbro
come	venar
go	irar
regard	regardar
thing	kozo
write	skribar
many	multa
she	elu
each	singla
use	uzar
there	ibe
other	altra
box	buxo
hot	varmega
east	esto
distant	fora
carry	portar
bring	adportar
tire	fatigar
snow	nivo
warm	varmigar
heat	varmeso
form	formo
form	formacar
playing	ludo
cheque	cheko
check	kontrolar
laugh	ridar
dry	sika
plane	plano
possible	posibla
gold	oro
common	komuna
common	ordinara
boat	batelo
busy	okupata
island	insulo
moon	luno
deep	profunda
brain	cerebro
fruit	frukto
apple	pomo
surface	surfaco
decide	decidar
object	objekto
object	objecionar
force	forco
full	plena
wheel	roto
remain	restar
rest	repozar
nothing	nulo
street	strado
fact	fakto
produce	produktar
tail	kaudo
clear	klara
clear	evidenta
behind	dop
mind	mento
strong	forta
minute	minuto
free	libera
free	gratuita
warm	varma
develop	developar
quick	rapida
green	verda
week	semano
teach	instruktar
front	avano
contain	kontenar
go	vehar
beauty	beleso
correct	korekta
star	stelo
project	projetar
plan	programo
project	projeto
blog	blogo
note	notar
note	noto
machine	mashino
darkness	tenebro
cry	plorar
cry	kriar
autumn	autono
fly	flugar
certain	certena
voyage	voyajo
voyage	voyajar
notice	remarkar
absent	absenta
accept	aceptar
accessory	acesora
accident	acidento
hail	advokar
affection	afeciono
acknowledge	agnoskar
agreeable	agreabla
agriculture	agrokultivo
accord	akordo
active	aktiva
acute	akuta
along	alonge
male	maskula
merit	merito
sleep	dormar
capable	kapabla
abroad	exterlande
absence	absenteso
absorb	absorbar
absurd	absurda
accompany	akompanar
according to	segun
accuse	akuzar
accustom	kustumar
actor	aktoro
war	milito
diocese	diocezo
dinosaur	dinosaurio
dirty	desneta
clean	neta
disc	disko
visit	vizitar
village	vilajo
alive	vivanta
aim	apuntar
aims	skopo
alone	sola
always	sempre
angry	iracoza
anticipate	anticipar
apt	apta
dream	sonjar
during	dum
powder	polvo
dust	senpolvigar
early	frue
draw up	redaktar
egg	ovo
Egypt	Egiptia
electricity	elektro
most	max
allergy	alergio
garlic	alio
pope	papo
these	ici
bicycle	biciklo
physics	fiziko
cite	citar
civil	civila
scissors	cizo
cynic	ciniko
ash	cindro
lemon	citrono
damn	damnar
danger	danjero
thick	dika
dilemma	dilemo
efface	efacar
widower	vidvo
Africa	Afrika
taste	gustar
monk	monako
district	distrikto
diverge	divergar
zygote	zigoto
infinitive	-ir
yo-yo	yoyo
Uranus	Urano
insult	insultar
ululate	ulular
praise	laudar
universe	universo
stay	resto
promethium	prometio
smoke	fumo
centimetre	centimetro
center	centro
bake	bakar
symbol	simbolo
cede	cedar
origanum	origano
element	elemento
cretin	kretino
payment	pago
Germany	Germania
July	julio
June	junio
manes	mani
fluorine	fluoro
Saturn	Saturno
Neptune	Neptuno
pull	tirar
agamic	agama
