he	sun
ten	love
egg	mane
mud	mote
car	auto
registry	register
bus	bussi
book	kirje
giraffe	kirahvi
glue	tame
you	tun
short	sino
addition	lase
promise	lope
grove	roto
measure	mitto
and	já
wife	ime
I	mun
Inari Sami	anarâškielâ
always	ain
fleshy	ase
hate	vaje
bilberry	sare
doorpost	lasa
bolete	tatti
January	uđđâivemáánu
Monday	vuossargâ
yes	naa
hand	kietâ
Inari Sami	anarâš
wolf	kumppi
place	saje
house	viste
association	servi
tin	tane
jug	kannu
cat	kaasi
stick	risse
act	taho
nettle	käskee
aspen	supe
not	ij
age	ahe
grandmother	ákku
horse	hiävuš
year	ihe
organism	iäláán
ice age	jieŋâpaje
wader	kalâččeijee
wolverine	ketki
ptarmigan	kiärun
cat	kissá
starling	kottarâš
dust	kovjâ
rise	kuárŋuđ
trout	kuávžur
coffee	kähvi
boat	käärbis
pollen	lieđikovjâ
slimy	njulččel
name	nommâ
dog	peenuv
old	puáris
grandfather	äijih
greenhouse	šaddoviste
plant	šaddo
school	škovlâ
pale	šovkkâd
willow grouse	riävská
root	ruotâs
red-throated pipit	sieđgâcivkkee
canned	siäiludâs
agreement	sooppâđ
stuorrâ	stuorrâ vuonjâč
mallard	tuáršu
smoke	suovâ
coronary artery	válduváimusuonâ
sparrow	varbusâš
oar	áiru
rough-legged buzzard	piehâin
cuckoo	kiehâ
water	čääci
fit	čaahâđ
price	hadde
morning	iiđeed
newspaper	aavis
start	algâ
frog	cuábui
April	cuáŋuimáánu
September	čohčâmáánu
February	kuovâmáánu
March	njuhčâmáánu
sky	alme
mill	millo
fog	somo
act	pargo
house	táálu
man	almai
daughter-in-law	manje
rain	arve
animal	ellee
mouse	säplig
bear	kuobžâ
stallo	stáálu
insect	tivre
wasp	veepsis
ant	kutkâ
worm	máátu
cloudberry	lyeme
fish	kyeli
sheep	savzâ
elk	sorvâ
lamb	lääbis
arctic fox	njaalâ
human	olmooš
perch	vuásku
pike	puško
burbot	njäähi
swan	njuhčâ
capercaillie	čuhčá
raven	káránâs
eagle owl	oppuu
berry	myerji
pine	peeci
bird	lodde
birch	suáhi
squirrel	uárree
tern	čerrih
crow	vuorâš
again	oppeet
be	leđe
autumn	čohčâ
six	kuttâ
calf	kälbi
girl	nieidâ
woman	nissoon
today	onne
university	ollâopâttâh
understand	iberdiđ
around	pirrâ
company	irâttâs
air	áimu
only	áinoo
axe	ákšu
mercy	ármu
greedy	äänhis
easy	älkkee
shrink	jaannâđ
lake	jävri
bog	jeggi
giant	jietânâs
crazy	jollâ
thought	juurdâ
trench	kope
bend	mokke
louse	tikke
boy	alge
strong	nanos
period	paje
tooth	pääni
snow	rine
fault	vahe
red-throated diver	kähtee
red-throated diver	kakkârâs
important	tehálâš
family	peerâ
live	eelliđ
dough	täigi
sugar	sukkâr
eye	čalme
world	maailm
shrew	viäđŋásâš
finally	viijmâg
white	vielgâd
brother	viljâ
weapon	viärju
tax	viäru
full	tievâs
milk	mielkki
honey	mietâ
poison	mirkkâ
sword	miekki
master	miäštár
fog	miärkká
tailwind	mietipieggâ
measure	mittediđ
decapitate	miästáđ
common snipe	miähástâh
hunger	nelgi
mouth	njälmi
hare	njuámmil
lick	njuálluđ
campfire	njuáržu
slow	njuáci
name	nabdeđ
dream	nievdâđ
fall asleep	nohádiđ
love	rähistiđ
sizzle	stirccođ
fall	šnukármistiđ
threaten	uhkediđ
allow	unnuđ
sigh	šyehkiđ
whisper	cullâgyettiđ
write	čäälliđ
cry	čiärruđ
sit	čokkáđ
stand	čuážžuđ
ask	koijâdiđ
run	kaččâđ
sister	uábbi
sleep	uáđđiđ
short	uánih
buy	uástiđ
week	okko
hiccup	njihânjâš
binoculars	kiijkár
suddenly	kivkked
long	kukke
lichen	jäävvil
deep	jieŋŋâl
stone	keđgi
vomit	vyeksiđ
wander	vajâldiđ
promise	lopediđ
bread	leibi
heavy	lussâd
hair	vuoptâ
king	kunâgâs
child	páárnáš
urine	kužžâ
reindeer	puásui
father	eeči
duodji	tyeji
writer	kirječällee
boy	kandâ
child	pärni
river	juuhâ
municipality	kieldâ
seven	čiččâm
minister	ruttâminister
officer	upseer
company	finnodâh
white-tailed eagle	merâkuáskim
ice	jieŋâ
wade	kalâččiđ
wade	käälliđ
snow	myettiđ
writer	čällee
bite	käskiđ
sea	meerâ
eagle	kuáskim
wind	pieggâ
moon	máánu
educational	opâttâh
money	ruttâ
willow	sieđgâ
pipit	civkkee
remain	siäiluđ
pipe	poccee
new	uuđâs
new year	uđđâihe
main	váldu-
artery	váimusuonâ
heart	váimu
vein	suonâ
good	pyeri
lead	lajo
strong	vašo
broom	luvdá
glue	lijmá
handle	ripá
stupid	káigá
small intestine	lággá
slope	luákká
maid	pijgá
hoard	čiähá
bicycle	pyerá
Russia	Ruoššâ
kangaroo	keŋŋuru
ball	pállu
soup	määli
tree	muorâ
pocket	lummo
thanks	takkâ
fell	tuodâr
hear	kulluđ
green	ruánnáđ
reddish	ruápsáđ
