dog	koira
bone	luu
that	too
dam	toe
though	hot
under	al
surname	familia
trip	matka
dam	pato
sprout	itu
word	sana
same	sama
mum	mama
mushroom	seen
so	ni
house	talo
hen	kana
this	se
sea	meri
government	valtio
not	ei
ice	jää
wind	tuuli
gadfly	parma
spruce	kuusi
before	eel
dad	papa
binding	sie
cat	kissa
half	pool
permission	lupa
flight	lento
and	ja
thick	paksu
catch	pyytää
pen	pero
obstacle	esse
who	ken
day	päivä
house	koti
star	tähti
moon	kuu
ship	laiva
boy	poika
lass	tyttö
old	vanha
long	pitkä
carrot	porkkana
grey	harmaa
four	neljä
hundred	sata
earth	maa
boat	vene
flow	virta
bread	leipä
winter	talvi
spring	kevät
summer	kesä
autumn	syksy
door	ovi
window	ikkuna
roof	katto
wall	seinä
lake	järvi
cow	lehmä
mouse	hiiri
ball	pallo
time	aika
water	vesi
come	tulla
give	antaa
desire	haluta
sit	istua
tell	kertoa
buy	ostaa
take	ottaa
way	tee
iron	rauta
gold	kulta
clock	kello
ear	korva
rooster	kukko
hand	käsi
flower	kukka
bay	lahti
sheep	lammas
dream	uni
strong	vahva
beautiful	kaunis
short	lyhyt
good	hyvä
hat	hattu
sound	ääni
slanting	vino
money	raha
put	panna
left	kura
continue	jatkaa
manage	jaksaa
boil	keittää
dry up	kuivua
fly	lentää
remember	muistaa
change	muuttaa
be	olla
stab	pistää
shine	paistaa
bite	purra
saw	sahata
play	soittaa
play	pelata
hope	toivoa
leg	jalka
gift	lahja
bird	lintu
snow	lumi
spoon	lusikka
sock	sukka
fish	kala
cold	kylmä
hot	kuuma
dry	kuiva
moist	märkä
low	matala
crooked	väärä
bad	paha
healthy	terve
mouth	suu
tree	puu
cabbage	kapusta
village	kylä
evening	ilta
song	laulu
sing	laulaa
shoot	ampua
saw	saha
hare	jänis
sky	taivas
town	linna
joy	ilo
sorrow	suru
lift	nostaa
shirt	paita
blood	veri
kolkhoz	veli
eye	silmä
nose	nenä
name	nimi
toe	varvas
letter	kirje
bear	karhu
book	kirja
paper	paperi
image	kuva
zero	nolla
lie	vale
power	voima
wolf	susi
brother-in-law	lanko
uncle	setä
holy	pyhä
when	ko
bath	sauna
protection	vara
surface	pinta
age	ikä
dialect	murre
pea	herne
beer	olut
family	pere
color	väri
east	itä
-en	-in
piece	pala
this	tämä
every	joka
what	mikä
already	jo
value	arvo
joke	pila
so that	jot
talk	jute
away	pois
custom	tapa
continent	manner
examine	tutkia
snake	mato
place	sia
secret	sala
which	kuka
when	ku
other	muu
under	alle
wool	villa
pike	hauki
salmon	lohi
map	kartta
-ness	-us
from	alt
form	forma
seventh	seitsemäs
fourth	neljäs
third	kolmas
cloud	pilvi
press	painaa
mould	multa
pig	sika
wave	laine
corpulent	varma
fire	tuli
geography	geografia
warm	lämmin
hard	kova
for	vart
believe	uskoa
disturb	rikkoa
fire	palo
although	ehkä
night	öö
whole	koko
verb	verbi
and	a
forgiveness	anne
border	raja
own	oma
pure	aima
dictionary	sanakirja
stab	pisse
dark	tumma
gingiva	ien
skin	iho
ditch	oja
fog	utu
fox	repo
two	kaks
eight	kaheksan
five	viis
reason	syy
egg	muna
belt	vöö
disease	tauti
stallion	ori
different	eri
spike	pii
play	peli
oath	vala
moose	hirvi
common raven	korppi
war	sota
kin	suku
wing	siipi
faith	usko
soot	noki
dress	puku
manure	tae
finger	sormi
life	elo
beard	parta
fear	pelko
mountain	mäki
field	pelto
wine	viini
peace	rauha
duck	sorsa
nectar	mesi
food	eine
before	enne
bridge	silta
head	pää
liver	maksa
rat	rotta
magpie	harakka
cuckoo	käki
crane	kurki
stoat	kärppä
arm	käsivarsi
thirst	jano
god	jumala
hair	tukka
hair	karva
mud	rapa
flood	tulva
stone	kivi
sweat	hiki
multitude	monikko
or	vai
cover	kate
deep	syvä
freedom	voli
lord	herra
fault	vika
now	nyt
always	ain
river	joki
flee	paeta
howl	ulvoa
turn	kääntää
forget	unohtaa
sight	näkö
moth	koi
hate	vihata
sound	ääntää
win	voittaa
swallow	lainata
street	katu
shear	leikata
column	patsas
hunger	nälkä
damage	tuho
child	laps
choose	valita
USSR	SSSR
hoop	vanne
at	loon
fault	vere
test	koe
while	kuni
grain	vilja
God	Jumala
woodpecker	tikka
cheap	halva
ashes	tuhka
coal	hiili
pair	pari
swamp	soo
so	niin
armpit	kaila
yet	veel
where	kus
groats	manna
part	osa
fabric	kangas
navel	napa
people	kansa
oneself	itse
deal	jako
help	api
burbot	mae
like	niku
slave	orja
melt	sulaa
willow	paju
oak	tammi
brush	harja
price	hinta
power	valta
room	tupa
hail	rae
milk	maito
thither	sinne
prisoner	vanki
copper	vaski
cheek	poski
sour	hapan
stump	kanto
heel	kanta
open	auki
tent	maja
dried	kapa
pay	maksaa
pay	maksu
hay	heinä
fear	pelätä
build	rakentaa
pull	vetää
gall	sappi
horn	sarvi
stem	tyvi
louse	täi
knife	veitsi
squirrel	orava
new	uus
care	hool
glade	aho
rest	lepo
hole	reikä
calm	vaka
fence	aita
hello	tere
week	viikko
cross	risti
dry	kulo
cat	kasi
blade	laba
shepherd	paimen
flesh	liha
spirits	viina
trace	jälki
but	mut
ox	härkä
bridle	marha
power	ramo
oar	airo
start	alku
goose	hanhi
right	heti
loose	irti
soul	henki
stalk	varsi
forest	metsä
time	kerta
revenge	kosto
church	kirkko
yarn	lanka
trunk	runko
lesson	läksy
berry	marja
wax	vaha
leather	nahka
button	nappi
wheat	vehnä
straw	olki
bean	papu
priest	pappi
bottom	pohja
knee	polvi
shore	ranta
breast	rinta
scissors	sakset
smoke	savu
need	tarve
tar	terva
deed	teko
turf	turve
danger	vaara
people	väki
wild	villi
guard	vahti
bath broom	vasta
net	verkko
be able to	mahtaa
port	salmi
away	naz
man	mees
tap	hana
lazy	laiska
smell	haju
frost	halla
well	kaivo
moss	sammal
guess	arvata
debt	velka
curse	manata
pain	tuska
pain	kipu
swede	lanttu
woman	nain
litter	roska
ravine	rotko
miracle	ihme
weight	paino
birch	koivu
pay	palkka
those	noo
improve	parata
bag	suma
office	verka
sister-in-law	nato
number	luku
snot	räkä
beak	nokka
mosquito	sääski
rage	viha
a lot	moni
joy	illo
end	loppu
upper	ylä-
catfish	monni
luck	onni
mare	tamma
steal	varastaa
porridge	puuro
scab	rupi
nape	niska
quantity	määrä
jaw	leuka
exchange	vaihto
sew	ommella
open	avata
pack	pakata
rare	harva
branch	haara
morphology	morfologia
board	lauta
island	saar
gunpowder	ruuti
kill	tappaa
swallow	pääsky
leaf	lehti
alder	leppä
through	läpi
pine	petäjä
cone	käpy
clay	savi
end	loppua
back	selkä
age	vanhus
smoke	höyry
rotten	laho
fish	kalastaa
snout	kärsä
get lost	eksyä
lame	rampa
then	silloin
side	kuve
lead	johtaa
cage	häkki
lark	kiuru
empty	tyhjä
molempinna	molemmat
gun	pyssy
greatlier	enempi
unit	yksikkö
consonant	konsonantti
branch	oksa
above	yli
across	poikin
under-	ala-
ski	suksi
around	liki
eighth	kaheksas
sink	upota
chip	lastu
hook	onki
smith	seppä
there	seel
burn	polttaa
how	kui
silk	silkki
where	miz
for	sillä
betrayal	petos
keep	salata
sheet metal	karta
cloth	rätti
rim	laita
roost	orsi
bream	lahna
fisher	kalastaja
whistle	viheltää
victory	voitto
haste	kiire
girl	neiti
nominative case	nominativa
completely	aivan
dare	tohtia
flour	jauho
place	tila
betray	pettää
second	toin
support	tuki
icy	jäin
promise	luvata
place	paikka
wish	tahto
roof	kattaa
grunt	röhkiä
sour	hapata
knock	koputtaa
science	oppi
object	riista
income	tulo
protection	turva
intelligence	äly
-ful	-kas
ice	tuura
grandma	ämmä
dusk	hämärä
bladder	rakko
stable	talli
strip	sarka
eve	aatto
grief	hallia
current	verta
stubborn	uhkia
along	kera
but	entä
blade	terä
sled	reki
beam	parsi
smoke	savuta
basket	merta
medicine	rohto
grief	mure
position	siha
hope	toivo
thunder	ukko
storehouse	aitta
black	mussa
soup	leem
break	murtaa
desire	halu
plug	tukkia
suffering	vaiva
define	määrätä
order	tilata
here	tänne
finished	valmis
interval	väli
slit	rako
door	uksi
honour	kunnia
plough	kyntää
destroy	pilata
scanty	vähä
furrow	vako
frog	konna
dough	taikina
opposed	vasten
towards	päin
shortage	puute
watch	valvoa
superfluous	turha
ski	suksia
dress	mekko
cooking pot	kattila
grab	tarttua
stain	tahra
adposition	apusana
measure	mitata
mention	mainita
grind	jauhaa
carve	kaivertaa
cardinal number	kardinaali
big	suur
sow	kylvää
wooden	puin
rise	noissa
long ago	eläessä
pill	tabletti
smithy coal	sysi
pale	vaalia
cool	haalia
thousand	tuhatta
along	möit
ray	säe
threaten	uhata
elderly	iäkäs
do	kelvata
jaw	sokka
ram	pässi
noun	nimisana
plug	naka
lip	huul
corner	nurkka
translate	tulkita
deepen	syventää
type	tyyppi
therefore	siks
sack	säkki
billet	halko
miss	puuttua
whiteness	valkeus
filled	täyttyä
front	esi
sedge	sara
that	etti
bast	niini
motion	kulku
narrow	kitsas
serve	palvella
piece	tykky
on	päälle
splinter	päre
Baltic herring	haili
lever	vipu
Russian	venät
sink	vajota
grandpa	äijä
gentle	lempiä
pole	seiväs
cuckoo	käkö
cough	köhä
bathtub	vanna
Lord	Herra
copper	vaskiin
feel	tuntia
ten	kymmen
numeral	numerali
mend	topata
ball	kerä
buckle	lappa
drop	tilkka
ill	läsiä
go	männä
dregs	sakka
crab	krapu
sail	seili
Sunday	pyhäpäivä
harvest	leikkuu
lend	vipata
basket	vakka
beautiful	lusti
until	nasse
polar bear	merikarhu
syllable	sloga
all	kaik
desire	izo
mast	masti
these	neet
beautiful	nakke
partitive case	partitiva
pile	mytty
precipitation	sae
dry	kuivattaa
stomach	mako
acquaintance	tuttava
phonetics	äänioppi
wealthy	rahakas
rain	vihma
inside	sises
hoar	härme
owl	sava
ablative case	ablativa
stump	kando
letter	bukva
envious	kae
logging	hakkuu
loan	vippi
allative case	allativa
glass	klasi
sister	siar
reed	pirta
air	luhti
liquid	nesse
tight	ahas
similar	moen
dew	kasse
adjective	adjektiva
such	mokoma
in	halki
against	vassen
pronoun	pronomina
illative case	illativa
swollen	turpia
sauce	kassen
I	miä
shoot	taim
just now	vassa
behind	perälle
such	sellain
barley	odra
noun	substantiva
away	poiz
instructor	opastaja
young	noori
after	perään
valley	orko
flame	lekko
clean	puhas
translative case	translativa
slice	tagra
three	kolt
thou	siä
market	turu
rough	sorria
much	paljo
adverb	adverba
plough	adra
polecat	harjokka
neck	kagla
oat	kagra
fisherman	kalanikka
beautiful	kena
pre-	ezi-
diphthong	diftonga
mud	retu
one	yks
salt	soola
tooth	hammaz
beauty	kaunehusse
thorn	oaz
letter	aampuussen
crow	variz
dacha	daaca
fun	kiza
also	-ki
truth	tozi
nest	pezä
fifth	viijes
ninth	yheksäs
udder	uar
laughter	nagro
ordinal number	ordinaali
father	izä
horsetail	pökköiheinä
numb	turra
year	voos
verge	äär
cheese	juusso
he	hää
laugh	nagraa
get	saavva
mood	meeli
frequentative	-issa
back	perze
fat	razva
seed	seemen
grouse	tedri
dear	kalliz
when	konz
which	kumpa
small	peeni
wheel	pöörä
root	juur
smear	voitaa
glass	lazi
because of	vooks
these	nämät
inhabitant	-lain
Lutheran	rootsi
sand	liiva
verb	tekosana
axe	kerves
wait	oottaa
fur	pövvy
culm	korz
table	kanz
meal	adria
white	valkia
silver	hoppiia
flexible	notkia
right	oikia
angry	ilkiä
rough	karkia
high	korkia
blind	sokkiia
thick	sakkiia
important	tärkiä
moist	nahkia
soft	pehmiä
coarse	järriiä
thick	jämmiiä
huge	huikia
fast	noppiia
moist	kossia
sick	kippiä
flat	littiä
hot	kirpiä
generous	lauhkia
vivid	kerkiä
cool	laimia
spacious	lakkiia
bold	rohkia
deep	sikkiiä
sticky	tahmia
dense	tihhiiä
difficult	vaikia
funny	veikiä
proud	ylpiä
closed	kiin
seven	seitsen
rope	pagla
whither	kuhu
tractor	traktora
essive case	essiiva
apple	ommeena
self-	ittseopastaja
grammar	grammatikka
alphabet	aampuustmisso
pet	еllään
portrait	padretti
human	ihmiin
Izhorian	ižoralain
offend	obižoittaa
fatherland	izänmaa
stomach	vattsa
they	höö
-less	-toin
malt	ity
silver	hopiain
frequent	tihti
pet	ellään
row	rääty
glasses	ackat
rainy	saekaz
be able to	ozata
dirty	voitua
consonant gradation	astiinvaihtelu
phonetics	fonetikka
kolkhoz	ollaa
ei	eijoo
beneath	alatse
after	jälkkeen
around	ympär
nine	yheksän
gap	aukku
birchwood	koivisso
wife	naizikko
oakwood	tamikko
mother	emoi
maternal uncle	enoi
Izhorian	ižorakkoi
townswoman	linnakkoi
married	naizikkoi
girl	tyttärikköi
Russian	venäkköi
afterwards	etezpäi
beforehand	etukättee
yesterday	eglee
day before yesterday	enneglee
for life	eloiässää
prematurely	ennemoi
earlier	ennemmäst
already	ennää
firstly	enstää
first	enzikkää
first	enziks
initially	enzipäästää
tomorrow	hoomeen
morning	hoomukseel
tomorrow	hoomenhoomukseel
tomorrow	hoomeenillaal
never	ikinää
always	ikkää
evening	illaal
subsequently	jälkiäpäi
again	jällee
hands	halluuz
behind	jälelle
behind	jäleel
from	jälelt
after	jälkkiä
on	pääl
from	päält
beyond	takkaa
behind	takkaaks
behind	takkaan
from	takkaant
what kind of	millain
interrogative pronoun	interrogattiiviin
ripple	hönkä
from	eittse
inside	sissee
blanket	adjala
chapped	ahhaava
old	hantara
thunder	jyrriinä
knock	jyttiinä
heel	kablukka
mushroom	opokka
wicked	pakkaana
worker	töönikkä
everybody	jokahiin
selfsame	sesama
crimson	aaloi
stove	kiukkaa
warmth	lämmää
workshop	masterskoi
entryway	porstaa
region	teenoo
bucket	uhluu
free	vappaa
indefinite	indefinittiin
certain	muutomanz
various	monenlaajain
anything	mikäle
whichever	kukale
