on	in
dog	can
out	four
hand	man
a el	al
well	ben
mom	mama
salt	sal
and	e
mother	mare
heart	cor
you	ti
the	la
water	aqua
hunger	fan
seven	siete
holy	santo
four	quatro
needle	ago
she	gila
wind	vento
grandfather	nono
dawn	alba
for	par
brother	fra
country	pais
hay	fen
new	nuo
then	puoi
give	dà
thigh	cosa
also	anca
your	vostro
name	nom
hundred	sento
footprint	urma
at	a
our	nostro
hour	ura
two	dui
nets	ridi
read	lito
mountain	monto
street	cal
we	nui
bridge	ponto
whip	virga
church	cesa
done	fato
fish	piso
oar	rimo
long	longo
born	nato
want	vuoi
sky	sil
do	fà
he	lù
go	zì
stone	sasso
bread	pan
stà	stà
three	trì
day	dèi
rain	piova
big	grando
horse	caval
lady	duona
chest	pitto
force	forsa
star	stila
without	sensa
land	tiera
sweat	sudur
grass	yerba
pog	Pogliare
doll	poppî
after	duopo
pain	dulur
now	dieso
take	ciapà
quila	quil
thief	laro
look at	vardà
wheel	rùda
pass	passà
puorta	portà
jump	saltà
soldier	soldà
let	lassà
cost	custà
work	lavur
fall	cascà
key	ciave
vì	avì
neither	gnanca
time	tenpo
save	salvà
they	luri
thousands	miera
read	lezi
five	sinque
arm	brasso
eight	uoto
family	fameîa
bies'ce	bies'cia
all	doûto
find	truvà
high seas	alto mare
prow	prùa
a çiò che	a çiò che
bone	uosso
head	tiesta
cotton	guton
shame	varguogna
fish	pascà
fisher	pascadur
piurà	piurà
black	nìgaro
speak	favalà
storm	tenpesta
damage	dagno
dew	ruzàda
work	lavurà
beauty	balissa
clock	rilojo
square	piassa
thirteen	tridase
perhaps	fuorsi
no	ningun
sareze	sareza
demon	damognio
wait	spattà
marry	maridà
fate	suorto
born	ingermà
morning	mittin
birds	uzai
book	leîbro
free	leîbaro
top	seîma
a	oûn
crissemo	crìssi
veîde	veîda
son	feîo
life	veîta
appreciated	stimà
thunderbolt	sàita
bank	reîva
death	muorto
feet	peîe
female	fimana
heat	ardùr
people	puopulo
grass	gièrba
destiny	dasteîn
faggot	faseîna
vieci	viecio
gospel	vanzeîlio
hope	sparansa
uorba	uorbo
road	veîa
Istria	Eîstria
recommendation	racumandasion
recommend	racumandà
parparada	parparà
fist	poûgno
caress	carisa
tomorrow	deimàn
cliff	scuio
wife	muier
bigger	maiur
old	anteîco
bite	mursagà
midnight	miezanuotto
vignù	vignì
six	seije
neighbour	viseîn
salvation	salvissa
eight	uotto
nine	gnove
husband	mareî
God	Deîo
kefir	kèifîr
aunt	gnagna
clothes	vesteîti
together	insembro
know	cugnussi
recognize	ricugnusi
elbow	cumio
tongue	lèngua
widow	viduva
furmeîghe	furmeîga
know	savì
dolphin	dulfeîn
uleîi	uleîo
desert	dazierto
little	puoco
lamp	loûme
behind	dreîo
first	preîmo
Rovinj	Ruveîgno
leg	ganba
written	screîto
stamp	stanpà
citizen	cunzitadeîn
creature	bis'ciuleîna
river	fioûme
flowers	fiuri
nothing	gninte
wrong	tuorto
says	deî
weak	dibalo
work	fadeîga
zurnade	zurnada
peîcia	peîcio
vinegar	azì
tear	lagrama
racuordi	racurdà
forget	desmaèntegà
goose	uoca
immediately	soûbito
history	stuoria
quista	quisto
so	cussèi
narrow	strento
end	feîn
write	screîvi
enjoy	guodi
bell tower	canpaneîl
think	pansà
pomegranate	pumoingranà
gruote	gruota
seaman	mareîtimo
teach	insignà
celestial	cialieste
mouthful	bucun
flash	lanpo
pragando	pragà
rain cloud	nenbo
darkness	tienabre
snack	marenda
façade	fassada
west	Punente
east	Livante
surrounding	inturno
return	turnà
fixed	feîsso
sock	calsa
scoltà	scoltà
reîghe	reîga
step	scaleîn
peasant	cuntadeîn
yesterday	ièri
donkeys	samèri
lightnings	foûlmini
cents	suldeîni
hard	doûro
wet	bagnà
bandage	infasà
turn	vultà
petroleum	pitruolgio
said	deîto
wood	lìgno
timber	lìgna
sister-in-law	cognada
dine	senà
fall	caì
hornbeam	carpano
goat	càvara
hospital	uspadal
cheese	furmajo
preach	pridigà
fear	pagura
horn	cuorno
body	cuorpo
