two	i
know	bei
sound	sing
far	go
body	sin
garden	hun
hungry	sie
soil	nie
soft	mau
mother	maa
book	sou
sour	sui
turtle	doc
vegetable	lai
shoe	heh
pain	mun
eye	zing
chicken	jai
open	koi
bitter	im
nail	ding
dragon	jung
thick	hoz
sharp	laic
needle	sim
boy	dorn
vomit	lov
silk	fei
old	gox
clever	guai
arrive	taux
father	dae
chicken	jae
thousand	cin
meat	orv
smoke	sioux
star	fing
gold	jiem
fire	douz
sweat	hanc
last	laai
small	faix
you	meih
heart	fiem
hook	ngau
dog	juv
new	siang
water	uom
seven	siec
mouth	kuv
write	fiev
paint	waaz
also	yaac
sea	koiv
seedling	yaang
like	oix
chopstick	zouc
sheep	yungh
I	yie
three	buo
be	caux
he	ninh
high	hlang
neck	jaang
drink	hopv
one	yietc
five	biaa
six	juqv
eight	hietc
nine	nduoh
ten	ziepc
fly	ndaix
breathe	tauv
boat	nzangv
shrimp	qaa
sweep	puotv
horse	maaz
money	nyaanh
bite	ngaatc
year	hnyangx
oil	hmei
day	hnoi
think	hnamv
cough	hnopv
heavy	hnyiev
gasoline	youh
liver	hlan
bamboo	hlauv
moon	hlaax
Mien	Mienh
spit	bitv
duck	aapv
spray	fuqv
big	hlo
near	fatv
umbrella	faanx
cut	gaatv
divide	nqenx
wife	auv
flower	biangh
beard	siaam
bury	biopv
whistle	fiuv
spider's web	mbiorngz
fruit	biouv
see	buatc
cucumber	guaa
dig	gueix
deer	njaih
skinny	jaic
penis	jaix
soggy	njaiz
full	buangv
shoot	buonv
sleep	bueix
we	mbuo
cut	paaix
dream	mbeix
name	mbuox
monkey	mbing
green	maeng
night	hmuangz
face	hmien
uncook	hmeiv
vision	mueic
have	maaih
go	mingh
buy	maaiz
sell	maaic
tongue	mbietc
house	biauv
fish	mbiauz
bamboo shoot	mbiaec
spicy	mbiaatc
tail	dueiv
kill	daix
earth	ndau
deep	ndo
skin	ndopv
wing	ndaatv
liquor	diuv
charcoal	taanx
bucket	tongv
come	daaih
die	daic
pig	dungz
long	ndaauv
snake	naang
this	naaiv
cold	namx
bird	norqc
leaf	normh
centipede	sapv
red	siqv
wipe	sortv
porridge	zuoqv
paper	zeiv
cooked	zuoqc
tree	ndiangx
drip	ndiepv
sharpen	nzioux
stand	souv
warm	siouv
rope	hlaang
rice	lingh
drum	nzox
good	longx
iron	hlieqv
nest	lauz
ashes	saaiv
salt	nzauv
blood	nziaamv
afraid	nziex
head louse	nzeiv
wind	nziaaux
mouth	nzuih
steal	nimc
cow	ngongh
itchy	sietv
laugh	jietv
door	gaengh
excrement	nqaiv
crow	nqaaix
wide	jangv
guest	kaeqv
hawk	jaangv
bear	jiepv
swell	omx
human	mienh
axe	bouv
bee	mueiz
boiling	mbueix
borrow	gaav
cage	longh
cry	nyiemv
firewood	zaangh
frog	gaengv
thatch	nqaan
hand	buoz
hundred	baeqv
intestine	jaangh
laugh	jaetv
life	maengc
listen	muangx
look	mangc
narrow	hepc
letter	fienx
edible	ndoih
pus	nongc
rain	duih
read	doqc
cooked	hnaangx
road	jauv
scissor	njiuv
scratch	nyaaiv
sit	zueiz
slippery	mbiaangc
word	waac
sweet	gaam
take	zorqv
tooth	nyaah
village	laangz
wash	nzaaux
wet	ndorn
white	baeqc
yellow	yaangh
stone	laqc
give away	fungx
receive	zipv
porcupine	njoic
body louse	damv
half	ndaamv
get	duqv
black	jieqv
sing	baaux
copper	dongh
mushroom	jiou
carry	ndaam
wear	ndongx
hat	muoc
bean	dopc
early	nziouv
use	longc
horn	jorng
butterfly	sopv baang
urine	yiez
sun	mbaqc hnoi
head	bieiv
chin	haah baah
eat	nyanc
wait	zuov
heart	hnyouv
swim	ziouh
open	nungx
swallow	naqv
foot	zaux
forehead	biorngh
salty	nzaaih
short	nangv
short	aiv
shallow	liangv
hot	jorm
bed	coux
pebble	borqc
mountain	mbong
kick	ndiqv
snow	sorng
mouse	naauz
squirrel	mbopv
exit	cuotv
banana	normh ziu
burn	buov
float	mbiouh
dense	maaqc
enter	bieqc
cut	japv
river	ndaaih
peach	jaauh
girl	sieqv
elephant	zaangz
tight	jienv
tea	zaah
root	nzungh
repay	jaauv
remember	jangx
rake	baah
fast	siepv
crab	nqingh nquaiz
song	nzung
powder	mbuonv
sweet potato	fanh ndoih
breast	nyorx
star	hleix
comb	zaqv
open	nqoi
lay	ndauc
before	ndaangc
cave	kuotv
cook	zouv
nod	hnaqv
play	nziaauc
not	maiv
know	hiuv
country	deic bung
sky	lungh
rain	mbiungc
say	gorngv
tomorrow	njang hnoi
teach	njaaux
release	bungx
Chinese	Janx-Kaeqv
dig	wetv
grass	miev
stick	biaav
king	hungh
chair	eiv
wear	daapc
fragrant	ndaang
weave	ndatv
under	ndiev
crossbow	hnaav
sew	lunh
