downriver	sama
arm	mano
full	kibi
fish	aba
come	kama
look	kiki
battery	bira
sister	sima
break	waka
snake	maka
morning	mina
put	basa
strip	ibe
laugh	haha
mosquito	bita
upriver	tima
wood	awa
hold securely	dama
vine	tama
two	fama
small	bidi
often	rima
corn	kimi
shock	yiri
angry	hama
jab	saka
spider	hako
toucan	kaka
urge	hima
dark	sukia
thing	yama
put	iba
green	kini
sticky	naka
drink water	tifa
reside	wina
tapir	awi
fall	tisi
walk	yaka
strong	kiti
descend	kisi
appear as	nima
monkey	fisi
water	faa
wasp	disi
spear	disa
write	rawi
water	faha
catfish	bama
cross	kifi
remain	wama
block in	tofa
pinch	bisi
cut	wisi
food	tefe
food	tafe
potato	kihi
species	afiiama
dog	yomai
penis	suiri
ear	warabo
spider	wanakori
fire	yifoya
bee	dabikari
eat	tafa
dump	ibofa
eat	tafo
wobble	diyi
take pride	kaiyara
stir	reu kana
ask	hihiiara
allow	tuuia
hide oneself	uaiia
buy	kanikai
sniff	hisi
crank	rereokana
cry	owi
go out	owia
happy	tia tikei yarine
close together	bayiyiyi kawa
poorly done	tuuiia
stand	uaifie
round	kamawamai
sick	rabikai
downwards	warisei
one	owaria
