eight	и
ox	вы
statue	сын
spicy	сыр
much	бэ
we	дэ
nose	пэ
meat	лы
peaceful	мамыр
ice	мыл
soap	сабын
drive	хун
whale	джей
it	ар
Arabic	арап
wait	зэ
testicle	гэ
palate	фӏыншэ
disease	уз
cheap	пуд
witch	уд
Moscow	Мэзкуу
Adyghe	адыгэбзэ
forehead	натӏэ
eye	нэ
tear	нэпс
water	псы
lip	ӏупэ
language	бзэ
tongue	бзэгу
saliva	ӏупс
face	напэ
ear	тхьэкӏумэ
armpit	блыгу
arm	ӏэ
stomach	ныбэ
waist	бгы
tail	кӏэ
onion	бжьыны
currants	санэ
hundred	щэ
boza	бахъсымэ
dog	хьэ
goose	къаз
pigeon	тхьэрыкъу
eagle	бгъэ
snake	блэ
bowl	бжьэ
housefly	бадзэ
key	ӏункӏыбзэ
blood	лъы
red	плъыжьы
breast	быдзы
old	жьы
Kabardian	кхъу
female	бзы
cattle	былым
family	бын
month	мазэ
you	уэ
I	сэ
year	гъэ
year	илъэс
god	тхьэ
silk	данэ
tooth	дзэ
husband	лӏы
large	ины
city	къалэ
peach	къыцэ
kin	лъэпкъ
death	лӏэныгъ
river	псыхъо
book	тхылъ
house	унэ
name	цӏэ
sister	шыпхъу
pretty	дахэ
fool	делэ
table	анэ
dagger	къамэ
body	пкъы
comb	мажьэ
wood	пхъэ
six	хы
rope	кӏапсэ
princess	гуащэ
bride	нысэ
dirt	ятӏэ
curse	хъуанэ
look	плъэн
die	лӏэн
color	лэн
hit	уэн
eat	щхэн
barefoot	лъапцӏэ
fieldfare	джэдгъалӏэфлъэ
marten	дзыдзэ
pheasant	мэзджэд
badger	уашхэ
weasel	ужьэ
stoat	ужьэ кӏэ кӏыхь
dolphin	хыкхъуэ
lie	пцӏы
prince	пщы
Kabardian	къэбэрдэйбзэ
socks	лъэпэд
ring	ӏэлъын
sleeve	ӏэгъуапэ
yarn	цы
forest	мэз
grave	кхъэ
deaf	дэгу
early	пасэ
behavior	щэн
toilet	псыунэ
arrogant	пагэ
powder	гын
orphan	ибэ
child	сабый
associate	гъусэ
friend	ныбжьэгъу
neighbor	гъунэгъу
there	адэ
village	къуажэ
one	зы
two	тӏу
three	щы
four	плӏы
seven	блы
nine	бгъу
deep	куу
song	уэрэд
accordionist	пщынауэ
luck	насып
saddle	уанэ
cost	уасэ
war	зауэ
spring	гъатхэ
vulva	гудэ
defective	сэкъат
throw	дзын
twig	чы
pleasant	гуапэ
cut	бзын
soul	псэ
enviously	енэцӏын
clean	къабзэ
fog	пшагъо
work	лэжьэн
kill	укӏын
hippopotamus	псыфэнд
upper arm	блыпкъ
get through	хэкӏын
horseman	шу
exist	щыӏ
tiger	къаплъэн
side	лъэныкъу
white	хужьы
day	махуэ
week	тхьэмахуэ
heat	хуабэ
you	фэ
black	фӏыцӏэ
flea	бжьыдзэ
carrot	пхъы
apple	мыӏэрыс
blackbird	бзупцӏ
locust	мацӏэ
stump	дакъэ
fat	пщэры
game	джэгу
infidel	джаур
sick	сымаджэ
sky	уафэ
ash	яжьэ
hut	чыл
boy	щӏалэ
pear	кхъужьы
shoe	вакъэ
fish	бдзэжьей
cow	жэм
tree	жыг
night	жэщ
settlement	жылэ
cat	джэду
chicken	джэд
glass	абдж
chemise	джанэ
king	пащтыхь
iron	гъущӏ
question	упщӏэ
button	щӏыӏу
watermelon	хъарбыз
fox	бажэ
bridge	лъэмыж
death	ажал
flour	хьэжыгъэ
knee	лъэгуажьэ
corn	нартыху
naked	пцӏанэ
he	езы
grill	жьэн
brother	шынэхъыжь
brother	шынэхъыщӏ
new	щӏэ
autumn	бжьыхьэ
summer	гъэмахуэ
beard	жьакӏэ
mouth	жьэ
narrow	зэвы
thick	ӏувы
gold	дыщэ
head	щхьэ
life	гъащӏэ
milk	шэ
salt	шыгъу
money	ахъшэ
arrow	шабзэ
pepper	шыбжий
lamp	щынэ
girl	пщащэ
bear	мыщэ
animal	псэущхьэ
hemp	щӏэн
honey	фо
wife	фыз
drink	ефэн
green	удзыфэ
good	фӏы
fire	мафӏэ
coal	фӏамыщӏ
weather	уэфӏ
work	ӏуэху
cheese	кхъуей
tough	быдэ
goat	бжэн
thorn	банэ
mirror	гъуджэ
shoulder	дамэ
wolf	дыгъужь
sun	дыгъэ
yesterday	дыгъуасэ
silver	дыжьын
rooster	адакъэ
garden	хадэ
duck	псыджэд
foreman	тхьэмадэ
